title,genre,url,summary
The House in Fata Morgana - Dreams of the Revenants Edition -,adventure,https://www.metacritic.com/game/switch/the-house-in-fata-morgana---dreams-of-the-revenants-edition--,"A gothic suspense tale set in a cursed mansion. ‘The House in Fata Morgana’ is a full-length visual novel spanning nearly a millennium that deals in tragedy, human nature, and insanity. This version includes three games and more: 1: The House in Fata Morgana: the main storyline. 2: A Requiem for Innocence: a prequel shedding light on the origins of Fata Morgana’s terrible curse. 3: Reincarnation: a sequel featuring the central cast members reincarnated in the present day. *The part including voices 4: Other additional short stories."
Super QuickHook,adventure,https://www.metacritic.com/game/ios/super-quickhook,"Conquer Eagle Mountain with the help of your trusty grappling hook. Swing and run your way through meadows, frost-tinged fields, ice caverns, volcanic caves, and more. Find secrets, loot, and special encounters. Race against your friends. Explore peaceful landscapes, or try to outrun an endless avalanche. QuickHook combines heavy replay value with deep variety! HEAVY REPLAY VALUE - Find loot to spend on character upgrades and equipment - Unlock Nightmare levels, new equipment, and fancier hats - Seamless Leaderboards and Stats / Medals for each level - 66 different achievements, most of them based on exploring secrets - Duel system: Ghost Race your friends! - Random, infinite Avalanche Mode: * Survive a roaring avalanche, right behind you, as long as you can. * Over 60 different possible ""sections"", most with secret paths. * Ghost race your friends to send them your personal Avalanche level! DEEP VARIETY - Varied landscapes - Each level has its own challenges and art - Secrets and Easter Eggs - Character customization: Show off your gear! - Free updates that add more achievements, secrets, and equipment - Hand crafted race/exploration levels * 18 levels with multiple paths and hidden areas, with more levels coming! *** In Update 1, already submitted and Coming Soon: - Content Update: Four all new levels, infested with fungi! New hats, grappling hooks, secrets, and achievements! - Unlock requirements for the levels lessened considerably! Beating Dev Scores no longer required to unlock the Nightmare Levels. - Bug related to unlock progression fixed: Avalanche 2000 score wasn't meant to be required to unlock Burn Alley. Now used to unlock the Nightmare levels. - Use OpenFeint to back up your save, in the settings menu! Transfer your SQH save between devices! - Rate Us page added to Rocketcatalog. We tried to make it not annoying. There's a picture of a gnome in there. - ""Beat one nightmare/developer score multiple times"" bug fixed. - Interactive credits level!"
The Last of Us,adventure,https://www.metacritic.com/game/playstation-3/the-last-of-us,"Twenty years after a pandemic radically transformed known civilization, infected humans run amuck and survivors kill one another for sustenance and weapons - literally whatever they can get their hands on. Joel, a salty survivor, is hired to smuggle a fourteen-year-old girl, Ellie, out of a rough military quarantine, but what begins as a simple job quickly turns into a brutal journey across the country."
N.O.V.A. - Near Orbit Vanguard Alliance,adventure,https://www.metacritic.com/game/ios/nova---near-orbit-vanguard-alliance,"**IGN - Best Action Game of the Year The most revolutionary sci-fi FPS for your iPhone & iPod Touch! Join the fight for mankind's survival against the aggressive aliens known as Judges in this immersive space opera. With Earth no longer able to sustain life, huge artificial satellites called “near-orbitals” were constructed for people to live on. To protect themselves, the near-orbitals banded together to form N.O.V.A., the Near Orbit Vanguard Alliance. Now, a strange threat has emerged from the darkness of space. A Marine ship, reported missing just a week ago, has suddenly reappeared and is headed directly for the near-orbitals, ignoring all communications. Against his will, retired Marine hero Kal Wardin is forcefully returned to active duty to prevent mankind's annihilation. N.O.V.A. - Near Orbit Vanguard Alliance provides the most comprehensive content available on the AppStore. Plunge into an unparalleled gaming experience! EPIC SINGLE-PLAYER CAMPAIGN - 13 insane levels - 5 radically different environments, from the real to the fantasic - jungle, snow mountains, spaceship, bunker, and an alien city - 6 weapons: Assault rifle, shotgun, sniper rifle, handgun, rocket launcher and plasma gun – plus grenades & machine gun turrets in certain levels - An intense drama sustained by transitional cinematics and character voices FRANTIC MULTIPLAYER MODE - Play locally or online via Wi-Fi or Local Bluetooth connection - 1-4 player Deathmatch (1-2 players via Bluetooth connection) - 5 different maps - Play against your friends or the entire world through Gameloft LIVE! - Worldwide leaderboards in the game & on the official website, www.near-orbit-vanguard-alliance.com TECHNOLOGICAL LEAP - Full 3D rendered environments enhanced by highly detailed graphics - 3 control schemes - Customizable interface N.O.V.A., the Near Orbit Vanguard Alliance, wants you to support the fight! Enlist on Twitter @NOVA_fps Visit www.near-orbit-vanguard-alliance.com for more information. --------------------------------------------- Also available from Gameloft this Christmas: Driver, Tom Clancy’s H.A.W.X, Skater Nation and James Cameron’s Avatar"
Grim Fandango,adventure,https://www.metacritic.com/game/pc/grim-fandango,"Something's rotten in the Land of Dead and you're being played for a sucker. Meet Manny Calavera, travel agent at the Department of Death. He sells luxury packages to souls on their four-year journey to eternal rest. But there's trouble in paradise. Help Manny untangle himself from a conspiracy that threatens his very salvation. [LucasArts]"
The Walking Dead: A Telltale Games Series,adventure,https://www.metacritic.com/game/playstation-3/the-walking-dead-a-telltale-games-series,"Based on Robert Kirkman's comic book series, The Walking Dead features a world devastated by an undead apocalypse and the horrifying choices you're forced to make to survive in it. Assume the role of Lee Everett, a convicted criminal, who has been given a second chance at life in a world devastated by the undead. With corpses returning to life and survivors stopping at nothing to maintain their own safety, protecting an orphaned girl named Clementine may offer you redemption in a world gone to hell."
Monkey Island 2 Special Edition: LeChuck's Revenge for iPad,adventure,https://www.metacritic.com/game/ios/monkey-island-2-special-edition-lechucks-revenge-for-ipad,"More Pirates! More Adventure! More Monkeys! Relive the second hilarious swashbuckling misadventure of the wannabe pirate Guybrush Threepwood in signature special edition detail! =========== Pocket Gamer: 10/10 “Adventure gaming doesn't get any better than this.” Game Informer: “Monkey Island 2 Special Edition: LeChuck’s Revenge is a great addition to your downloadable library.” MixNMojo.com: “…made me feel like I was playing Monkey Island 2 for the first time.” =========== FEATURES: Play it again for the first time with signature Special Edition features: o High-definition graphics: All new re-imagined contemporary art style, hand-drawn and presented in high definition. o Voice over: Complete voice over using original Monkey Island franchise cast members brings the story and characters to life like never before, now available for both the Special Edition and Classic modes. o Renewed music score: Re-mastered and re-recorded musical score using live instruments. o Special Edition and Classic modes: Scene-for-scene hot swap lets you seamlessly transition between Special Edition and Classic modes at anytime during gameplay. o Hint system: In-game puzzle hint system keeps the puzzles fresh and fun. Plus, includes all new features: o Direct control: Choose how you play -- use the classic point-and-click interface or the all new intuitive direct character control for a more interactive gameplay experience. o Object highlighting: Interactive object highlighting provides quicker clues to finding hidden objects. o Behind the scenes art: An in-game art viewer lets players view fantastic never-before-seen artwork from both the Classic and Special Edition versions of the game. o Original developer commentary: Listen to select scene commentary from Ron Gilbert, Tim Schafer and Dave Grossman as they share funny stories and chronicle the development of the original Monkey Island™ 2: LeChuck's Revenge™."
Pac-Man Championship Edition DX,adventure,https://www.metacritic.com/game/xbox-360/pac-man-championship-edition-dx,"PAC-MAN Championship Edition DX continues to uphold NAMCO BANDAI's tradition of enhancing a classic franchise for today's gamer. Building upon PAC-MAN Championship Edition’s original six courses, the new game features more than 100 varied and mind-boggling mazes to navigate. Several new modes will also be available to test a player's pellet-munching aptitude. In Time Attack Mode, players will vie for the quickest clear time. Fulfill a series of objectives in Mission Mode or compete to devour the most number of ghosts gobbled in Ghost Mode."
Minecraft,adventure,https://www.metacritic.com/game/pc/minecraft,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes."
The Stanley Parable: Ultra Deluxe,adventure,https://www.metacritic.com/game/xbox-series-x/the-stanley-parable-ultra-deluxe,"The Stanley Parable: Ultra Deluxe is an expanded re-imagining of 2013's The Stanley Parable. You will play as Stanley, and you will not play as Stanley. You will make a choice, and you will become powerless. You are not here to win. The Stanley Parable is a game that plays you."
