title,genre,url,summary
SoulCalibur,fighting,https://www.metacritic.com/game/dreamcast/soulcalibur,"This is a tale of souls and swords, transcending the world and all its history, told for all eternity... The greatest weapons-based fighter returns, this time on Sega Dreamcast. Soul Calibur unleashes incredible graphics, fantastic fighters, and combos so amazing they'll make your head spin!"
Tekken 3,fighting,https://www.metacritic.com/game/playstation/tekken-3,"An ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. To lure it out of hiding will take the greatest fighting contest the world has ever seen...Tekken 3. Some are fighting for revenge, some for honor, Ultimately, all are fighting for their lives and the fate of all mankind."
Street Fighter IV,fighting,https://www.metacritic.com/game/playstation-3/street-fighter-iv,"Street Fighter IV features a mix of returning favourites such as Ryu, Ken, Chun-Li and Guile along with new characters created exclusively for this game such as Crimson Viper, Abel, El Fuerte, and Rufus. Characters and environments are rendered in high definition 3D, while the game is played in the classic Street Fighter 2D perspective with additional 3D camera flourishes. Six-button controls for the game return, with a host of new special moves and features integrated into the input system. Street Fighter IV also incorporates state of the art online match making and worldwide online gameplay. Mixing classic genre-defining game mechanics the franchise is known and loved for with all-new, never-before-seen gameplay systems, Street Fighter IV brings a brand new fighting game to fans the world over. With the inclusion of Capcom's latest advancements in new generation technology, Street Fighter IV promises to deliver an extraordinary experience that will re-introduce the world to the time-honoured art of virtual martial arts. New special moves that go beyond any Street Fighter fan's wildest imagination, including Focus attacks, Super Combos, and the revenged-fueled Ultra Combo system. Classic Street Fighter characters recreated for a new generation of gamers, including the original cast of Street Fighter II. New brawlers: female super-spy Crimson Viper, lucha libre wrestler El Fuerte, mixed martial artist Abel and more. New gameplay elements provide new challenges for both newcomers and the most seasoned Street Fighter pro. Online gameplay features, including instantaneous online challenges, versus mode, tournament mode, and world wide online gameplay. [Capcom]"
Virtua Fighter 4,fighting,https://www.metacritic.com/game/playstation-2/virtua-fighter-4,"Two new characters (Lei Fei and Vanessa Lewis) join 11 VF veterans, each with their own unique styles based on real martial arts. New counters and defensive moves allow players to switch up their stances and fighting styles mid-bout. Train a computer-controlled character through sparring and an easy-to-use rewards system, then pit your character against a friend's or challenge the arcade mode. [Sega]"
Super Smash Bros. Brawl,fighting,https://www.metacritic.com/game/wii/super-smash-bros-brawl,"[Metacritic's 2008 Wii Game of the Year] Super Smash Bros. Brawl is the next installment in the Smash Bros. series for the company's Wii console. Among the new characters playable in the game are Meta Knight, the sword-wielding nemesis of Kirby; Pit, the angelic archer from Kid Icarus; Zero Suit Samus, the powerful Metroid series heroine minus her versatile armor; and Wario, who demonstrates a noxious attack of gastronomic proportions. Also Snake, the gritty soldier from Konami's hugely popular Metal Gear series. [Nintendo]"
Street Fighter Alpha 3,fighting,https://www.metacritic.com/game/playstation/street-fighter-alpha-3,Street Fighter Alpha 3...scores a triple K.O.!
Street Fighter IV,fighting,https://www.metacritic.com/game/xbox-360/street-fighter-iv,"Street Fighter IV features a mix of returning favourites such as Ryu, Ken, Chun-Li and Guile along with new characters created exclusively for this game such as Crimson Viper, Abel, El Fuerte, and Rufus. Characters and environments are rendered in high definition 3D, while the game is played in the classic Street Fighter 2D perspective with additional 3D camera flourishes. Six-button controls for the game return, with a host of new special moves and features integrated into the input system. Street Fighter IV also incorporates state of the art online match making and worldwide online gameplay. Mixing classic genre-defining game mechanics the franchise is known and loved for with all-new, never-before-seen gameplay systems, Street Fighter IV brings a brand new fighting game to fans the world over. With the inclusion of Capcom's latest advancements in new generation technology, Street Fighter IV promises to deliver an extraordinary experience that will re-introduce the world to the time-honoured art of virtual martial arts. New special moves that go beyond any Street Fighter fan's wildest imagination, including Focus attacks, Super Combos, and the revenged-fueled Ultra Combo system. Classic Street Fighter characters recreated for a new generation of gamers, including the original cast of Street Fighter II. New brawlers: female super-spy Crimson Viper, lucha libre wrestler El Fuerte, mixed martial artist Abel and more. New gameplay elements provide new challenges for both newcomers and the most seasoned Street Fighter pro. Online gameplay features, including instantaneous online challenges, versus mode, tournament mode, and world wide online gameplay. [Capcom]"
SoulCalibur II,fighting,https://www.metacritic.com/game/gamecube/soulcalibur-ii,"Open the next chapter in world of Soul Calibur. Soul Calibur II features seven distinctive gameplay modes including: Arcade, Versus, Time Attack, Survival, Team Battle, Practice, and the console exclusive Weapon Master. Collect up to 200 different weapons and battle characters with their own styles, strengths, and abilities. In addition to the 13 fighters, each platform has unique special fighters: Link for GameCube, Heihachi for PS2, and Spawn for Xbox. Prove yourself through soul and sword."
Virtua Fighter 4: Evolution,fighting,https://www.metacritic.com/game/playstation-2/virtua-fighter-4-evolution,"Challenge a steady stream of opponents with varying ranks and skill levels, with the impression that you're playing online against human opponents with different styles. Along with this illusion of online play, Virtua Fighter 4 has also been expanded upon, including the roster, the character customization features, the visuals, the training mode, and even the arcade mode. With the different tournaments and two new characters to explore, VF4: Evolution will put your fighting skills to the ultimate test."
SoulCalibur II,fighting,https://www.metacritic.com/game/playstation-2/soulcalibur-ii,"A new page in history has begun as the most highly-anticipated fighting game ever finally arrives! The greatest 3-D weapons-based fighter will provide non-stop action, excitement and surprises as you go one-on-one against your favorite challengers. 13 historic fighters plus all new combatants including Necrid, specially designed by Todd McFarlane Productions, Inc. Unique special guest fighters for each platform include Link (GameCube), Heihachi (PS2), and Todd McFarlane's Spawn (Xbox). 7 exciting modes of play including Arcade, Vs, Time Attack, Survival, Team Battle, Practice, and Weapon Master. Collect 200 different weapons in the all-new mission-complete Weapon Master mode. [Namco]"
