title,genre,url,summary
Microsoft Flight Simulator,flight,https://www.metacritic.com/game/pc/microsoft-flight-simulator,"From light planes to wide-body jets, fly highly detailed and accurate aircraft in the next generation of Microsoft Flight Simulator. Test your piloting skills against the challenges of night flying, real-time atmospheric simulation and live weather in a dynamic and living world."
IL-2 Sturmovik,flight,https://www.metacritic.com/game/pc/il-2-sturmovik,"Fly 31 types of Russian, German and American planes. Engage in air-to-air and air-to-ground battles. Multiplay with up to 32 players in dogfight and 16 players in cooperative missions. Use custom paint schemes, squadron nose art, numbering on wings, and national markings for each plane. [Ubi Soft]"
Microsoft Flight Simulator,flight,https://www.metacritic.com/game/xbox-series-x/microsoft-flight-simulator,"From light planes to wide-body jets, fly highly detailed and accurate aircraft in the next generation of Microsoft Flight Simulator. Test your piloting skills against the challenges of night flying, real-time atmospheric simulation and live weather in a dynamic and living world."
Jetpack Joyride,flight,https://www.metacritic.com/game/ios/jetpack-joyride,"You're going for a ride - from the creators of FRUIT NINJA! Suit up with a selection of the coolest jetpacks ever made and take to the skies as Barry Steakfries, the lovable hero on a one-way trip to adventure. Simple one-touch controls and immediately accessible gameplay support a huge amount of content including missions, level ups, achievements, jetpack upgrades, unlockables, coins and more. This is the most anticipated game yet from Australian developer Halfbrick."
Falcon 4.0: Allied Force,flight,https://www.metacritic.com/game/pc/falcon-40-allied-force,"Pilot three different variants of the F-16 Fighting Falcon -- the best multi-role fighter ever built -- including Block 40, Block 50/52 and MLU variants. Ultra-high fidelity physics modeling closely simulates actual aircraft performance. Engage the enemy in two operational theaters -- Korea and the Balkans -- each covering over a million square Kilometers of territory. Dogfight over a wide variety of landscapes: wide seas, open grasslands, dense forests and snow capped mountains. Fly nap-of-earth missions through detailed terrain and undulating valleys. Launch a variety of air-to-air missiles like the AIM-120 AMRAAM and AIM-9 Sidewinder. Deploy a vast array of air-to-ground weaponry including the AGM-65 Maverick, AGM-88 HARM, cluster bombs, slick and high drag bombs and laser guided ordnance. Weapon systems are simulated using the most accurate publicly available specifications. Simulate an entire war with the most advanced dynamic campaign engine ever made for your PC. This remarkable feature presides over tens of thousands of vehicles: air, land and sea. No two missions ever fly the same! [Graphsim]"
Flight Simulator 2002,flight,https://www.metacritic.com/game/pc/flight-simulator-2002,"Includes a wide variety of aircraft for you to fly-from a new Cessna 172S single-engine trainer and a Caravan floatplane to the Boeing 747-400 jumbo jet. You can splash down in a lake, hover in the Bell 206B JetRanger III helicopter, or practice aerobatics in the Extra 300S. [Microsoft]"
Ace Combat 04: Shattered Skies,flight,https://www.metacritic.com/game/playstation-2/ace-combat-04-shattered-skies,"The Ace Combat series soars once again. Experience aerial combat like never before. A brand new gripping storyline and 18 fabulous missions will keep pilots-to-be on the edge of their seats. Released as ""Distant Thunder"" in UK & Europe. [Namco]"
Sky Gamblers: Storm Raiders,flight,https://www.metacritic.com/game/ios/sky-gamblers-storm-raiders,"You'll participate in visceral dogfights, protectcities and fleets, bomb enemy structures and even fly through tunnels. Everything is set up in accuratelyrecreated real life locations like Pearl Harbor, Coast of Dover, Midway, Germany and France.AMAZING QUALITY AND IT’S ONLY ON iOS!Unparalleled visuals, special effects and audio including: specular masks, bump mapping, atmosphericscattering, volumetric clouds with realistic lighting, sun glare, day & night transitions, God rays, highdefinition textures, 4x anisotropic filtering, High Dynamic Range (HDR) rendering, radial blur, heat haze,refractive raindrops and more!IMMERSIVE GAMEPLAYTake off and land on landing strips and carriers. You will fly in fully recreated cities with realisticweather, accurate atmospheric scattering with aerial perspective and highly detailed planes withinteractive cockpits.HUGE HISTORIC FLEETFly highly detailed WWII top aces planes. Watch the progressive damage affecting planes and finallybeing shredded into pieces.HUGE COLLECTION OF ONLINE MODES Invite your friends to play online! Choose between cooperative and competitive modes: Survival, LastMan Standing, Free Flight, Free for All, Team Match, Capture the Flag and the new Assault. Use GameCenter head to head with Voice Chat for the ultimate duel experience.GAME CENTER, AirPlay and iCloudSince this all takes place on Apple devices, iCloud support has been integrated so players can saveand share progress across devices while AirPlay allows them to use an Apple TV to play the game on alarge display. Climb the Game Center leaderboards, challenge friends and unlock all achievements.UNIVERSAL APPPlay Sky Gamblers: Storm Raiders on iPhone 3GS, iPhone 4, iPhone 4S, iPhone 5, iPad, iPad 2, 3 rdgen iPad and the new iPad, iPod touch 3, iPod touch 4 and iPod touch 5 for one low price.Online play requires a Wi-Fi or 3G/4G internet connection.Please send us your impressions and suggestions, help us identify bugs. We want to make your gamingexperience the best you’ve ever had. Please visit our support site at www.atypicalgames.com/support.Like us on Facebook: www.facebook.com/SkyGamblersStormRaidersFollow us on Twitter @atypicalgames"
FirePower for Microsoft Combat Flight Simulator 3,flight,https://www.metacritic.com/game/pc/firepower-for-microsoft-combat-flight-simulator-3,"With FirePower for Microsoft Combat Simulator 3, you experience air combat like never before in over 50 missions. We have added twelve new aircraft that were designed with the help of over thirty real warbird pilots. You will also experience revolutionary, explosive, special effects like never before. Witness towering explosive blasts, aircraft being torn in half, and smoke drifting thousands of feet above the battlefields. Using authentic military test data and combat footage was the design team's primary focus. Under the hood, you will find every aircraft, building, and vehicle reacting precisely as they did when you unleash all of the newly designed weapons. Specific targets will require specific weapons, just like the real thing. You will also get to fly the famous B-17 Flying Fortress, man all of the gunner positions, and even attack those bomber formations from the cockpit of some of Germany's most ingenious, flying machines. Shrapnel will fly, tanks will blow, and guns will shred their targets to pieces. In fact FirePower is so real, you may find all you ever do is attack anything that has the misfortune of crossing your sights. [GMX Media]"
Microsoft Flight Simulator 2004: A Century of Flight,flight,https://www.metacritic.com/game/pc/microsoft-flight-simulator-2004-a-century-of-flight,"Experience history at the controls of historic aircraft, such as Charles Lindbergh's Ryan NYP Spirit of St. Louis, the Douglas DC-3 and the world's first successful powered aircraft, the Wright Flyer. New engaging features such as interactive multimedia provide a wealth of historical information on the planes that shaped aviation history and the pilots who flew them. Informed and insightful articles explain all there is to know about Microsoft's Flight Simulator and the 24 aircraft included in the software. A Century of Flight also introduces an updated, dynamic weather system, enhanced automatically generated scenery (AutoGen) and detailed visual effects, improved Air Traffic Control functions, and 3D interactive cockpits, as well as 15 modern aircraft, including the Beechcraft Baron and the Robinson R22 helicopter. [Microsoft]"
