title,genre,url,summary
Gran Turismo,racing,https://www.metacritic.com/game/playstation/gran-turismo,"Welcome to the most advanced racing game ever created! Encounter exhilarating high-speed racing in 11 stunning environments. Feel handling agility and throttle response so convincing, the car seems to be an extension of yourself. Experience the extraordinary world of Gran Turismo!"
Gran Turismo 3: A-Spec,racing,https://www.metacritic.com/game/playstation-2/gran-turismo-3-a-spec,"With the addition of two new courses (a downtown Tokyo circuit and the Monte Carlo Grand Prix course), an impressive range of cars (from Vipers to Cooper Minis), and a soundtrack featuring everything from Lenny Kravitz to Jimi Hendrix, this highly anticipated title is finally ready to be driven."
Need for Speed Shift,racing,https://www.metacritic.com/game/ios/need-for-speed-shift,"**9/10 PocketGamer GOLD AWARD** THINK FAST! DRIVE FASTER! Experience the most visceral and aggressive simulation racing game ever seen on iPhone® and iPod touch®. ______________________________________ FAST LOOK AT THE FEATURES: • Drive 20 awesome cars, including the BMW M3 GT2, Lamborghini Gallardo & Pagani Zonda • Access both live Bluetooth and local WiFi Multiplayer across 6 modes • Race on 18 unique tracks in stunning international locations (Chicago, London & Tokyo) • Jump into Quick Race or dominate the circuit in Career Mode • Select 3 Difficulty Settings (Rookie, Pro or Veteran) • Immerse yourself in physics-based accelerated 3D graphics with OpenGL ES 2.0 integrations ______________________________________ GET EVERY DETAIL OF THE PRO CIRCUIT EXPERIENCE The sweeping skylines of the urban landscapes… day and night driving… the roar of engines, the squeal of tires, the crunch of collisions. And above all…speed, speed, and more speed. Nothing was overlooked to deliver the most realistic racing experience possible. TAKE A REAL RACER’S POINT OF VIEW Thrust yourself into the driver’s seat of a high-end performance car, and see the race as it really is. Get the hyper-real POV of the in-car cockpit, as well as the brutal perspective of the first-person crash dynamic. Keep your grip as you push yourself to the edge. MAKE IT PERSONAL IN MULTIPLAYER MODES Shift into either local WiFi or live Bluetooth Multiplayer across half a dozen modes. Match your racing skills against your personal rivals, and show them who really owns the road. CHOOSE MUSCLE OR PERFORMANCE, OR BOTH Grab the wheels of the fastest, hottest, and most powerful cars in the world. Select from an array of cars that feed your needs. The Audi R8 4.2 FSI Quattro…..Porsche Cayman S….or Subaru Impreza WRX STI… it’s a car lover’s fantasy at your fingertips. UPGRADE, CUSTOMIZE, AND COMPETE Personalize your car’s performance and styling features. Fine tune performance with Top Speed, Acceleration, Tires, Suspension and Nitrous upgrades. Also add custom details like spoilers, rims, specialized paint jobs, and body kits. HOW YOU DRIVE IS WHO YOU ARE In the ultimate expression of the true driver’s experience, DRIVER PROFILE tracks your evolution as a racer from event to event. You develop a persona based on your skills, style, success rate, profile points, and badges you accrue. Aggressive or precise? What kind of driver are you? The game will tell you. ______________________________________ CHECK OUT OUR OTHER EXCITING GAMES: TETRIS®, The Sims™ 3, The Simpsons™ Arcade, MONOPOLY & MADDEN NFL 10 by EA Sports™ COMING SOON:  SPORE™ Creatures VISIT US: eamobile.com FOLLOW US: twitter.com/eamobile FIND US: facebook.com/eamobile"
Jet Car Stunts,racing,https://www.metacritic.com/game/ios/jet-car-stunts,"Jet Car Stunts is a fun, over the top, 3D driving game, with massive jumps, mid-air hoops, floating platforms, spiral roadways, outlandish maneuvers and impossible environments. **** MODES OF PLAY **** The game features two play modes: * Platforming - the player maneuvers the car from roadway to roadway, performing connecting stunts to reach the finish line. * Time Trails - the player races around stunt-filled circuits to beat the lap records. Each mode of play is packed full of level content, increasing in difficulty, through 25 Platforming levels and 11 Time Trail levels. There is enough content for long, lasting game play. **** CONTROLLABILITY **** The car handling has been designed from the ground up for the accelerometer. The controls are easy, precise and fun. So much so that the player can hug the edge of a corner, using a jet assisted power-slide, and still feel perfectly in control. The car also features mid-air flight controls, allowing the player to nudge the angle of flight and adjust speed with air-braking. It feels very natural to play and we believe it to be the best driving experience on the iPhone to date. **** CONNECTIVITY **** Jet Car Stunts uses OpenFeint for community/leader board options. So let's see who are the best players in the world, we dare you!"
Burnout 3: Takedown,racing,https://www.metacritic.com/game/xbox/burnout-3-takedown,"Burnout 3 challenges you to crash into (and through) busy intersections, while creating as much damage as possible. You can battle your way to the front of the pack by taking down rivals and causing spectacular crashes. For those who thirst for crashes, the game includes a crash mode that rewards you for creating massive pileups. With multiplayer gameplay, more than 100 events, and 40 tracks, Burnout 3 provides intense speed and action."
Real Racing 2,racing,https://www.metacritic.com/game/ios/real-racing-2,"Get ready for the most exhilarating handheld racing experience! Take control of 30 officially licensed cars, each with unique performance characteristics. Feel the thrill of authentic pack racing action in an incredible 16-car grid – the first on iOS! + Get to know meticulously detailed cars including the 2010 Ford Shelby Mustang GT500, 2010 Nissan GT-R (R35) and 2012 McLaren MP4-12C. See the full list at http://firemint.com/r2. + Enjoy well over 10 hours of gameplay in the massive career mode with time trials, head-to-head races, eliminations, single ‘cup’ races, qualifiers and championships. Win races to purchase new cars and feel the difference with performance upgrades that affect handling. Work your way up from rookie to pro, or just jump into a Quick Race for instant fun. + Find out who the real champion is! Enter auto-matched 16 player online races. Meet up with friends for 8 player local WiFi races. Compete on global leaderboards in Time Trials. + Race in 15 beautiful locations, with 40 miles of highly detailed race tracks, speedways and city circuits including twilight and night races. + Choose control options to suit your personal style. Earn the checkered flag with our intuitive and easy to master controls or take things up a notch by disabling all driving assists. Set anti-skid, steering assist and sensitivity, automatic or manual acceleration and brake assist level. Touch or tilt to steer. + Cutting edge graphics and physics powered by Firemint’s exclusive high performance Mint3D™ engine - optimized to push OpenGL ES2 and retina display technology to the limit, and fine tuned for the best experience on older devices. Start your engines and get into the best handheld racing experience - “Buy Now”, or surprise a friend and “Gift this App”! -------------------------------------------------------------- ? For more information or support please visit http://www.firemint.com ---------------------------------------------------------------"
Burnout 3: Takedown,racing,https://www.metacritic.com/game/playstation-2/burnout-3-takedown,"Burnout 3 takes the hit series even further, now featuring a unique ""crash and burn"" racing concept and a one-of-a-kind special effects engine that delivers spectacular visuals. The intensity heats up as players race, and often crash, their way through oncoming traffic in an attempt to claim the top spot. Boasting multiple single-player, multiplayer and online crash and race modes, Burnout 3 offers players the opportunity to race through busy city streets and be rewarded for taking risks that result in heart-pounding action and electrifying crashes. [Electronic Arts]"
Gran Turismo 2,racing,https://www.metacritic.com/game/playstation/gran-turismo-2,The world's most advanced racing game returns with thunderous new features.
Mario Kart Super Circuit,racing,https://www.metacritic.com/game/game-boy-advance/mario-kart-super-circuit,"Whoever hands out driver's licenses in the Mushroom Kingdom is about to be in some serious trouble. Classic Mario Kart action is back once again, this time in a colorful, lightning-fast game that you can take anywhere. Mario, Luigi, Peach, Toad, Wario, Yoshi, and Bowser are all tearing up the track, tossing Koopa Shells and laying banana peels along the way. Mario Kart: Super Circuit puts your driving skills to the test on 40 tracks, each littered with wild weapons and obstacles. Four players can compete in Mario Kart: Super Circuit using only one Game Pak. If each player has a copy of the game, bonus features and new modes of play become available."
Test Drive Le Mans,racing,https://www.metacritic.com/game/dreamcast/test-drive-le-mans,"In order to join them, you will need excellent racing strategy and masterful driving skills to finish the race. You will have to be able to control the most powerful cars at speeds of over 350 kmh. You will have to bring out the hero in you! Are you ready for the challenge?"
