title,genre,url,summary
Command & Conquer,real-time,https://www.metacritic.com/game/pc/command-conquer,"Set in a gritty, high-tech world C&C utilizes electronic intelligence and covert surveillance to determine who reigns supreme. Join the forces of either the Global Defense Initiative (GDI) or the Brotherhood of Nod, and fight for what you feel is right. [Westwood]"
Anomaly: Warzone Earth,real-time,https://www.metacritic.com/game/ios/anomaly-warzone-earth,"Winner of the prestigious Apple Design Award, Anomaly Warzone Earth comes to iOS and turns tower defense on its head.This time you take control of the attacking force, pitting your heavily armored squad against the destructive towers of an alien horde. Carefully lead your squad through the invaders' defenses, shattering their towers and turrets with special weapons and power-ups in this groundbreaking new experience of tower offense.Press Quotes""Simply Incredible."" — TouchArcade""It's a rare innovator in a genre packed with wannabes and copycats.” — PocketGamer“Anomaly has great visuals with a futuristic feel and outstanding explosions.” —AppAdvice“Forget everything you know about tower defense games, because in Anomaly Warzone Earth you play as the invading army.” — Slide To PlayAnomaly Warzone Earth Highlights• Experience a new type of tower defense formula where you’re the attacking side.• Deploy special weapons to break through alien defenses or use stealth to slip through unscathed.• Think tactically and choose the right squad and route to guarantee success.• Strategically gather resources to buy and upgrade new and more powerful units.• Play for hours on end in three unique and engaging modes of play.• Immerse yourself in the cutting-edge graphics and atmospheric soundtrack.For more information or support, please visit www.chillingo.com"
Company of Heroes,real-time,https://www.metacritic.com/game/pc/company-of-heroes,"A real-time strategy game set in World War II, Company of Heroes brings to life, in full cinematic detail, the greatest war mankind has ever known. Company of Heroes is built on Relic's next-generation Essence Engine and also utilizes the Havok Physics engine, delivering cinematic visual detail in a world completely driven by realistic physics. Gamers will experience the journey of the brave men of Able Company in a deep single-player campaign that begins with the invasion of Normandy through their fight across Europe, all set against the most dynamic battlefield ever seen in a game. Company of Heroes' completely destructable environment means no two battles ever play out in the same way. Advanced squad AI delivers startling new realism and responsiveness, bringing soldiers to life as they interact with the environment and execute advanced squad tactics to eliminate the opposition forces. [THQ]"
Starcraft II: Wings of Liberty,real-time,https://www.metacritic.com/game/pc/starcraft-ii-wings-of-liberty,"StarCraft II continues the epic saga of the Protoss, Terran, and Zerg. These three distinct and powerful races clash once again in the fast-paced real-time strategy sequel to the legendary original, StarCraft. Legions of veteran, upgraded, and brand-new unit types do battle across the galaxy, as each faction struggles for survival. Featuring a unique single-player campaign that picks up where StarCraft: Brood War left off, StarCraft II presents a cast of new heroes and familiar faces in an edgy sci-fi story filled with adventure and intrigue. In addition, Blizzard again offers unparalleled online play through Battle.net, the company's world-renowned gaming service, with several enhancements and new features to make StarCraft II the ultimate competitive real-time strategy game. Features fast-paced, hard-hitting, tightly balanced competitive real-time strategy gameplay that recaptures and improves on the magic of the original game. New units and gameplay mechanics further distinguish each race. Vibrant new 3D-graphics engine with support for dazzling visual effects and massive unit and army sizes. Full map-making and scripting tools to give players incredible freedom in customizing and personalizing their gameplay experience. [Blizzard]"
Homeworld,real-time,https://www.metacritic.com/game/pc/homeworld,"Deported to a harsh desert world, exiles have struggled for three thousand years to regain the stars. Now it's up to you to guide them home through a brutal empire bent on annihilation. Homeworld boasts amazing ship graphics and gorgeous deep-space vistas, a unique command and navigation interface and white-knuckle real-time strategy. [Sierra]"
Twilight Struggle Mobile,real-time,https://www.metacritic.com/game/ios/twilight-struggle-mobile,
Plants vs. Zombies HD,real-time,https://www.metacritic.com/game/ios/plants-vs-zombies-hd,"Get ready to soil your plants! Winner of over 20 Game of the Year awards!* Plants vs. Zombies comes from the fertile minds that created Bejeweled, Peggle, Bookworm, Zuma and many more all-time favorites. Get ready to soil your plants in this high-definition, multi-touch adaptation of the hit PopCap game of the year! A mob of fun-loving zombies is about to invade your home… don’t be caught without your plants down! Defend your house with an arsenal of plants to slow down, confuse, weaken and mulchify zombies before they reach your front door. Each zombie has its own special skills, so you’ll need to think fast and plant faster to combat them all. But be careful — obstacles like a setting sun, creeping fog and a swimming pool add to the challenge. Plants vs. Zombies HD for iPad is loaded with four game modes, new rabble-rousing features, and unlimited replayable action… so the fun never dies! Features It’s packed with fun-dead action: - Dig into multi-touch gameplay exclusively on iPad. Play with up to 11 simultaneous touch points and challenge all your fingers! - Marvel at high-definition graphics on the dazzling iPad display. - Harvest fields of fun with 18 Mini-Games, including the exclusive iPad-only game, “Buttered Popcorn!” - Earn exclusive iPad achievements. - Battle 26 types of zombies including pole-vaulters, snorkelers and a Zombie Bobsled Team. - Conquer all 50 levels of Adventure mode — through day, night and fog, in a swimming pool and on the rooftop. - Test your home guardin’ skills in the ultra-challenging Survival mode. - Replay your favorite levels in Quick Play mode. - Earn 49 powerful plants like peashooters, wall-nuts, and cherry bombs. - Unlock the Almanac to see all the plants and zombies, unearth amusing “facts” and quotes! *Refers to original PC/Mac downloadable game. ----------------------------------------------------- Also Available from PopCap Games: For iPhone/iPod touch (compatible with iPad): BEJEWELED 2 - the all-time gem-matching classic, now featuring Bejeweled Blitz CHUZZLE - match and pop those adorable Chuzzles! BOOKWORM - the award-winning word game PEGGLE - the peg-busting phenomenon Don't forget to visit us at www.popcap.com! You can also follow us: http://twitter.com/popcap_games And become our friend: http://www.facebook.com/PopCapGames"
Plants vs. Zombies,real-time,https://www.metacritic.com/game/ios/plants-vs-zombies,"Plants vs. Zombies™ Stem a zombie attack on your iPhone! Get ready to soil your plants in this brand-new version of the hit PopCap game! A mob of fun-loving zombies is about to invade your home, and your only defense is an arsenal of 49 zombie-zapping plants. Use peashooters, wall-nuts, cherry bombs and more to slow down, confuse, weaken and mulchify 26 types of zombies before they can reach your front door. Each zombie has its own special skills, so you’ll need to think fast and plant faster to combat them all. But be careful how you use your limited supply of greens and seeds… as you battle the fun-dead, obstacles like a setting sun, creeping fog and a swimming pool add to the challenging fun. Get ready to soil your plants! - Conquer all 50 levels of Adventure mode — through day, night and fog, in a swimming pool and on the rooftop - Battle 26 types of zombies including pole-vaulters, snorkelers and “Zomboni” drivers - Earn 49 powerful perennials and collect coins to buy upgrades, power-ups and more - Open the Almanac to see all the plants and zombies, plus amusing “facts” and quotes - Collect 13 iPhone-exclusive PvZ achievements - Replay levels in the all-new Quick Play arena - All the fun of the hit PC/Mac game — adapted for fun-dead fun on your iPhone - Hilarious graphics, great soundtrack and a bonus music video"
RimWorld Console Edition,real-time,https://www.metacritic.com/game/xbox-one/rimworld-console-edition,"It’s designed to co-author tragic, twisted, and triumphant stories about imprisoned pirates, desperate colonists, starvation and survival. It works by controlling the “random” events that the world throws at you. Every thunderstorm, pirate raid, and travelling salesman is a card dealt into your story by the AI Storyteller. There are several storytellers to choose from. Randy Random does crazy stuff, Cassandra Classic goes for rising tension, and Phoebe Chillax likes to relax. BUILD. DEFEND. EXPLORE The game generates a whole planet from pole to equator. You choose whether to land your crash pods in a cold northern tundra, a parched desert flat, a temperate forest, or a steaming equatorial jungle. Different areas have different animals, plants, diseases, temperatures, rainfall, mineral resources, and terrain. The challenges of surviving in a disease-infested, choking jungle are very different from those in a parched desert wasteland or a frozen tundra with a two-month growing season. ENDLESS COLONIST INTERACTION Your colonists are not professional settlers – they’re crash-landed survivors from a passenger liner destroyed in orbit. You can end up with a nobleman, an accountant, and a housewife. You’ll acquire more colonists by capturing them in combat and turning them to your side. So your colony will always be a motley crew."
Warcraft III: Reign of Chaos,real-time,https://www.metacritic.com/game/pc/warcraft-iii-reign-of-chaos,"[Metacritic's 2002 PC Game of the Year] It has been nearly fifteen years since the war between the orcs and humans ended. An uneasy peace settled over the land while, for years, the drums of war were silent. Yet the kingdoms of men grew complacent in their victory - and slowly, the defeated orcish clans regrouped under the banner of a new visionary leader. Now a darker shadow has fallen over the world, threatening to extinguish all life - all hope. The drums of war play upon the winds once again - rising urgently towards the inevitable hour when the skies will rain fire - and the world will tremble before the coming of the Burning Legion. The Day of Judgment has come... [Blizzard]"
