title,genre,url,summary
Need for Speed Shift,simulation,https://www.metacritic.com/game/ios/need-for-speed-shift,"**9/10 PocketGamer GOLD AWARD** THINK FAST! DRIVE FASTER! Experience the most visceral and aggressive simulation racing game ever seen on iPhone® and iPod touch®. ______________________________________ FAST LOOK AT THE FEATURES: • Drive 20 awesome cars, including the BMW M3 GT2, Lamborghini Gallardo & Pagani Zonda • Access both live Bluetooth and local WiFi Multiplayer across 6 modes • Race on 18 unique tracks in stunning international locations (Chicago, London & Tokyo) • Jump into Quick Race or dominate the circuit in Career Mode • Select 3 Difficulty Settings (Rookie, Pro or Veteran) • Immerse yourself in physics-based accelerated 3D graphics with OpenGL ES 2.0 integrations ______________________________________ GET EVERY DETAIL OF THE PRO CIRCUIT EXPERIENCE The sweeping skylines of the urban landscapes… day and night driving… the roar of engines, the squeal of tires, the crunch of collisions. And above all…speed, speed, and more speed. Nothing was overlooked to deliver the most realistic racing experience possible. TAKE A REAL RACER’S POINT OF VIEW Thrust yourself into the driver’s seat of a high-end performance car, and see the race as it really is. Get the hyper-real POV of the in-car cockpit, as well as the brutal perspective of the first-person crash dynamic. Keep your grip as you push yourself to the edge. MAKE IT PERSONAL IN MULTIPLAYER MODES Shift into either local WiFi or live Bluetooth Multiplayer across half a dozen modes. Match your racing skills against your personal rivals, and show them who really owns the road. CHOOSE MUSCLE OR PERFORMANCE, OR BOTH Grab the wheels of the fastest, hottest, and most powerful cars in the world. Select from an array of cars that feed your needs. The Audi R8 4.2 FSI Quattro…..Porsche Cayman S….or Subaru Impreza WRX STI… it’s a car lover’s fantasy at your fingertips. UPGRADE, CUSTOMIZE, AND COMPETE Personalize your car’s performance and styling features. Fine tune performance with Top Speed, Acceleration, Tires, Suspension and Nitrous upgrades. Also add custom details like spoilers, rims, specialized paint jobs, and body kits. HOW YOU DRIVE IS WHO YOU ARE In the ultimate expression of the true driver’s experience, DRIVER PROFILE tracks your evolution as a racer from event to event. You develop a persona based on your skills, style, success rate, profile points, and badges you accrue. Aggressive or precise? What kind of driver are you? The game will tell you. ______________________________________ CHECK OUT OUR OTHER EXCITING GAMES: TETRIS®, The Sims™ 3, The Simpsons™ Arcade, MONOPOLY & MADDEN NFL 10 by EA Sports™ COMING SOON:  SPORE™ Creatures VISIT US: eamobile.com FOLLOW US: twitter.com/eamobile FIND US: facebook.com/eamobile"
Real Racing 2,simulation,https://www.metacritic.com/game/ios/real-racing-2,"Get ready for the most exhilarating handheld racing experience! Take control of 30 officially licensed cars, each with unique performance characteristics. Feel the thrill of authentic pack racing action in an incredible 16-car grid – the first on iOS! + Get to know meticulously detailed cars including the 2010 Ford Shelby Mustang GT500, 2010 Nissan GT-R (R35) and 2012 McLaren MP4-12C. See the full list at http://firemint.com/r2. + Enjoy well over 10 hours of gameplay in the massive career mode with time trials, head-to-head races, eliminations, single ‘cup’ races, qualifiers and championships. Win races to purchase new cars and feel the difference with performance upgrades that affect handling. Work your way up from rookie to pro, or just jump into a Quick Race for instant fun. + Find out who the real champion is! Enter auto-matched 16 player online races. Meet up with friends for 8 player local WiFi races. Compete on global leaderboards in Time Trials. + Race in 15 beautiful locations, with 40 miles of highly detailed race tracks, speedways and city circuits including twilight and night races. + Choose control options to suit your personal style. Earn the checkered flag with our intuitive and easy to master controls or take things up a notch by disabling all driving assists. Set anti-skid, steering assist and sensitivity, automatic or manual acceleration and brake assist level. Touch or tilt to steer. + Cutting edge graphics and physics powered by Firemint’s exclusive high performance Mint3D™ engine - optimized to push OpenGL ES2 and retina display technology to the limit, and fine tuned for the best experience on older devices. Start your engines and get into the best handheld racing experience - “Buy Now”, or surprise a friend and “Gift this App”! -------------------------------------------------------------- ? For more information or support please visit http://www.firemint.com ---------------------------------------------------------------"
Dwarf Fortress,simulation,https://www.metacritic.com/game/pc/dwarf-fortress,"The deepest, most intricate simulation of a world that's ever been created. The legendary Dwarf Fortress is now on Steam. Build a fortress and try to help your dwarves survive against a deeply generated world."
Forza Horizon 4,simulation,https://www.metacritic.com/game/xbox-one/forza-horizon-4,"For the first time in the racing and driving genre, experience dynamic seasons in a shared open-world. Explore beautiful scenery, collect over 450 cars, and become a Horizon Superstar in historic Britain."
The Sims,simulation,https://www.metacritic.com/game/pc/the-sims,"In ""SimCity,"" you had the power to build and control cities ... with The Sims, you'll create and control people!"
Forza Horizon 5,simulation,https://www.metacritic.com/game/xbox-series-x/forza-horizon-5,"Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars."
Forza Motorsport 3,simulation,https://www.metacritic.com/game/xbox-360/forza-motorsport-3,"Whether it's an exotic sports car like the new Audi R8 V10, a classic American muscle car such as the Ford GT, or a hot Asian import such as the Nissan 370Z, everyone has a dream car. The game makes it possible for everyone to experience the thrill of owning the world's most exotic and exquisite cars. Live the most realistic racing experience ever as you take the wheel of more than 400 of the most-beloved cars on over 100 renowned real-world tracks and exotic road courses from around the globe. With breathtaking HD graphics and the most advanced vehicle performance modeling in a video game, Forza Motorsport 3 includes a host of driving assists and adjustable skill levels to make the game a gripping pick-up-and-play experience for audiences of all ages and skill levels. [Microsoft]"
Reckless Racing 2,simulation,https://www.metacritic.com/game/ios/reckless-racing-2,"Strap down and prepare for the ride of your life... Reckless Racing is back with more! Including a selection of 18 highly detailed cars, ranging from small dirt buggies to fast supercars, and 24 routes in a variety of flavors make this a racer for all tastes - both dirt and tarmac. Compete in the Career mode to earn money for new cars and car upgrades. Have a quick race in the Arcade mode with 40 pre-defined challenges. Compete against your friends on the leaderboards in Single Event mode - including Race, Hot Lap and Elimination events. Tune your car in the garage to match your driving style with a vast selection of parts and upgrades. Whether you are a reckless power slider or a slick race driver, make your car the way YOU want it. * Probably the best power slides in the world * Tune and tweak the performance, handling, tires, rims and colors of your cars * Shader based game engine with normal maps, reflections, specularity, shadows, particles and more * Improved and optimized shaders for iPad 2 and iPhone 4S * Online leaderboards with downloadable ghost cars * Online multiplayer over the Internet * 17 characters, including your favorites from Reckless Racing 1 * 5 control layouts with customizable button positions * Optional assists, such as race lines, mini map, chase camera and more ************** Requires: iPhone 3GS, iPhone 4 or iPhone 4S iPad or iPad 2 iPod Touch 3 (16GB +) or iPod Touch 4 **************"
Microsoft Flight Simulator,simulation,https://www.metacritic.com/game/pc/microsoft-flight-simulator,"From light planes to wide-body jets, fly highly detailed and accurate aircraft in the next generation of Microsoft Flight Simulator. Test your piloting skills against the challenges of night flying, real-time atmospheric simulation and live weather in a dynamic and living world."
Epic Astro Story,simulation,https://www.metacritic.com/game/ios/epic-astro-story,"Ready to test your mettle against the final frontier?Pioneer an untamed planet, building roads and houses for your fellow denizens of the future. Cultivate your quaint colony into a stellar space citadel, and you'll pull alien tourists from everywhere this side of Alpha Centauri!Careful though, not all intelligent life seeks souvenirs. Prepare to engage in heated battle with all manner of cosmic creatures! Win--and you just might be rewarded...Strap into your spacecraft, all systems are go for an epic astro adventure that'll warp you to light speed and beyond!Turn your device to rotate the screen, touch to scroll, and pinch to zoom in and out. Supports iPhone, iPod touch, and iPad. Note: Screen rotation and zoom are only available on iPhone 3GS and later, iPod touch 2nd generation and later, and iPad. The game now lets you switch between English and Japanese."
F1 Challenge '99-'02,simulation,https://www.metacritic.com/game/pc/f1-challenge-99-02,"Cutting-edge technology brings you the most accurate representation of Formula One to date. High-resolution car models include details right down to the very last shut line. Circuits include real life structures, helicopters, airplanes, panoramic skies, animated grid girls, motion captured pit crews, and even bumps in the track surface as they exist in reality. The glossy team-themed user interface puts you in the game and tracks your performance as a real life driver competing against the likes of world champion drives such as Damon Hill, Jacques Villeneuve, Mika Hakkinen, and Michael Schumacher. [Electronic Arts]"
Asphalt 8: Airborne,simulation,https://www.metacritic.com/game/ios/asphalt-8-airborne,"The best iOS arcade racing game series reaches a new turning point! Perform dynamic, high-speed aerial stunts in an intense driving experience powered by a brand-new physics engine!"
IL-2 Sturmovik,simulation,https://www.metacritic.com/game/pc/il-2-sturmovik,"Fly 31 types of Russian, German and American planes. Engage in air-to-air and air-to-ground battles. Multiplay with up to 32 players in dogfight and 16 players in cooperative missions. Use custom paint schemes, squadron nose art, numbering on wings, and national markings for each plane. [Ubi Soft]"
Colony Wars,simulation,https://www.metacritic.com/game/playstation/colony-wars,Delivers the real experience with its spectacular cinematic graphics.
FreeSpace 2,simulation,https://www.metacritic.com/game/pc/freespace-2,"The year is 2367. Thirty-two years have passed since the Great War. As Terrans and Vasudans struggle to rebuild their civilizations, civil war erupts in the Polaris system. A rogue Terran admiral declares war against the Vasudans, threatening the stability of the Alliance. Without warning, the Shivans return, and Terrans and Vasudans face annihilation at the hands of their Great War nemesis. [Interplay]"
Forza Horizon 3,simulation,https://www.metacritic.com/game/xbox-one/forza-horizon-3,"You are now in charge of the Horizon Festival. Customize everything, hire and fire your friends, and explore Australia in over 350 of the world’s greatest cars. Make your Horizon the ultimate celebration of cars, music, and freedom of the open road. How you get there is up to you. With the new Horizon Blueprint feature, you have the power to create and instantly share your custom gameplay. You can even hire friends to star in your festival and win you more fans. If they’re not winning you fans, fire them. Danger Sign Jumps, Convoys, Drift Zones, and Showcase events that pit you and against a fleet of speedboats, a giant zeppelin, and more. Select your own driver character, customize your cars, create vanity license plates – even choose your own horn sound. Drive to the music you love choosing from eight diverse radio stations, or create a custom station using your own music collection. In addition to 12-player online free roam and multiplayer racing, all-new 4-player online co-op allows you and your friends to enjoy the variety, competition, and rewards of a Horizon campaign together for the first time. [Xbox.com]"
Forza Horizon 5,simulation,https://www.metacritic.com/game/pc/forza-horizon-5,"Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars."
Forza Motorsport 4,simulation,https://www.metacritic.com/game/xbox-360/forza-motorsport-4,Forza Motorsport 4 is the biggest entry in the series to date. Hundreds of the world’s most exciting cars spanning more than eighty manufacturers. The best driving circuits in the world. Bringing you closer to the cars of your dreams. Online features that redefine online community. Forza Motorsport 4 promises to be an entirely new car experience.
F1 2020,simulation,https://www.metacritic.com/game/xbox-one/f1-2020,"For the first time, players can create their own F1® team by creating a driver, then choosing a sponsor, an engine supplier, hiring a teammate and competing as the 11th team on the grid. Build facilities, develop the team over time and drive to the top. Customise your 10-year career mode, with a choice of F2™ Championship introduction options and season lengths to allow for a more exciting, multiple season, career. The addition of split-screen racing, a new steering assist and a more accessible race experience means that you can enjoy the game with friends, no matter what your skill level. F1® 2020 features all the official teams, drivers and 22 circuits, including two new races: Hanoi Circuit and Circuit Zandvoort. Online connection required to download the final teams’ 2020 cars (as applicable) and F2™ 2020 season content."
Animal Crossing: New Horizons,simulation,https://www.metacritic.com/game/switch/animal-crossing-new-horizons,"If the hustle and bustle of modern life’s got you down, Tom Nook has a new business venture up his sleeve that he knows you’ll adore: the Nook Inc. Deserted Island Getaway Package. Sure, you’ve crossed paths with colorful characters near and far. Had a grand time as one of the city folk. May’ve even turned over a new leaf and dedicated yourself to public service. But deep down, isn’t there a part of you that longs for…freedom? Then perhaps a long walk on the beach of a deserted island, where a rich wealth of untouched nature awaits, is just what the doctor ordered. Peaceful creativity and charm await as you roll up your sleeves and make your new life whatever you want it to be. Collect resources and craft everything from creature comforts to handy tools. Embrace your green thumb as you interact with flowers and trees in new ways. Set up a homestead where the rules of what goes indoors and out no longer apply. Make friends with new arrivals, enjoy the seasons, pole-vault across rivers as you explore, and more."
The Sims 2,simulation,https://www.metacritic.com/game/pc/the-sims-2,"The Sims 2 is the first entirely-new generation of The Sims, the ground-breaking game that allowed players to create and control people. The Sims 2 challenges you to direct the journey of your Sims' lives as they grow from infancy through childhood, teenage life and adulthood. Starting with a personality that you give them (or that they inherit from their parents), your Sims will develop in unique ways based on your choices and influence. As they progress through life, your Sims will collect memories which shape who they are, what options they have and how they behave. These experiences can have a short or long-term effect on relationships between family members and friends. Experiences between Sims when they are children can affect their relationships as teens and adults. Your Sims can have casual friendships or make life-long enemies. [Electronic Arts]"
First Touch Soccer,simulation,https://www.metacritic.com/game/ios/first-touch-soccer,"** To celebrate the launch of First Touch Soccer, for a limited time you’ll be able to pick up it up for only US$0.99. Be quick, this offer won’t last long!! **-------------------------------------------------------------------------Make way for the best Soccer game on iOS devices. First Touch Soccer represents the most complete, realistic and addictive Soccer sim available. Brought to you by the same team that gave you the award winning X2 Soccer series, First Touch Soccer is the true next-generation of iOS Soccer games.-------------------------------------------------------------------------SMART AI, RAPID GAMEPLAY & VIVID VISUALSIntelligent defensive and attacking player AI form a challenging and addictive experience. With intuitive controls, excellent visuals and Retina display. First Touch Soccer is the complete Soccer package, pick it up today!BE A CONTROL FREAKLand a 30 yard pass on a penny with the new “Freedom Control” mechanics. Use our original floating 360 degree analogue stick to pass, lob and shoot precisely where you want.PLAY AS ANY TEAM ACROSS MULTIPLE MODESOver 250 club teams, 30 competitions and 7 game modes! Season mode lets you prove your endurance over a whole season rather than just knocking out a few teams in a tournament. Not selfish enough for you? Then feel free to go it alone in STAR PLAYER mode.CREATE YOUR VERY OWN DREAM TEAMDream Team mode is bigger and better and lets you build up your ideal team from players all over the world, past and present! Use the Kit Editor to design home and away kits for your team and then take on the world!GET CLOSEROver 60 unique celebrations, realistic cameras and smooth animations get you closer to match day. Coupled with full Retina support you will feel like you are in the game.BRAGGING RIGHTSChallenge your friends on Twitter and Facebook. Show off audacious dribbles and outrageous goals with the new YouTube upload feature. Participate in regular “Goal of the Month” competitions via First Touch Soccer’s buzzing community sites!CHALLENGE FRIENDS VIA LOCAL WIFI OR BLUETOOTHCreate your own friendly matches over Local Wi-Fi or Bluetooth against your buddies. GO GLOBALFed up of putting a cricket score past your friends? Test your skills online against players all over the world! (Game Center devices only)GOSSIP FIXGet the latest news delivered straight to your device via an RSS Feed. The feed can be customised so if you have a preferred source, edit away.-------------------------------------------------------------------------Exclusive soundtrack provided by Charly Coombes & The New Breed, Spring Offensive, A Silent Film, Alphabet Backwards & My Other Life.We hope you enjoy playing First Touch Soccer; it wouldn’t be this good without valued fan feedback.Let us know how we’ve done, enter competitions or just generally get involved in what we’re up to...VISIT US: teamfirsttouch.comLIKE US: facebook.com/firsttouchgameFOLLOW US: twitter.com/teamfirsttouch WATCH US: youtube.com/teamfirsttouch"
Trials Evolution,simulation,https://www.metacritic.com/game/xbox-360/trials-evolution,"The follow-up to Trials HD brings the bike-racing action back to the Xbox 360. Ride in real-time multiplayer with two to four players, either locally or through XBLA. Take part in single player career with 50 tracks, challenging unlocks, and tricky achievements. A massive, track editor lets you build the track of your choosing and share it with the world. Or simply download highly-rated tracks from around the globe using Track Central."
