title,genre,url,summary
Meteorfall: Journey,turn-based,https://www.metacritic.com/game/ios/meteorfall-journey,"Meteorfall is a deck-building roguelike. You'll choose your class from one of four unique adventurers, and then set out with a deck consisting of some basic attack cards. During the course of your adventure, you'll be presented with the opportunity to add powerful new cards to your deck."
Sid Meier's Civilization II,turn-based,https://www.metacritic.com/game/pc/sid-meiers-civilization-ii,"An empire-building turn-based strategy game. The game starts at the Old Stone Age in 4000 BC. Your tribe begins with a Settlers unit and has no knowledge about the surrounding area. As you found new cities and explore the surroundings, you may find hostile barbarians, villages, and other competing cultures. [Civ Fantatics' Center]"
Sid Meier's Civilization IV,turn-based,https://www.metacritic.com/game/pc/sid-meiers-civilization-iv,"Faster-Paced Fun - Gameplay has been streamlined for a tighter, faster, and more compelling experience.Greater Accessibility and Ease of Play - An easy-to-use interface will be immediately familiar to RTS and action game players, and newcomers to the series will be able to jump in and play. Tech Tree - Flexible Tech tree allows players more strategic choices for developing their civilizations along unique paths. More Civs, Units, and Improvements to enhance and grow your empire. Multiplayer -LAN, Internet, PBEM, and Persistent Turn-Based Server (PTBS) offer players all-new strategies and ways to play when competing or cooperating with live opponents. Team Play - Whether playing multiplayer or single player, team play offers a new way of setting locked alliances that result in shared wonder effects, visibility, unit trading, and shared territory that delivers a plethora of new strategic and tactical options. Civ IV comes to life! - Beautiful 3D world with dozens of fully animated units (including culturally unique units), and totally customizable armies. Cities and wonders will appear on the map. Wonder movies are back! [2K Games]"
XCOM 2: War of the Chosen,turn-based,https://www.metacritic.com/game/playstation-4/xcom-2-war-of-the-chosen,"XCOM 2: War of the Chosen adds extensive new content in the fight against ADVENT when additional resistance factions form in order to eliminate the alien threat on Earth. In response, a new enemy, known as the “Chosen,” emerges with one goal: recapture the Commander. This expansion includes new Hero classes to counter the “Chosen”, new enemies, missions, environments and increased depth in strategic gameplay."
Skulls of the Shogun,turn-based,https://www.metacritic.com/game/ios/skulls-of-the-shogun,"Crush your enemies and eat their skulls! Skulls of the Shogun is a fast-paced turn-based strategy game, supercharged with fighting-game flare and double-stuffed with a serious sense of humor! Enter the Samurai Afterlife and join forces with undead warriors, magical monks, and mighty mustachioed samurai generals!"
Dwarf Fortress,turn-based,https://www.metacritic.com/game/pc/dwarf-fortress,"The deepest, most intricate simulation of a world that's ever been created. The legendary Dwarf Fortress is now on Steam. Build a fortress and try to help your dwarves survive against a deeply generated world."
Hearthstone: Heroes of Warcraft,turn-based,https://www.metacritic.com/game/ios/hearthstone-heroes-of-warcraft,Hearthstone is a free-to-play digital strategy card game where you can choose one of nine epic Warcraft heroes to play as.
Twilight Struggle Mobile,turn-based,https://www.metacritic.com/game/ios/twilight-struggle-mobile,
Advance Wars,turn-based,https://www.metacritic.com/game/game-boy-advance/advance-wars,"The battle lines have been drawn, and an elite group of sly strategists are massing troops at your borders. You'll have to command ground, air and naval forces if you hope to survive the coming wars, and it won't be easy. With 114 maps to battle on and both Single-Pak and Multi-Pak link modes, Advance Wars brings turn-based strategy to a depth never before seen on a handheld!"
XCOM: Enemy Within,turn-based,https://www.metacritic.com/game/ios/xcom-enemy-within,"XCOM: Enemy Within is the expansion to the 2012 Game of the Year award-winning strategy game XCOM: Enemy Unknown. Enemy Within adds an incredible array of new abilities, upgrades and weapons to combat new enemy and alien threats. This expansion pack also introduces new maps, new tactical and strategic gameplay, and new multiplayer content providing a fresh new gameplay experience."
Sid Meier's Civilization VI,turn-based,https://www.metacritic.com/game/ios/sid-meiers-civilization-vi,"Civilization VI offers new ways to interact with your world, expand your empire across the map, advance your culture, and compete against historys greatest leaders to build a civilization that will stand the test of time."
Fire Emblem: Awakening,turn-based,https://www.metacritic.com/game/3ds/fire-emblem-awakening,"Lead an army of soldiers in a series of scaled turn-based strategy battles. In the process, develop relationships with your team, utilizing their special abilities on the battlefield to gain victory and advance the story, which features a wide array of characters from a variety of nations and backgrounds. They can be joined by a character of your making, with a unique appearance crafted as you see fit."
Sid Meier's Alpha Centauri,turn-based,https://www.metacritic.com/game/pc/sid-meiers-alpha-centauri,"Legendary designer Sid Meier presents the next evolution in strategy games, with the most addictive, compelling gameplay yet. Explore the alien planet that is your new home and uncover its myriad mysteries. Discover over 75 extraordinary technologies. Build over 60 base upgrades and large-scale secret projects for your empire. Conquer your enemies with a war machine that you design from over 32,000 possible unit types. [Firaxis]"
Galactic Civilizations II: Twilight of the Arnor,turn-based,https://www.metacritic.com/game/pc/galactic-civilizations-ii-twilight-of-the-arnor,"The galaxy is being consumed by the fires of war as we enter the final act of the Dread Lord saga. Galactic Civilizations II: Twilight of the Arnor is the second expansion pack to the award-winning PC strategy game, Galactic Civilizations II. Galactic Civilizations II: Twilight of the Arnor expands the gameplay of Galactic Civilizations in all new ways. New campaign detailing the final chapter in the Dread Lords wars. The Terror Star arrives, capable of destroying any star. Unique technology trees for all 12 civilizations. Unique planetary improvements for each civilization. New 3D engine powered map editor. New Scenario Editor for creating highly detailed custom games. New Campaign Editor for players who want to create their own custom epic campaigns for themselves or to share with others. New Metaverse Tournaments: Specific maps & scenarios recorded to the Metaverse with prizes for top players. [Stardock]"
