title,genre,url,summary
Sid Meier's Gettysburg!,wargame,https://www.metacritic.com/game/pc/sid-meiers-gettysburg!,"Experience victory in Sid Meier's Gettysburg! It's the most engrossing and sophisticated real-time strategy game ever. In a stunning 3D battlefield, you plan the tactics, lead the troops, and take history into your own hands. Attack from the trees to protect your brigade,rally around a General for a quicker recovery, entrench your troops as your cannons blast the hillside, and much, much more with just a click of the mouse! Complete multiplayer support via internet, LAN, modem and serial link. [Firaxis]"
Combat Mission: Barbarossa to Berlin,wargame,https://www.metacritic.com/game/pc/combat-mission-barbarossa-to-berlin,"CMBB is the sequel to the award winning ""Combat Mission: Beyond Overlord"" game. CMBB is a 1 or 2 player, hybrid turn-based/realtime 3D simulation of WWII tactical warfare on the Eastern Front, from June 1941 through May 1945. It combines unparalleled game depth, stunning graphics and sound with a proven and easy to use interface in a true 3D environment. [Battlefront.com]"
Decisive Battles of WWII Vol 2: Korsun Pocket,wargame,https://www.metacritic.com/game/pc/decisive-battles-of-wwii-vol-2-korsun-pocket,"Korsun Pocket is the long awaited sequel to ""The Ardennes Offensive"" in the Decisive Battles system. The game uses a greatly improved version of the Ardennes Offensive engine to recreate the desperate German attempt to escape encirclement on the Russian Front early in 1944. The battle is a tense and exciting struggle, with neither side having a decisive advantage, as the Russians struggle to form the pocket, then try to resist successive German rescue efforts and last ditch attempts at breakout. [SSG]"
Worms 2: Armageddon,wargame,https://www.metacritic.com/game/xbox-360/worms-2-armageddon,"[Xbox Live Arcade] Ten years on from Worms Armageddon and the turn-based mayhem and destruction continues! Worms 2: Armageddon is the most fully-featured digital version of the game ever. With four player online and offline multiplayer, voice support, a raft of new weapons (including the return of some iconic weapons from the past), all-new high-definition landscape themes, new play modes, hats, skins, speech-banks, loads of other customization and to top it all off, a highly-involving single player experience with tutorials, deathmatches, races, fort games, and puzzles. It's a package as high on fun as it is destruction. [Team17 Software]"
Airborne Assault: Red Devils Over Arnhem,wargame,https://www.metacritic.com/game/pc/airborne-assault-red-devils-over-arnhem,"Take part in the biggest Airborne operation in history! Can your British ""Red Devils"" seize and hold the Rhine crossings and end the war before Christmas 1944? Or can your desperate German forces resist the onslaught and eliminate this threat to the German heartland?"
Airborne Assault: Highway to the Reich,wargame,https://www.metacritic.com/game/pc/airborne-assault-highway-to-the-reich,"September 1944, General Montgomery mounts the most daring Allied offensive of WW2. The plan is ambitious. Drop thirty thousand airborne troops deep behind enemy lines, seize the vital bridges across the Rhine, secure the highway to the Reich, advance the Allied armies into the German heartland and end the war by Xmas. Take command and with the aid of the world's most advanced wargame engine fight the battle and change history. The Airborne Assault game engine revolutionizes wargaming. Its pausable, continuous time game play, the most advanced artificial intelligence of any wargame, powerful and intuitive user interface and unique command system provide the most realistic and enjoyable simulation of operational warfare. Command like a real General, under real time pressures to achieve real objectives on a real map all within the fog of war. Issue orders to your powerful AI controlled subordinates or take total control of every unit. Fight the worlds most advanced AI opponent or match wits against your friends online or over a LAN. [Matrix Games]"
Toy Soldiers: Cold War,wargame,https://www.metacritic.com/game/xbox-360/toy-soldiers-cold-war,"The Cold War ignites when '80s era action toys come alive and wage war! Toy Soldiers: Cold War delivers hours of intense combat combined with addictive action strategy gameplay. Superpowers collide in this playful homage to '80s action toys and films. Command the powerful Cold War arsenals of the USA or USSR armies! Control base turrets, modern combat vehicles, fighter jets, attack helicopters, and commando action figures. Whether lighting up the Toy Box alone or jumping into the fray with your friends, battle in campaign, co-op, or competitive modes. Fight for the high score in the addictive mini-games, and while you're at it, don't forget to BLOW EVERYTHING UP!"
Toy Soldiers,wargame,https://www.metacritic.com/game/xbox-360/toy-soldiers,"[Xbox Live Arcade] Put your foot soldiers, snipers, cavalry, and fighter pilots to the test in Toy Soldiers. Poised to be a smash hit on Xbox LIVE® Arcade, Toy Soldiers is an action-packed strategy-based game in which players command antique WWI toy soldiers vying for control of the trench-filled battlefields of Europe. Deploy an exciting arsenal such as tanks, cavalry, biplanes, and flamethrowers in vintage WWI toy dioramas. Developed by Signal Studios exclusively for Xbox 360, Toy Soldiers allows you to take control of individual units or control the entire battlefield from a strategic view. Integrating multiple game genres and world-class visuals, Toy Soldiers is a unique and action-packed entertainment experience. [Xbox.com]"
Combat Mission 3: Afrika Korps,wargame,https://www.metacritic.com/game/pc/combat-mission-3-afrika-korps,"Combat Mission: Afrika Korps (CMAK) is the latest game in the award winning Combat Mission series. Based on the same engine as Combat Mission: Barbarossa to Berlin (Wargame of the Year 2002 - Computer Gaming World and the 2002 Best Turn Based Strategy Game - PC Gamer), it introduces a number of important upgrades and changes relevant for the fighting in the North African deserts, the Italian mountains and the island of Crete, such as multi-turreted tanks, dust clouds kicked up by artillery and moving vehicles plus much more. Combat Mission: Afrika Korps is a 1-2 player, hybrid turn-based/realtime 3D simulation of WWII tactical warfare in parts of the Mediterranean Theater including North Africa, Italy, Sicily and Crete from 1940 to 1945. [Battlefront.com]"
Combat Mission: Battle for Normandy,wargame,https://www.metacritic.com/game/pc/combat-mission-battle-for-normandy,"Combat Mission - Battle for Normandy (CM:BN) faithfully recreates the experience of tactical land warfare in Western France during World War Two. Using the unique Turn-Based (WeGo)/Real-Time hybrid game system of our proprietary CMx2 battle engine, the first installment in this new series covers the three months after the Allied D-Day landings in Normandy in June 1944, from Operation Overlord in June through the Cobra Breakout in August."
