title,description,genres,meta_score,user_score,developer,platform,release_date,rating
10-IN-1: ARCADE COLLECTION,"Bring back those retro memories! Test your skill in each of the ten games in this classic arcade collection!

Ten minigames filled with retro arts, music, sound effects and fun. One hundred levels filled with a host of enemies to destroy. Dozens of collectable items and power-ups are waiting to help you achieve victory.

Battle against time and enemies to achieve the highest score in each challenge in this 10 in 1: Arcade Collection.

Every minigame has a new 3D approach to the famous classics. Enjoy hours of fun reliving fond memories of your youth and, if you're too young to remember, see what computer games looked like in the old days!","Genre(s): Miscellaneous, Compilation, Compilation",N/A,3.3,Gamelion Studios,3DS,"Aug 15, 2013",E
1001 SPIKES,"Aban Hawkins & the 1,001 Spikes is a 2D platformer where you have 1,001 lives to beat the game.","Genre(s): Action, General, Platformer, Platformer, 2D, 2D",73,6.6,Nicalis,3DS,"Jun 3, 2014",T
101 DINOPETS 3D,"Over 101 dinos to adopt and love! Teach your dino tricks, enjoy fun games, dress up your dino—all in amazing 3D! What's even more fun than a puppy for a pet? Your very own dinosaur! With 101 DinoPets 3D, you can have a dino friend to care for, teach, play with and love, all in amazing 3D. Choose from over 101 entertaining dinos—or simply adopt them all! Play a game of fetch in the park or teach your dino to dance, jump and fly. Reward your pet with a treat after each trick! Enter your dino into pet shows to earn toys, food, clothing and furniture, then dress up your pet with hats, glasses, shirts and more. Watch your dino up close and personal, as you zoom in, zoom out, tilt and rotate in real 3D. Enjoy fun minigames as you take your dino to the vet for checkups, give it a bath, romp in the yard and more. You'll never be bored with over 101 dino friends to groom, pamper, play with and love!","Genre(s): Simulation, General, General, Virtual, Pet",N/A,tbd,Teyon,3DS,"Jan 10, 2013",E
101 PENGUIN PETS 3D,"Over 101 penguins to adopt and love! Dress up your penguin, teach it tricks, enjoy fun games - all in vivid 3D!

There's nothing more fun than a pet penguin! Show your penguin how to breakdance and jump, dress it up in hilarious clothes, play silly minigames and more, all in amazing 3D. With 101 Penguin Pets 3D, you can have your very own penguin friend to care for, teach, play with and love!

Romp in the snow, teach your penguin tricks, and enter your pet into dance competitions to earn toys, food, clothing and furniture. Dress up your penguin with hats, glasses and shoes as you zoom in, zoom out, tilt and rotate in real 3D. Enjoy fun minigames as you take your penguin to the vet for checkups, give it a bath, go skiing and more.

You'll never be bored with over 101 penguin friends to groom, pamper, play with and love!
-101+ penguins to adopt
-101+ toys and items
-Zoom, tilt and rotate in stunning 3D
-Fun minigames and quests","Genre(s): Simulation, Miscellaneous, General, General, Virtual, Virtual Life, Pet",N/A,tbd,Teyon,3DS,"Oct 17, 2013",E
101 PONY PETS 3D,"Over 101 ponies to adopt and love! Teach your pony, enjoy fun games, dress up your pony-all in amazing 3D!

What's even more fun than a puppy for a pet? Your very own pony! With 101 Pony Pets 3D, you can have a pony friend to care for, teach, play with and love, all in amazing 3D. Choose from over 101 entertaining ponies-or simply adopt them all!

Play a game of fetch in the park or teach your pony to dance, jump and fly. Reward your pet with a treat after each trick! Enter your pony into pet shows to earn toys, food, clothing and furniture, then dress up your pet with hats, glasses, shirts and more. Watch your pony up close and personal, as you zoom in, zoom out, tilt and rotate in real 3D. Enjoy fun minigames as you take your pony to the vet for checkups, give it a bath, romp in the yard and more.

You'll never be bored with over 101 pony friends to groom, pamper, play with and love!
-101+ ponies to adopt
-101+ toys and items
-Zoom, tilt and rotate in stunning 3D
-Fun minigames and quests","Genre(s): Simulation, Miscellaneous, Virtual, Virtual Life, Pet",N/A,9.0,Teyon,3DS,"Jul 24, 2014",E
2 FAST 4 GNOMZ,"Four brave gnomes venture on a journey so epic, they don't even know where they're going. Join Bumb, Berzerk, Speedster and Uncle Time as they run, fly, bounce, glide and break their way through the magical lands of Gnomia to reach their mysterious destiny. You can help them save the kingdom, find a princess and collect hundreds of precious lost socks. Run faster than a speeding rabbit! Leap large holes in a single bound! Become more powerful than a raging elephant! Get 2 Fast 4 Gnomz!","Genre(s): Action, Platformer, Platformer, 2D, 2D",65,7.0,QubicGames,3DS,"Nov 1, 2012",E
2048,"Enjoy 2048, the most addictive number sliding puzzle. Move all tiles in one direction, double up tiles of the same number. Reach the 2048 tile before the board fills up. Try different games modes with 1024, 2048 and 4096 goals for extra challenges. There are 20 achievements to unlock for hours and hours of puzzle fun. Can you reach a new highscore? With intuitive controls you will enjoy 2048 more than ever. Try 2048 today and see why this is one of the greatest puzzle games of all time. The original 2048 was created by by Gabriele Cirulli.","Genre(s): Miscellaneous, Puzzle, Logic",60,5.0,Cosmigo,3DS,"Jun 19, 2014",E
35 JUNIOR GAMES,"See your favorite games come alive! Get up close and personal with the most exciting game collection for kids and teens!
Dive into mind boggling puzzles or fast and furious action challenges. These games will seem to come alive in your very own hands with engaging graphics and electrifying 3D effects. Now the games you love most offer even more fun and hours upon hours of entertainment!","Genre(s): Action, General",N/A,tbd,N/A,3DS,"Jan 24, 2013",N/A
3D AFTER BURNER II,"3D After Burner II is the 1987 flight game first released on SEGA’s X Board arcade hardware. Delivering a vintage arcade experience, the re-mastered version features stereoscopic 3D visuals and offers a host of options and settings, including the ability to adjust the difficulty settings and other visual enhancements, such as smoke transparency that were not present in the original version. Players are able to choose from a number of real-life arcade cabinets wherein everything from the appearance to the environmental sounds of the specific cabinet are recreated, providing an arcade experience. The highlight of 3D After Burner II is the addition of the ’special mode’ which can be unlocked once the player completes the game. The ’special mode,’ while maintaining the basics of the ’arcade mode,’ provides the player with a completely new gaming experience and allows the players to control time by utilizing the ‘burst’ which makes avoiding incoming attacks easier and increases the number of lock-on targets.","Genre(s): Action, Simulation, Flight, Shooter, Scrolling, Rail, Shoot-'Em-Up, Combat, Vertical",81,7.8,M2,3DS,"Jan 15, 2015",E10+
3D ALTERED BEAST,"Rise from your grave!

Summoned from the dead by Zeus, shape shift into various beasts and fight off hordes of demons to rescue the captured Athena from the clutches of Neff.

Transform into a variety of beasts and fight off throngs of demons sent forth by the evil Neff. The mighty shape-shifting god will challenge you in various, hideous forms in each level, but you are armed to the teeth with transformative tricks of your own!

In addition to its all-new 3D presentation, 3D Altered Beast also supports local multiplayer, and a Random Transformation Mode.","Genre(s): Action, Beat-'Em-Up, Beat-'Em-Up, 2D",N/A,tbd,M2,3DS,"Dec 5, 2013",E10+
3D CLASSICS: EXCITEBIKE,"One of the Nintendo Entertainment System's acclaimed launch titles returns, re-mastered in stunning 3D!

The original Excitebike game returns, re-mastered with Nintendo's 3D technology and available exclusively via Nintendo eShop! Tackle perilous obstacle courses alone or face off against rival bikers as you compete in white-knuckle motocross races that pit you against the clock. Make good time, and you might get a chance to race in a legendary Excitebike rally. Or if you feel the need for customized speed, create your own tracks to race on using the intuitive Course Editor feature that now lets you save up to 32 dream courses of your own design! Get ready for the ride of your life with 3D Classics: Excitebike, and rediscover an old favorite enhanced to a new dimension!

Nintendo is offering the NES game Excitebike re-mastered in 3D as a free download until July 7 for anyone who installs the system update.","Genre(s): Driving, Racing, Arcade, Motorcycle, Other, Automobile, Motocross, Motocross",N/A,6.6,Arika,3DS,"Jun 6, 2011",E
3D CLASSICS: KID ICARUS,"Enjoy classic games with a new dimension via the 3D Classics range, remastered with immersive 3D visuals! From the creators of Metroid comes Kid Icarus: an action-platformer starring angelic warrior Pit, whose quest is to rescue the goddess Palutena and save Angel Land from the evil Medusa. Armed with his trusty bow and arrow, Pit must battle from the underworld to the sky, to seek out the Three Sacred Treasures - only then will Pit have the power to take on Medusa. Look out for Pit's return in Kid Icarus: Uprising for Nintendo 3DS!","Genre(s): Action, Platformer, Platformer, 2D, 2D",77,7.4,Arika,3DS,"Mar 23, 2012",E
3D CLASSICS: KIRBY'S ADVENTURE,"Delve into the land of dreams-turned-nightmares as Kirby flies with the stars in 3D. 3D Classics: Kirby's Adventure offers you a chance to explore the world of Dream Land in a whole new way. The landscape comes to life as Kirby crosses land, sea, and sky in his quest to restore the Star Rod. After waking from a dreamless sleep, Kirby goes to investigate the Dream Spring only to find that its source of energy has been stolen by King Dedede. Broken and divided across seven worlds, Kirby will need to use his unique ability to steal enemies' powers as he battles and to restore the pieces of the Star Rod. Without it, how can a hero fight another day if he can't get a good night's sleep? Embark on this adventure as the beloved pink character tries to save the citizens of Dream Land from a lifetime of terrible nightmares.","Genre(s): Action, Platformer, Platformer, 2D, 2D",77,7.9,Arika,3DS,"Nov 17, 2011",E
3D CLASSICS: TWINBEE,The popular Japanese arcade shooter is now available in 3D. Guide TwinBee as you shoot through the clouds.,"Genre(s): Action, Shooter, Shooter, Scrolling, Scrolling, Shoot-'Em-Up, Vertical",68,7.3,Arika,3DS,"Sep 22, 2011",E
3D CLASSICS: URBAN CHAMPION,The first fighting game released for the Nintendo Entertainment System returns for a knockout in amazing 3D. The first fighting game released for the Nintendo Entertainment System is back for another round. Use a combination of punches to knock your opponent backward into an open manhole before time expires. Watch out for angry neighbors who will attempt to drop flowerpots on your head. The police will also make an occasional appearance to temporarily break up the fight – or to make an arrest if time runs out. Find out if you have what it takes to make it on the rough city streets against the toughest brawlers around. Prove yourself worthy and be crowned Urban Champion.,"Genre(s): Action, Fighting, Fighting, 2D, 2D",37,4.8,Arika,3DS,"Aug 18, 2011",E10+
3D CLASSICS: XEVIOUS,Xevious is an NES game remastered for the Nintendo 3DS.,"Genre(s): Action, Shooter, Shooter, Scrolling, Scrolling, Shoot-'Em-Up, Vertical",56,5.8,Arika,3DS,"Jul 21, 2011",E
3D ECCO THE DOLPHIN,"Save the seas as Ecco the Dolphin!

After a mysterious storm sweeps your family from the sea, its up to you to find them and uncover the mystery behind the forces that took them.

The search to find them will take you through vast underwater realms of treachery, beauty and adventure. Use your sonar to discover hidden caverns and unlock the secrets of crystal glyphs, but beware of packs of bloodthirsty sharks that search the ocean for unwitting prey!

In your quest, youll discover that more than your familys safety is at stake. The fate of the whole world rests on your wits and fins.

In addition to its all-new 3D presentation, 3D Ecco the Dolphin also features Super Dolphin Mode where your health and breath never deplete!","Genre(s): Action, Platformer, Platformer, 2D, 2D",N/A,tbd,M2,3DS,"Dec 12, 2013",E
3D FANTASY ZONE,"Take command of the spaceship Opa-Opa and blast your way through various fantastical levels as you try to take out all the enemy bases in each stage. Once you've destroyed the bases, you'll have to beat the stage boss in order to move on to the next level. By using your guns and bombs wisely, you'll be able to take down your enemies and explore each of the crazy environments in this side-scroller. You can also buy upgraded weapons for your ship by accessing the shop.","Genre(s): Action, Shooter, Scrolling, Shoot-'Em-Up, Vertical, Horizontal",79,7.2,M2,3DS,"Feb 12, 2015",E
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
