title,description,genres,meta_score,user_score,developer,platform,release_date,rating
#KILLALLZOMBIES,"In the distant future; #KILLALLZOMBIES is thrusting civilians into a sport of survival were a ravenous zombie population is unleashed in the name of sports entertainment with television spectators voting upon how many zombies they want to uncage to make survival all the more harder for you to accomplish with the potential of a collective horde of over 1,000 zombies.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down",,tbd,Beatshapers,PlayStation 3,"Mar 7, 2017",
.DETUNED,"[Playstation Network] Developed by .theprodukkt, .detuned is a personalized, interactive music experience which gives you the opportunity to create dynamic artwork in real-time to accompany your XMB music collection. Manipulate the given scene by interacting with and modifying its unique graphics using the DUALSHOCK 3 Wireless Controller. Plus you can change and tweak your own music to accompany the scene. Download .detuned today for an artistic music experience. [SCEA]","Genre(s): Action, Miscellaneous, Rhythm, Music, Music",46.0,3.7,.theprodukkt,PlayStation 3,"Oct 15, 2009",E
007 LEGENDS,"Each of the 007 Legends movie-inspired missions include multiple levels based on a re-imaginings of some of the most iconic Bond films, showcasing state-of-the-art spy gadgets, an arsenal of weapons and tricked-out vehicles, exotic locales, and intense moments that require Bond’s dexterity to defeat notorious villains and their wily henchmen.","Genre(s): Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",41.0,4.1,Eurocom Entertainment Software,PlayStation 3,"Oct 16, 2012",T
007: QUANTUM OF SOLACE,"Introducing a more lethal and cunningly efficient Bond, the game blends intense first-person action with a unique third-person cover combat system that allows players to truly feel what it is like to be the ultimate secret agent as they use their stealth, precision shooting and lethal combat skills to progress through missions. Blending the action of the ""Quantum of Solace"" feature film with the ""Casino Royale"" movie, the title propels players into the cinematic experience of international espionage. Based on the Call of Duty 4: Modern Warfare game engine that has been specifically engineered to immerse players in the Bond universe, the Quantum of Solace game delivers high-definition graphics, reactive AI and visually stunning locations inspired by locales portrayed in the films. Quantum of Solace marks the first time players can become the dangerous and cunning Bond as portrayed by Daniel Craig. From silent take downs and sneaking through confined spaces, to one-on-one shoot outs and large scale battles, players experience a variety of gameplay that challenges them to think through situations and choose how they progress, whether it's through covert means or confronting enemies in full force. Advanced combat and Realistic AI: Players engage in both first-person and third-person gameplay that allows gamers to be Bond in unscripted battles against the world's most evil villains and mercenaries. Filled with armed combat, massive explosions and vertigo-inducing chases, gamers are immersed in an authentic Bond universe and drawn into epic movie moments with theatrical camera angles, split screen effects, picture-in-picture sequences, and amazing environments inspired by real world locations such as Montenegro, Venice, Bolivia and Austria. Bringing James Bond to next-gen consoles for the first time, gamers now have the ability to battle online in a variety of modes. [Activision]","Genre(s): Action, General, Shooter, Shooter, First-Person, Modern, Modern, Arcade",65.0,6.7,Treyarch,PlayStation 3,"Nov 4, 2008",T
1942: JOINT STRIKE,"[Playstation Network] 1942: Joint Strike takes inspiration and influence from the 194X series of World War II-themed vertical shooters. The art, sound, and gameplay of the new game takes cues from the original 194X games, but stands out as its own unique entry. Gameplay resembles the classic 2D style that gamers expect, but the game utilizes a full 3D engine. Set in a World War II-themed locale, stages, vehicles, and weapons have the look and feel of WWII with some stylistic differences. The world in which 1942 takes place is not our own and the events that transpire are not historically accurate, nor are they intended to be. This is an alternate world where history and technology developed along their own paths. As a result, players jump into the cockpits of WWII-era aircraft to take on huge waves of incoming enemy fire, dodging explosions and missiles while challenging huge bosses at the end of each stage. New co-op ""Joint Strike attacks"" combine the powers of two aircrafts into a devastating barrage. [Capcom]","Genre(s): Action, Shooter, Shooter, Scrolling, Scrolling, Shoot-'Em-Up, Vertical",69.0,5.9,Backbone Entertainment,PlayStation 3,"Jul 24, 2008",E10+
2010 FIFA WORLD CUP SOUTH AFRICA,"EA SPORTS 2010 FIFA World Cup South Africa features all the emotion and passion of the fiercest national rivalries battling on the world’s biggest stage, with all 199 national teams that took part in qualification, all 10 official stadiums to be used in South Africa and stadiums from each qualifying region. Gamers can play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation. Everything fans love about the World Cup comes to life in spectacular detail, including confetti rain, streamers, & fireworks - just like the official tournament. [Electronic Arts]","Genre(s): Sports, Traditional, Team, Soccer, Sim, Sim",82.0,7.6,EA Canada,PlayStation 3,"Apr 27, 2010",
2014 FIFA WORLD CUP BRAZIL,"An all-new feature and one of 100 new animations, Over-the-Back Headers give players the ability to jump over top of the opposition to win the ball. On defense, jump over the back of a holding attacker to clear the ball to safety or while in attack, jump over your defender to unleash a header on goal.","Genre(s): Sports, Traditional, Team, Soccer, Sim",73.0,4.8,EA Canada,PlayStation 3,"Apr 15, 2014",E
2K ESSENTIALS COLLECTION,"Features the groundbreaking originals, BioShock and Borderlands, as well as the highly acclaimed XCOM: Enemy Unknown. A must have collection for any game library.","Genre(s): Miscellaneous, Compilation, Compilation",,tbd,Various,PlayStation 3,"Oct 22, 2013",
2K POWER PACK,"Get ready to wield some amazing power from the genetically altered abilities in Bioshock 2, to the lure of dark forces in The Darkness II and good ole gangster firepower in Mafia II this pack has them all.","Genre(s): Miscellaneous, Compilation, Compilation",,tbd,Various,PlayStation 3,"Oct 29, 2013",M
3 ON 3 NHL ARCADE,"[Playstation Network] With fast paced action, crushing hits and loads of room to experiment, 3 on 3 NHL Arcade promises to have gamers from all walks of life excited about hockey. With no rules to hinder the action, deliver devastating checks that send your opponent over the boards and watch as he has to skate back onto the ice. If the goalie comes out of his crease to play the puck, check him. Exaggerated player-looks take center stage with 40 of the top NHL stars, representing every team, skating around the miniature rink. With game-changing power-ups falling on the ice throughout each session, serious is not the name of this game. Fly down the ice with a super-speed skater, and beat a giant sprawling goalie with a trick move for that highlight reel finish. With two control schemes to choose from, players can pick between button controls that allow gamers of all skill levels to pass, shoot, hit and break out the all-new trick moves with ease, or the more advanced Skill Stick controls from NHL 09. 3 on 3 NHL Arcade also brings the online experience players have come to expect from EA SPORTS. In addition to standard ranked matches, 3 on 3 NHL Arcade allows the ability for three players on one console to play three other players on another console anywhere in the world. [Electronic Arts]","Genre(s): Sports, Traditional, Team, Ice Hockey, Arcade, Arcade",66.0,7.1,EA Canada,PlayStation 3,"Feb 5, 2009",E
