title,description,genres,meta_score,user_score,developer,platform,release_date,rating
A PLACE FOR THE UNWILLING,"A branching narrative adventure set in the final 21 days of a dying city. Every decision you make will shape your surroundings, and the city's fate. However, the clock is ticking - and the city carries on, with or without you. Speak to everyone from eerie politicians to chain-smoking child anarchists. Work as a trader, socialise, explore the town freely, and play a role in the city's hierarchy. Combining exquisite narrative depth and exploration with a curious setup - plus a dash of Lovecraft - A Place for the Unwilling is a rich narrative experience where player choices really do count, set in a Dickensian world of colour and Eldritch nightmares.","Genre(s): Adventure, General",N/A,7.0,AlPixel Games,Stadia,"Feb 25, 2021",M
ADVENTURE TIME: PIRATES OF THE ENCHIRIDION,"It's Adventure Time! Finn and Jake have saved the Land of Ooo more times than they can count -- but, this time, they might be in over their heads. Somebody's up to bad biscuits. They got their hands on another Enchiridion, and they've somehow used it to flood the Land of Ooo. Help Finn and Jake as they take to the high seas to solve this latest mystery and save the kingdoms of Ooo in this all-new third-person puzzle adventure. Freely explore unknown waters and familiar kingdoms with your crew of Adventure Time buddies. Unleash your heroes' unique abilities in exciting tactical battles on land and sea, and interrogate pirates and other suspicious characters as you try to figure out what son of a blee blop is behind this disastrous series of events.","Genre(s): Role-Playing, Action Adventure, Japanese-Style, Open-World",N/A,tbd,Climax Studios,Stadia,"Mar 25, 2022",E10+
ARK: SURVIVAL EVOLVED,"As a man or woman stranded naked, freezing and starving on the shores of a mysterious island called ARK, you must hunt, harvest resources, craft items, grow crops, research technologies and build shelters to withstand the harsh elements. Use your cunning and resources to kill or tame & breed the leviathan dinosaurs and other primeval creatures roaming the land, and team up with or prey on hundreds of other players to survive, dominateand escape!

FEATURES:

* Use cunning strategy and tactics to tame, train, ride and breed the 100+ dinosaurs and other primeval creatures roaming the dynamic, persistent ecosystems across land, sea, air, and even underground.

* Build your character's strengths and gain items, skills, and pet creatures using in-depth role-playing systems.

* Start a tribe with hundreds of other players to survive and dominate competing tribes...and ultimately discover ARK's true purpose.

* Build a fire or shelter, then craft customizable clothing & armors to help protect against damage and extreme temperatures on your way to unlocking advanced technologies and equipment.

* Chop down trees and mine metal and other precious resources to build massive multi-leveled structures composed of complex snap-linked parts.","Genre(s): Action Adventure, Survival, Sandbox",N/A,6.8,War Drum Studios,Stadia,"Sep 1, 2021",T
ARY AND THE SECRET OF SEASONS,"Ary and the Secret of Seasons is an award-winning adventure game following a young girl named Aryelle, or Ary, as she journeys across the great world of Valdi. By becoming the Guardian of Winter, Ary gains the ability to manipulate the seasons around her. Ary will learn to control the seasons and use them to defeat enemies, overcome obstacles, and solve complex puzzles on her adventure across Valdi.

Long ago, the world of Valdi was threatened by an evil mage. After a great struggle, he was defeated by the Legendary Warrior and sealed inside the Vault, imprisoned for all eternity. To ensure the mage's imprisonment, four great sages swore to keep watch and protect the Vault. They formed the original Guardians of Seasons, a secretive organization now steeped in history and legend.

After a mysterious force throws the seasons of Valdi into disarray, Ary decides to assist the Guardians of Seasons and sets out to find the source of the mayhem. Using her wits and courage, Ary will have to overcome monstrous enemies, secret plots, and stuffy traditions to save Valdi and bring balance to the world once more.","Genre(s): Action Adventure, General",N/A,6.1,Exiin,Stadia,"Nov 5, 2020",E10+
ASSASSIN'S CREED III REMASTERED,"Ignite the revolution. The American, 1775. As a Native American assassin fights to protect his land and his people, he will ignite the flames of a young nation's revolution.","Genre(s): Action Adventure, Open-World",N/A,tbd,Ubisoft,Stadia,"Dec 14, 2021",M
ASSASSIN'S CREED IV: BLACK FLAG,"It is 1715. Pirates rule the Caribbean and have established a lawless pirate republic. Among these outlaws is a fearsome young captain named Edward Kenway. His exploits earn the respect of pirate legends like Blackbeard, but draw him into an ancient war that may destroy everything the pirates have built.","Genre(s): Action Adventure, Open-World",N/A,tbd,Ubisoft,Stadia,"Sep 14, 2021",M
ASSASSIN'S CREED LIBERATION HD,"Liberation is set in New Orleans between 1765 and 1780, in the period between the end of the French and Indian War, up to the middle of the American Revolution. The game tells the story of Aveline; a female Assassin of mixed French and African heritage. Brought up in a world of privilege and contrasts, Aveline becomes a strong willed woman and an avid opponent of slavery.","Genre(s): Action Adventure, Open-World",N/A,tbd,Ubisoft Sofia,Stadia,"Dec 14, 2021",M
ASSASSIN'S CREED ODYSSEY,"Write your own epic odyssey and become a legendary Spartan hero. Forge your destiny in a world on the brink of tearing itself apart. Influence how history unfolds in an ever-changing world shaped by your choices.

Features:

* LEGENDARY SPARTAN HERO - Embark on your journey from outcast to legendary Spartan hero.
* ANCIENT GREECE AWAITS - Explore an entire country full of unexpected encounters in untamed environments and bustling ancient cities.
* CHOOSE YOUR PATH - Your choices shape the world around you. Play in a living world that constantly reacts to your every decision.
* FIGHT EPIC BATTLES - Charge into epic clashes between Sparta and Athens in battles pitting 150v150 soldiers against each other.
* SAIL THE AEGEAN SEA - Recruit crewmembers and customize your ship as you explore and battle your way on the open seas.","Genre(s): Action Adventure, Open-World",N/A,7.5,Ubisoft,Stadia,"Nov 19, 2019",M
ASSASSIN'S CREED ORIGINS,"Set in mysterious Ancient Egypt, Assassin's Creed Origins is a new beginning. Experience a new way to fight while exploring the great pyramids and hidden tombs across the country of Ancient Egypt. Live emotional and memorable adventures along your journey and discover the origin story of the Assassin's Brotherhood.","Genre(s): Miscellaneous, Action Adventure, Edutainment, Open-World",N/A,7.7,Ubisoft Montreal,Stadia,"Dec 16, 2020",M
ASSASSIN'S CREED ROGUE REMASTERED,"The darkest chapter of the Assassin's Creed franchise, Assassin's Creed Rogue has been remastered for Xbox One and PlayStation 4 system, now featuring 4K resolution on Xbox One X and PlayStation 4 Pro (1080p on Xbox One and PS4 system), high-resolution textures, and improved shadows and lighting in addition to several other graphical enhancements.

18th century, North America. Amid the chaos and violence of the French and Indian War, Shay Patrick Cormac, a fearless young member of the Assassin Brotherhood, undergoes a dark transformation that will forever shape the future of the colonies. After a dangerous mission gone tragically wrong, Shay turns his back on the Assassins who, in response, attempt to end his life. Cast aside by those he once called brothers, Shay sets out on a mission to wipe out all who turned against him, to ultimately become the most feared Assassin hunter in history.

In Assassin's Creed Rogue Remastered, you will experience the slow transformation from Assassin to Assassin hunter. Follow your own creed and set off on an extraordinary journey through New York City, the wild river valley, and far away to the icy cold waters of the North Atlantic in pursuit of your ultimate goal to bring down the Assassins for good.","Genre(s): Action Adventure, Open-World",N/A,tbd,Ubisoft,Stadia,"Oct 6, 2021",M
