title,description,genres,meta_score,user_score,developer,platform,release_date,rating
#KILLALLZOMBIES,"In the distant future; #KILLALLZOMBIES is thrusting civilians into a sport of survival were a ravenous zombie population is unleashed in the name of sports entertainment with television spectators voting upon how many zombies they want to uncage to make survival all the more harder for you to accomplish with the potential of a collective horde of over 1,000 zombies.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down",N/A,tbd,Beatshapers,PlayStation Vita,"Dec 6, 2016",N/A
0WAR,"A game where you become a commander and lead a battleship to invade the planet.

Grab victory by making full use of naval gunfire between battleships and Kamikaze by carrier-based aircraft!","Genre(s): Strategy, Real-Time, General, General, Tactics",N/A,tbd,TEASOFT,PlayStation Vita,"Jun 12, 2013",E
1 CHICKEN 2 BULLETS,1 Chicken 2 Bullets is my latest and most likely last project coming to Playstation Mobile (PSM). It is an old school arcade type shooter. The main goal = beat your high score. Simple enough right . . . there's a catch you only have 2 bullets as the title suggests so you have to collect your bullet(s) after each shot :D,"Genre(s): Action, General, Arcade",N/A,tbd,Blackjack21,PlayStation Vita,"Oct 14, 2014",E10+
10 SECOND NINJA X,"10 Second Ninja X is a hardcore sidescroller. You’re a ninja, there are robots, you’ve got ten seconds to destroy them all. Get three star ratings, climb leaderboards, discover secrets, and stop Captain Greatbeard.","Genre(s): Action, Platformer, 2D",N/A,5.4,Four Circle Interactive,PlayStation Vita,"Jul 19, 2016",T
1001 SPIKES,"Aban Hawkins & the 1,001 Spikes is a 2D platformer where you have 1,001 lives to beat the game.","Genre(s): Action, Platformer, Platformer, 2D, 2D",81,6.4,Nicalis,PlayStation Vita,"Jun 3, 2014",N/A
16BIT TRADER,"Take revenge on your father’s killer, and become the richest merchant in the kingdom! Immerse yourself in this old-school nostalgia-inducing trading experience.Step into the shoes of a medieval traveling merchant, whose life boils down to one simple sentence: you got to buy cheap, and you got to sell high. Travel between the cities and villages of the realm in search of cheap goods to acquire, various quests to accomplish and wealth to accumulate. Visit local taverns for latest local gossip. Gain influential friends who may help you along the way. Hire companions to assist you if you run into vile bandits or unpredictable events. Pursue rumors of great harvest and goods shortages to find the best deals. Search for local people in need and they may reward you handsomely for your help. Expand your company, invest in it, and get rich in no time! And if you’re for a bit of a thrill, visit ancient landmark and search for valuable artifacts. Take the challenge and become the richest merchantman in the world and get revenge!Play at your own pace. Casually travel through the realm if you want to relax. Monitor every price change, pursue every rumor, manage every detail if you want to achieve best results!- Dozens of different cities and villages- Tens of various quests to accomplish- Great graphics with an old-school 8-bit vibe- Easy to get to know, hard to master- Random encounters","Genre(s): Adventure, General, General",N/A,tbd,Forever Entertainment S.A.,PlayStation Vita,"Apr 24, 2013",N/A
2013: INFECTED WARS,N/A,"Genre(s): Action, Shooter, Third-Person, Arcade",N/A,5.8,Action Mobile Games,PlayStation Vita,"Mar 24, 2015",N/A
2064: READ ONLY MEMORIES,"Read Only Memories is a new cyberpunk adventure that will take you on a journey of puzzle-solving and exploring as you investigate the mysterious world and characters of Neo-San Francisco. Inspired by both classic Japanese and Western adventure games, ROM is a retrofuturistic take on the point and click adventure genre that features a rich mature narrative and unique gameplay challenges hidden within the beautiful interactive pixel scenes. The deeper you delve into the life of your missing friend, the further you get entangled into this tale about the dark side of technology.
Can you survive in Neo-SF? Or will the mystery go unsolved?","Genre(s): Adventure, General, Point-and-Click",N/A,3.0,MidBoss,PlayStation Vita,"Dec 9, 2017",M
25 INVISIBLE MAZES,N/A,"Genre(s): Puzzle, General",N/A,tbd,Awesome Enterprises,PlayStation Vita,"Mar 10, 2015",N/A
36 FRAGMENTS OF MIDNIGHT,"This time Midnight’s friends lost their Star Fragments! Your task is to find them, and take them back — but it won’t be easy. Avoid deadly lasers, circular saws, and spikes to collect all the Fragments.","Genre(s): Action, Platformer, 2D",N/A,5.0,Petite Games,PlayStation Vita,"Oct 6, 2017",E
