title,description,genres,meta_score,user_score,developer,platform,release_date,rating
"""BUY THE GAME, I HAVE A GUN"" -SHEESH-MAN","This game is worth every penny, and you should buy it right now, why? Firstly because the whole story was written during a live-stream, which makes the story totally nonsensical! If this doesn't convince you remember that not only do I have a gun, I also know all your secrets. This is of course a joke, I do not know your secrets, yet. The game even features some of the most famous actors to have ever lived, including ""Thrash94Gaming"" you might know him for never being in a movie. ""LaraCroft86"" you might know her for also not being in any movie. Lastly but mostly least ""Gamer Jeffro"" for his famous role as Asa Gray in the video game that you are about to buy. Thankfully this game also includes two actors from Kimulator's Films, sadly they also were never in anything noteworthy.

You might wonder who I am, well I'm Sheesh-Man, I literally come from another planet, I'm like an alien, a spooky sheeshing alien to say the truth. Don't challenge me or I will sheesh your whole family, including your dog, it's not a threat, it's a fact.

Now back to the game, it features over 2 hours of video footage of me and my worst enemy Swag-Girl, who even says Swag in 2023? Pft, we all know Sheeshing is the new hip and cool thing to do.

This game is an interactive movie telling the story of how I went on earth and became a super-hero or whatever, it's pretty sick if you ask me! Not sick in the sense that you will throw up, but in the sense that it's cool. This my friend was a word play, you can expect this level of humour in the game, may I say it even gets better than this, not a lot, but at least a little bit.

The game as a ton of bonus content too! Even a video of Mini the dog taking a shower, can you believe it? I surely can, because it's true and it's literally in the game.

Either way, I don't think you need more reasons to buy the game but I will give you another one, this game includes 4 PSN Avatars! Use them to show all your friends that you are indeed the best gamer of the gamers.","Genre(s): Adventure, General",,tbd,Kimulator's Films inc.,PlayStation 4,"Jan 29, 2023",M
#FUNTIME,#Funtime is an explosive twin-stick shooter where shooting isn't your only weapon. #Funtime combines traditional twin-stick shooting with a unique coloring mechanic. Earn bonus points by coloring the playing field and exploding enemies that cross your path. Persistent ship upgrades allow for lengthier runs filled with even more mayhem. Fast and fun gameplay will have you coming back again and again.,"Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down",,tbd,The Quantum Astrophysicists Guild,PlayStation 4,"Jul 16, 2020",E
#KILLALLZOMBIES,"In the distant future; #killallzombies is thrusting civilians into a sport of survival were a ravenous zombie population is unleashed in the name of sports entertainment with television spectators voting upon how many zombies they want to uncage to make survival all the more harder for you to accomplish with the potential of a collective horde of over 1,000 zombies.","Genre(s): Action, Shooter, Third-Person, Shoot-'Em-Up, Sci-Fi, Top-Down",63.0,6.6,Beatshapers,PlayStation 4,"Oct 28, 2014",
#SINUCAATTACK,"Indie platform puzzler #SinucaAttack arrives on console, bringing its unique blend of pool ball physics and 2D platforming to new players worldwide. Choose your character, customize your cue stick and leap into a series of fast-paced room escape puzzles where pool balls are your greatest weapons. With each room you enter, challenges get increasingly complex, introducing new stage gimmicks to manipulate and obstacles to overcome. Ricochet your shots off the floor, ceiling and walls to activate switches and open doors. Even use jet packs to reach new heights as stages go vertical. But watch out for pitfalls, and be careful not to trap yourself inside.","Genre(s): Puzzle, Action",,tbd,EastAsiaSoft,PlayStation 4,"Feb 10, 2021",E
'N VERLORE VERSTAND,"In 'n Verlore Verstand you will be transported to a reality of dreams and nightmares. What will you discover about yourself in this journey through the subconscious?

In these realms of the unknown, you must travel through labyrinths of memories to eventually find your way to your own truth.

Features:

-Abstract adventure.
-Engaging dream-like environments.
-Mysterious puzzles.
-Platforming
-Exploration
-Oculus Rift integration.","Genre(s): Adventure, 3D, First-Person",,tbd,Skobbejak Games,PlayStation 4,"Jun 12, 2018",E
.HACK//G.U. LAST RECODE,".hack//G.U. is back. Log back into the .hack//G.U. trilogy and return to ""The World,"" as Haseo tracks down Tri-Edge in .hack//G.U. Last Recode, now with enhanced graphics, improved gameplay, and brand new modes! This collection includes all 3 original .hack//G.U. titles, Rebirth, Reminisce, and Redemption, all fully restored and remastered for PS4.

Immerse yourself in ""The World,"" a MMORPG, and find out what is real and what is reality in .hack//G.U. Set in 2017, years after the events of the first .hack series, ""The World"" has now been rebuilt. Follow Haseo as logs into ""The World"" and hunts PKs (Player Killers), in order to gain strength and track down Tri-Edge, a strong PK who attacked his friend, Shino, in the game and put her into a coma in real life. Relive the drama and epic battles in 1080p and 60fps, and improved battle balance and pacing for the definitive .hack//G.U. experience.","Genre(s): Miscellaneous, Compilation",76.0,8.1,CyberConnect2,PlayStation 4,"Nov 3, 2017",T
0 DEGREES,"A snow-covered wonderland of platforming action awaits in 0 Degrees, a chill puzzle experience for players of any age or skill level! Take control of a bundled-up pixel art climber as they make their way across icefields, up frosted peaks, through dark caves and over treacherous pitfalls! Help them survive mysterious hazards and overcome brain-teasing obstacles that span 40 unique levels. The objective is simple, to navigate single-screen challenges from entry to exit, then warp to the next level of escalating complexity. Locate and unlock warp points by activating switches, opening doors and finding special crystals. You’ll even be able to form ice blocks to help you negotiate dangerous gaps or reach high ledges. Stack them on top of one another, knock them over or toss them on top of spikes and switches. And if you get in a tight spot or plummet off a cliff, no worries! You can restart at the beginning of any level you’ve reached, allowing you to try again or go for better times.","Genre(s): Action, Puzzle, Platformer, 2D",,tbd,EastAsiaSoft,PlayStation 4,"May 19, 2021",E
10 SECOND NINJA X,"10 Second Ninja X is a hardcore sidescroller. You’re a ninja, there are robots, you’ve got ten seconds to destroy them all. Get three star ratings, climb leaderboards, discover secrets, and stop Captain Greatbeard.","Genre(s): Action, Platformer, 2D",76.0,5.5,GameDesignDan,PlayStation 4,"Jul 19, 2016",T
1000 TOP RATED,How would you like to win a platinum trophy in just one hour? How's the idea of 1000 4k images grab ya? Art thou ready to platinum up? 1000 Top Rated the world's fastest platinum trophy game.,"Genre(s): Miscellaneous, Puzzle, General, Party / Minigame",,1.6,Top Rated,PlayStation 4,"Jun 27, 2017",E
1001 SPIKES,"Aban Hawkins & the 1,001 Spikes is a 2D platformer where you have 1,001 lives to beat the game.","Genre(s): Action, Platformer, Platformer, 2D, 2D",78.0,6.5,Nicalis,PlayStation 4,"Jun 3, 2014",T
100FT ROBOT GOLF,"100ft Robot Golf is a real-time golf game through which you control massive robots on their quest for par. Never get your ball stuck behind a pesky tree or skyscraper ever again. Just swing your golf club to smash even the tallest buildings out of the way — or into the way of your robot golfing buddies. You can play with up to four people splitscreen on your TV, or immerse yourself in PlayStation VR and experience virtual golf robot reality. [No Goblin]","Genre(s): Sports, Individual, Golf, Arcade",56.0,5.6,No Goblin,PlayStation 4,"Sep 27, 2017",PlayStation VR Compatible
101 WAYS TO DIE,"101 Ways To Die is a physics-based puzzler full of gore and dark humor. It’s been described as “reverse-Lemmings” due to the puzzler gameplay style — and the fact that you as the player are deliberately trying to cause the AI characters harm, rather than save them. [Vision Games Publishing]","Genre(s): Puzzle, Action, Platformer, 2D",60.0,5.9,4 Door Lemon,PlayStation 4,"Mar 22, 2016",T
11-11: MEMORIES RETOLD,"11th November 1916, a young photographer leaves Canada to join the Western Front in Europe. The same day, a German technician is told that his son is missing in action on the front… They will discover the reality of war, crossing paths, on the front, and the rear, trying to preserve their humanity for their loved ones in the face of disastrous events… If they can come back. At 11am the 11th Day of the 11th Month of year 1918, they will face the biggest decision of their lives… This is the moving story of the end of World War One. [Bandai Namco]","Genre(s): Adventure, General, 3D, Third-Person",77.0,7.7,Digixart Entertainment,PlayStation 4,"Nov 9, 2018",T
