title,description,genre
#FUNTIME,"#Funtime is an explosive twin-stick shooter where shooting isn't your only weapon. Swap your ship's color to destroy enemies, avoid damage, and ultimately control the battlefield. Persistent ship upgrades allow for lengthier runs filled with even more mayhem. Play through over 50 challenge levels and eight different battle modes, all with their own leaderboards to show your dominance. Are you ready to have a Funtime?","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
#IDARB,"#IDARB started as a picture of red box. Then more happened. It's a constantly-evolving, crowd-sourced, minimalist game mechanic sketchbook.","Genre(s): Action, Miscellaneous, General, Party / Minigame"
#KILLALLZOMBIES,"In the distant future; #KILLALLZOMBIES is thrusting civilians into a sport of survival were a ravenous zombie population is unleashed in the name of sports entertainment with television spectators voting upon how many zombies they want to uncage to make survival all the more harder for you to accomplish with the potential of a collective horde of over 1,000 zombies.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
#SINUCAATTACK,"Indie platform puzzler #SinucaAttack arrives on console, bringing its unique blend of pool ball physics and 2D platforming to new players worldwide. Choose your character, customize your cue stick and leap into a series of fast-paced room escape puzzles where pool balls are your greatest weapons. With each room you enter, challenges get increasingly complex, introducing new stage gimmicks to manipulate and obstacles to overcome. Ricochet your shots off the floor, ceiling and walls to activate switches and open doors. Even use jet packs to reach new heights as stages go vertical. But watch out for pitfalls, and be careful not to trap yourself inside.","Genre(s): Puzzle, Action"
#WARGAMES,"You craft the story as Kelly and her band of misfit hackers transform from pranksters to leaders of an international movement. As they take on the media, the military, and the powers that be, where you focus will shape the direction of the story and the actions the characters take.","Genre(s): Adventure, General, Visual Novel"
'N VERLORE VERSTAND,"Be prepared to be transported to a reality of dreams and nightmares. What will you discover about yourself in this journey through the subconscious? In these realms of the unknown, you must travel through labyrinths of memories to eventually find your way to your own truth.","Genre(s): Adventure, 3D, First-Person"
0 DEGREES,"A snow-covered wonderland of platforming action awaits in 0 Degrees, a chill puzzle experience for players of any age or skill level!

Take control of a bundled-up pixel art climber as they make their way across icefields, up frosted peaks, through dark caves and over treacherous pitfalls! Help them survive mysterious hazards and overcome brain-teasing obstacles that span 40 unique levels.","Genre(s): Action, Puzzle, Platformer, 2D"
10 SECOND NINJA X,"10 Second Ninja X is a hardcore sidescroller. You’re a ninja, there are robots, you’ve got ten seconds to destroy them all. Get three star ratings, climb leaderboards, discover secrets, and stop Captain Greatbeard.","Genre(s): Action, Platformer, 2D"
1001 SPIKES,"Discover the lost treasures of Ukampa in South America as Aban Hawkins searches for his estranged father, world-famous archaeologist Jim Hawkins. Before the elder Hawkins mysteriously disappeared, he entrusted his daughter Tina with a map to the location of the ruins with a grave warning that death awaits around every corner.

Aban Hawkins races into the frozen tundra of the antarctic, undiscovered temple ruins, and the vast caverns of South America in search of his father and the legendary treasure rumored to lie behind the Golden Door of Poko-Mum.","Genre(s): Action, Platformer, 2D"
101 WAYS TO DIE,"In this puzzle-platformer you'll play assistant to mad scientist Professor Splattunfuder - a scientist, inventor and weapons manufacturer of questionable sanity. Nearing the end of his career, he devoted himself to a terrible ""recipe book"" focused on the death and destruction of his enemies, preferably using the most stylish methods possible. An unfortunate laboratory accident resulted in the destruction of the first draft - now it's down to you to assist him piece the fragments back together. The evil Professor has grown vats full of helpless creatures known as Splatts that he is using to aid him in a range of awful experiments - which is where you come in. Using all your murderous creativity, a generous helping of weaponry, a passing knowledge of physics and a large dose of violence to the poor helpless Splatts, you'll help the Professor rewrite his classic book of recipes, titled... 101 Ways To Die!","Genre(s): Puzzle, Action, Platformer, 2D"
