title,url
1080: Avalanche (GC),https://www.metacritic.com/game/gamecube/1080-avalanche
18 Wheeler: American Pro Trucker (GC),https://www.metacritic.com/game/gamecube/18-wheeler-american-pro-trucker
2002 FIFA World Cup (GC),https://www.metacritic.com/game/gamecube/2002-fifa-world-cup
4x4 EVO 2 (GC),https://www.metacritic.com/game/gamecube/4x4-evo-2
Aggressive Inline (GC),https://www.metacritic.com/game/gamecube/aggressive-inline
Alien Hominid (GC),https://www.metacritic.com/game/gamecube/alien-hominid
All-Star Baseball 2002 (GC),https://www.metacritic.com/game/gamecube/all-star-baseball-2002
All-Star Baseball 2003 (GC),https://www.metacritic.com/game/gamecube/all-star-baseball-2003
All-Star Baseball 2004 (GC),https://www.metacritic.com/game/gamecube/all-star-baseball-2004
Amazing Island (GC),https://www.metacritic.com/game/gamecube/amazing-island
American Chopper 2: Full Throttle (GC),https://www.metacritic.com/game/gamecube/american-chopper-2-full-throttle
Animal Crossing (GC),https://www.metacritic.com/game/gamecube/animal-crossing
Animaniacs: The Great Edgar Hunt (GC),https://www.metacritic.com/game/gamecube/animaniacs-the-great-edgar-hunt
Aquaman: Battle for Atlantis (GC),https://www.metacritic.com/game/gamecube/aquaman-battle-for-atlantis
Army Men: Air Combat - The Elite Missions (GC),https://www.metacritic.com/game/gamecube/army-men-air-combat---the-elite-missions
Army Men: RTS (GC),https://www.metacritic.com/game/gamecube/army-men-rts
Army Men: Sarge's War (GC),https://www.metacritic.com/game/gamecube/army-men-sarges-war
ATV Quad Power Racing 2 (GC),https://www.metacritic.com/game/gamecube/atv-quad-power-racing-2
Auto Modellista (GC),https://www.metacritic.com/game/gamecube/auto-modellista
Avatar: The Last Airbender (GC),https://www.metacritic.com/game/gamecube/avatar-the-last-airbender
Backyard Baseball (GC),https://www.metacritic.com/game/gamecube/backyard-baseball
Backyard Football (GC),https://www.metacritic.com/game/gamecube/backyard-football
Backyard Sports Baseball 2007 (GC),https://www.metacritic.com/game/gamecube/backyard-sports-baseball-2007
Bad Boys: Miami Takedown (GC),https://www.metacritic.com/game/gamecube/bad-boys-miami-takedown
Baldur's Gate: Dark Alliance (GC),https://www.metacritic.com/game/gamecube/baldurs-gate-dark-alliance
Barnyard (GC),https://www.metacritic.com/game/gamecube/barnyard
Baten Kaitos Origins (GC),https://www.metacritic.com/game/gamecube/baten-kaitos-origins
Baten Kaitos: Eternal Wings and the Lost Ocean (GC),https://www.metacritic.com/game/gamecube/baten-kaitos-eternal-wings-and-the-lost-ocean
Batman Begins (GC),https://www.metacritic.com/game/gamecube/batman-begins
Batman: Dark Tomorrow (GC),https://www.metacritic.com/game/gamecube/batman-dark-tomorrow
Batman: Rise of Sin Tzu (GC),https://www.metacritic.com/game/gamecube/batman-rise-of-sin-tzu
Batman: Vengeance (GC),https://www.metacritic.com/game/gamecube/batman-vengeance
Battalion Wars (GC),https://www.metacritic.com/game/gamecube/battalion-wars
