title,url
A Sound of Thunder (GBA),https://www.metacritic.com/game/game-boy-advance/a-sound-of-thunder
Ace Combat Advance (GBA),https://www.metacritic.com/game/game-boy-advance/ace-combat-advance
Activision Anthology (GBA),https://www.metacritic.com/game/game-boy-advance/activision-anthology
Advance Guardian Heroes (GBA),https://www.metacritic.com/game/game-boy-advance/advance-guardian-heroes
Advance Wars (GBA),https://www.metacritic.com/game/game-boy-advance/advance-wars
Advance Wars 2: Black Hole Rising (GBA),https://www.metacritic.com/game/game-boy-advance/advance-wars-2-black-hole-rising
Aero the Acro-bat (GBA),https://www.metacritic.com/game/game-boy-advance/aero-the-acro-bat
Aggressive Inline (GBA),https://www.metacritic.com/game/game-boy-advance/aggressive-inline
AirForce Delta Storm (GBA),https://www.metacritic.com/game/game-boy-advance/airforce-delta-storm
Alex Rider: Stormbreaker (GBA),https://www.metacritic.com/game/game-boy-advance/alex-rider-stormbreaker
Alienators: Evolution Continues (GBA),https://www.metacritic.com/game/game-boy-advance/alienators-evolution-continues
All Grown Up! Express Yourself (GBA),https://www.metacritic.com/game/game-boy-advance/all-grown-up!-express-yourself
All-Star Baseball 2003 (GBA),https://www.metacritic.com/game/game-boy-advance/all-star-baseball-2003
All-Star Baseball 2004 featuring Derek Jeter (GBA),https://www.metacritic.com/game/game-boy-advance/all-star-baseball-2004-featuring-derek-jeter
Altered Beast: Guardian of the Realms (GBA),https://www.metacritic.com/game/game-boy-advance/altered-beast-guardian-of-the-realms
American Bass Challenge (GBA),https://www.metacritic.com/game/game-boy-advance/american-bass-challenge
American Idol (GBA),https://www.metacritic.com/game/game-boy-advance/american-idol
"Animaniacs: Lights, Camera, Action! (GBA)",https://www.metacritic.com/game/game-boy-advance/animaniacs-lights-camera-action!
Army Men Advance (GBA),https://www.metacritic.com/game/game-boy-advance/army-men-advance
Army Men: Operation Green (GBA),https://www.metacritic.com/game/game-boy-advance/army-men-operation-green
Around the World in 80 Days (GBA),https://www.metacritic.com/game/game-boy-advance/around-the-world-in-80-days
Arthur and the Invisibles (GBA),https://www.metacritic.com/game/game-boy-advance/arthur-and-the-invisibles
Astro Boy: Omega Factor (GBA),https://www.metacritic.com/game/game-boy-advance/astro-boy-omega-factor
Atari Anniversary Advance (GBA),https://www.metacritic.com/game/game-boy-advance/atari-anniversary-advance
Atomic Betty (GBA),https://www.metacritic.com/game/game-boy-advance/atomic-betty
ATV: Quad Power Racing (GBA),https://www.metacritic.com/game/game-boy-advance/atv-quad-power-racing
Avatar: The Last Airbender (GBA),https://www.metacritic.com/game/game-boy-advance/avatar-the-last-airbender
A Sound of Thunder (GBA),https://www.metacritic.com/game/game-boy-advance/a-sound-of-thunder
Ace Combat Advance (GBA),https://www.metacritic.com/game/game-boy-advance/ace-combat-advance
Activision Anthology (GBA),https://www.metacritic.com/game/game-boy-advance/activision-anthology
Advance Guardian Heroes (GBA),https://www.metacritic.com/game/game-boy-advance/advance-guardian-heroes
Advance Wars (GBA),https://www.metacritic.com/game/game-boy-advance/advance-wars
Advance Wars 2: Black Hole Rising (GBA),https://www.metacritic.com/game/game-boy-advance/advance-wars-2-black-hole-rising
Aero the Acro-bat (GBA),https://www.metacritic.com/game/game-boy-advance/aero-the-acro-bat
Aggressive Inline (GBA),https://www.metacritic.com/game/game-boy-advance/aggressive-inline
AirForce Delta Storm (GBA),https://www.metacritic.com/game/game-boy-advance/airforce-delta-storm
Alex Rider: Stormbreaker (GBA),https://www.metacritic.com/game/game-boy-advance/alex-rider-stormbreaker
Alienators: Evolution Continues (GBA),https://www.metacritic.com/game/game-boy-advance/alienators-evolution-continues
All Grown Up! Express Yourself (GBA),https://www.metacritic.com/game/game-boy-advance/all-grown-up!-express-yourself
All-Star Baseball 2003 (GBA),https://www.metacritic.com/game/game-boy-advance/all-star-baseball-2003
All-Star Baseball 2004 featuring Derek Jeter (GBA),https://www.metacritic.com/game/game-boy-advance/all-star-baseball-2004-featuring-derek-jeter
Altered Beast: Guardian of the Realms (GBA),https://www.metacritic.com/game/game-boy-advance/altered-beast-guardian-of-the-realms
American Bass Challenge (GBA),https://www.metacritic.com/game/game-boy-advance/american-bass-challenge
American Idol (GBA),https://www.metacritic.com/game/game-boy-advance/american-idol
"Animaniacs: Lights, Camera, Action! (GBA)",https://www.metacritic.com/game/game-boy-advance/animaniacs-lights-camera-action!
Army Men Advance (GBA),https://www.metacritic.com/game/game-boy-advance/army-men-advance
Army Men: Operation Green (GBA),https://www.metacritic.com/game/game-boy-advance/army-men-operation-green
Around the World in 80 Days (GBA),https://www.metacritic.com/game/game-boy-advance/around-the-world-in-80-days
Arthur and the Invisibles (GBA),https://www.metacritic.com/game/game-boy-advance/arthur-and-the-invisibles
Astro Boy: Omega Factor (GBA),https://www.metacritic.com/game/game-boy-advance/astro-boy-omega-factor
Atari Anniversary Advance (GBA),https://www.metacritic.com/game/game-boy-advance/atari-anniversary-advance
Atomic Betty (GBA),https://www.metacritic.com/game/game-boy-advance/atomic-betty
ATV: Quad Power Racing (GBA),https://www.metacritic.com/game/game-boy-advance/atv-quad-power-racing
Avatar: The Last Airbender (GBA),https://www.metacritic.com/game/game-boy-advance/avatar-the-last-airbender
Back to Stone (GBA),https://www.metacritic.com/game/game-boy-advance/back-to-stone
BackTrack (GBA),https://www.metacritic.com/game/game-boy-advance/backtrack
Backyard Basketball (GBA),https://www.metacritic.com/game/game-boy-advance/backyard-basketball
Backyard Football 2006 (GBA),https://www.metacritic.com/game/game-boy-advance/backyard-football-2006
Backyard Hockey (GBA),https://www.metacritic.com/game/game-boy-advance/backyard-hockey
Backyard Sports Baseball 2007 (GBA),https://www.metacritic.com/game/game-boy-advance/backyard-sports-baseball-2007
Backyard Sports Football 2007 (GBA),https://www.metacritic.com/game/game-boy-advance/backyard-sports-football-2007
Baldur's Gate: Dark Alliance (GBA),https://www.metacritic.com/game/game-boy-advance/baldurs-gate-dark-alliance
Ballistic: Ecks vs. Sever II (GBA),https://www.metacritic.com/game/game-boy-advance/ballistic-ecks-vs-sever-ii
Banjo-Kazooie: Grunty's Revenge (GBA),https://www.metacritic.com/game/game-boy-advance/banjo-kazooie-gruntys-revenge
Banjo-Pilot (GBA),https://www.metacritic.com/game/game-boy-advance/banjo-pilot
Barbie and the Magic of Pegasus (GBA),https://www.metacritic.com/game/game-boy-advance/barbie-and-the-magic-of-pegasus
Barbie as the Princess and the Pauper (GBA),https://www.metacritic.com/game/game-boy-advance/barbie-as-the-princess-and-the-pauper
Barbie Groovy Games (GBA),https://www.metacritic.com/game/game-boy-advance/barbie-groovy-games
Barnyard (GBA),https://www.metacritic.com/game/game-boy-advance/barnyard
Baseball Advance (GBA),https://www.metacritic.com/game/game-boy-advance/baseball-advance
Batman Begins (GBA),https://www.metacritic.com/game/game-boy-advance/batman-begins
Batman: Rise of Sin Tzu (GBA),https://www.metacritic.com/game/game-boy-advance/batman-rise-of-sin-tzu
Batman: Vengeance (GBA),https://www.metacritic.com/game/game-boy-advance/batman-vengeance
Battle B-Daman (GBA),https://www.metacritic.com/game/game-boy-advance/battle-b-daman
Battle B-Daman: Fire Spirits! (GBA),https://www.metacritic.com/game/game-boy-advance/battle-b-daman-fire-spirits!
BattleBots: Beyond the BattleBox (GBA),https://www.metacritic.com/game/game-boy-advance/battlebots-beyond-the-battlebox
Battlebots: Design & Destroy (GBA),https://www.metacritic.com/game/game-boy-advance/battlebots-design-destroy
Beyblade G-Revolution (GBA),https://www.metacritic.com/game/game-boy-advance/beyblade-g-revolution
Beyblade VForce: Ultimate Blader Jam (GBA),https://www.metacritic.com/game/game-boy-advance/beyblade-vforce-ultimate-blader-jam
Bionicle (GBA),https://www.metacritic.com/game/game-boy-advance/bionicle
Bionicle Heroes (GBA),https://www.metacritic.com/game/game-boy-advance/bionicle-heroes
Blackthorne (GBA),https://www.metacritic.com/game/game-boy-advance/blackthorne
Blades of Thunder (GBA),https://www.metacritic.com/game/game-boy-advance/blades-of-thunder
Blender Bros. (GBA),https://www.metacritic.com/game/game-boy-advance/blender-bros
Board Game Classics (GBA),https://www.metacritic.com/game/game-boy-advance/board-game-classics
Boktai 2: Solar Boy Django (GBA),https://www.metacritic.com/game/game-boy-advance/boktai-2-solar-boy-django
Boktai: The Sun Is in Your Hand (GBA),https://www.metacritic.com/game/game-boy-advance/boktai-the-sun-is-in-your-hand
Bomberman Max 2: Blue Advance (GBA),https://www.metacritic.com/game/game-boy-advance/bomberman-max-2-blue-advance
Bomberman Max 2: Red Advance (GBA),https://www.metacritic.com/game/game-boy-advance/bomberman-max-2-red-advance
Boulder Dash EX (GBA),https://www.metacritic.com/game/game-boy-advance/boulder-dash-ex
Boxing Fever (GBA),https://www.metacritic.com/game/game-boy-advance/boxing-fever
Bratz (GBA),https://www.metacritic.com/game/game-boy-advance/bratz
Bratz: Forever Diamondz (GBA),https://www.metacritic.com/game/game-boy-advance/bratz-forever-diamondz
Bratz: The Movie (GBA),https://www.metacritic.com/game/game-boy-advance/bratz-the-movie
Breath of Fire (GBA),https://www.metacritic.com/game/game-boy-advance/breath-of-fire
Breath of Fire II (GBA),https://www.metacritic.com/game/game-boy-advance/breath-of-fire-ii
Britney's Dance Beat (GBA),https://www.metacritic.com/game/game-boy-advance/britneys-dance-beat
