title,url
.hack//G.U. vol. 1//Rebirth (PS2),https://www.metacritic.com/game/playstation-2/hackgu-vol-1rebirth
.hack//G.U. vol. 2//Reminisce (PS2),https://www.metacritic.com/game/playstation-2/hackgu-vol-2reminisce
.hack//G.U. vol. 3//Redemption (PS2),https://www.metacritic.com/game/playstation-2/hackgu-vol-3redemption
.hack//Infection Part 1 (PS2),https://www.metacritic.com/game/playstation-2/hackinfection-part-1
.hack//Mutation Part 2 (PS2),https://www.metacritic.com/game/playstation-2/hackmutation-part-2
.hack//Outbreak Part 3 (PS2),https://www.metacritic.com/game/playstation-2/hackoutbreak-part-3
.hack//Quarantine Part 4 (PS2),https://www.metacritic.com/game/playstation-2/hackquarantine-part-4
18 Wheeler: American Pro Trucker (PS2),https://www.metacritic.com/game/playstation-2/18-wheeler-american-pro-trucker
187 Ride or Die (PS2),https://www.metacritic.com/game/playstation-2/187-ride-or-die
2002 FIFA World Cup (PS2),https://www.metacritic.com/game/playstation-2/2002-fifa-world-cup
24: The Game (PS2),https://www.metacritic.com/game/playstation-2/24-the-game
25 to Life (PS2),https://www.metacritic.com/game/playstation-2/25-to-life
4x4 Evolution (PS2),https://www.metacritic.com/game/playstation-2/4x4-evolution
50 Cent: Bulletproof (PS2),https://www.metacritic.com/game/playstation-2/50-cent-bulletproof
7 Wonders of the Ancient World (PS2),https://www.metacritic.com/game/playstation-2/7-wonders-of-the-ancient-world
AC/DC Live: Rock Band Track Pack (PS2),https://www.metacritic.com/game/playstation-2/acdc-live-rock-band-track-pack
Ace Combat 04: Shattered Skies (PS2),https://www.metacritic.com/game/playstation-2/ace-combat-04-shattered-skies
Ace Combat 5: The Unsung War (PS2),https://www.metacritic.com/game/playstation-2/ace-combat-5-the-unsung-war
Ace Combat Zero: The Belkan War (PS2),https://www.metacritic.com/game/playstation-2/ace-combat-zero-the-belkan-war
Activision Anthology (PS2),https://www.metacritic.com/game/playstation-2/activision-anthology
Adventure Pinball: Forgotten Island (PS2),https://www.metacritic.com/game/playstation-2/adventure-pinball-forgotten-island
Aeon Flux (PS2),https://www.metacritic.com/game/playstation-2/aeon-flux
Aero Elite: Combat Academy (PS2),https://www.metacritic.com/game/playstation-2/aero-elite-combat-academy
Agassi Tennis Generation (PS2),https://www.metacritic.com/game/playstation-2/agassi-tennis-generation
Aggressive Inline (PS2),https://www.metacritic.com/game/playstation-2/aggressive-inline
AirBlade (PS2),https://www.metacritic.com/game/playstation-2/airblade
Airborne Troops: Countdown to D-Day (PS2),https://www.metacritic.com/game/playstation-2/airborne-troops-countdown-to-d-day
AirForce Delta Strike (PS2),https://www.metacritic.com/game/playstation-2/airforce-delta-strike
Alfa Romeo Racing Italiano (PS2),https://www.metacritic.com/game/playstation-2/alfa-romeo-racing-italiano
Alias (PS2),https://www.metacritic.com/game/playstation-2/alias
Alien Hominid (PS2),https://www.metacritic.com/game/playstation-2/alien-hominid
Aliens in the Attic (PS2),https://www.metacritic.com/game/playstation-2/aliens-in-the-attic
Aliens Versus Predator: Extinction (PS2),https://www.metacritic.com/game/playstation-2/aliens-versus-predator-extinction
All-Star Baseball 2002 (PS2),https://www.metacritic.com/game/playstation-2/all-star-baseball-2002
All-Star Baseball 2003 (PS2),https://www.metacritic.com/game/playstation-2/all-star-baseball-2003
All-Star Baseball 2004 (PS2),https://www.metacritic.com/game/playstation-2/all-star-baseball-2004
All-Star Baseball 2005 (PS2),https://www.metacritic.com/game/playstation-2/all-star-baseball-2005
