title,url
A Place for the Unwilling (STA),https://www.metacritic.com/game/stadia/a-place-for-the-unwilling
Adventure Time: Pirates of the Enchiridion (STA),https://www.metacritic.com/game/stadia/adventure-time-pirates-of-the-enchiridion
ARK: Survival Evolved (STA),https://www.metacritic.com/game/stadia/ark-survival-evolved
Ary and the Secret of Seasons (STA),https://www.metacritic.com/game/stadia/ary-and-the-secret-of-seasons
Assassin's Creed III Remastered (STA),https://www.metacritic.com/game/stadia/assassins-creed-iii-remastered
Assassin's Creed IV: Black Flag (STA),https://www.metacritic.com/game/stadia/assassins-creed-iv-black-flag
Assassin's Creed Liberation HD (STA),https://www.metacritic.com/game/stadia/assassins-creed-liberation-hd
Assassin's Creed Odyssey (STA),https://www.metacritic.com/game/stadia/assassins-creed-odyssey
Assassin's Creed Origins (STA),https://www.metacritic.com/game/stadia/assassins-creed-origins
Assassin's Creed Rogue Remastered (STA),https://www.metacritic.com/game/stadia/assassins-creed-rogue-remastered
Assassin's Creed Syndicate (STA),https://www.metacritic.com/game/stadia/assassins-creed-syndicate
Assassin's Creed Unity (STA),https://www.metacritic.com/game/stadia/assassins-creed-unity
Assassin's Creed Valhalla (STA),https://www.metacritic.com/game/stadia/assassins-creed-valhalla
Assassin's Creed Valhalla: Tombs of the Fallen (STA),https://www.metacritic.com/game/stadia/assassins-creed-valhalla-tombs-of-the-fallen
Asteroids: Recharged (STA),https://www.metacritic.com/game/stadia/asteroids-recharged
Attack on Titan 2: Final Battle (STA),https://www.metacritic.com/game/stadia/attack-on-titan-2-final-battle
AVICII Invector (STA),https://www.metacritic.com/game/stadia/avicii-invector
A Place for the Unwilling (STA),https://www.metacritic.com/game/stadia/a-place-for-the-unwilling
Adventure Time: Pirates of the Enchiridion (STA),https://www.metacritic.com/game/stadia/adventure-time-pirates-of-the-enchiridion
ARK: Survival Evolved (STA),https://www.metacritic.com/game/stadia/ark-survival-evolved
Ary and the Secret of Seasons (STA),https://www.metacritic.com/game/stadia/ary-and-the-secret-of-seasons
Assassin's Creed III Remastered (STA),https://www.metacritic.com/game/stadia/assassins-creed-iii-remastered
Assassin's Creed IV: Black Flag (STA),https://www.metacritic.com/game/stadia/assassins-creed-iv-black-flag
Assassin's Creed Liberation HD (STA),https://www.metacritic.com/game/stadia/assassins-creed-liberation-hd
Assassin's Creed Odyssey (STA),https://www.metacritic.com/game/stadia/assassins-creed-odyssey
Assassin's Creed Origins (STA),https://www.metacritic.com/game/stadia/assassins-creed-origins
Assassin's Creed Rogue Remastered (STA),https://www.metacritic.com/game/stadia/assassins-creed-rogue-remastered
Assassin's Creed Syndicate (STA),https://www.metacritic.com/game/stadia/assassins-creed-syndicate
Assassin's Creed Unity (STA),https://www.metacritic.com/game/stadia/assassins-creed-unity
Assassin's Creed Valhalla (STA),https://www.metacritic.com/game/stadia/assassins-creed-valhalla
Assassin's Creed Valhalla: Tombs of the Fallen (STA),https://www.metacritic.com/game/stadia/assassins-creed-valhalla-tombs-of-the-fallen
Asteroids: Recharged (STA),https://www.metacritic.com/game/stadia/asteroids-recharged
Attack on Titan 2: Final Battle (STA),https://www.metacritic.com/game/stadia/attack-on-titan-2-final-battle
AVICII Invector (STA),https://www.metacritic.com/game/stadia/avicii-invector
Ben 10: Power Trip (STA),https://www.metacritic.com/game/stadia/ben-10-power-trip
Black Widow: Recharged (STA),https://www.metacritic.com/game/stadia/black-widow-recharged
Blaze and the Monster Machines: Axle City Racers (STA),https://www.metacritic.com/game/stadia/blaze-and-the-monster-machines-axle-city-racers
Bloodstained: Ritual of the Night (STA),https://www.metacritic.com/game/stadia/bloodstained-ritual-of-the-night
Blue Fire (STA),https://www.metacritic.com/game/stadia/blue-fire
Borderlands 3 (STA),https://www.metacritic.com/game/stadia/borderlands-3
Borderlands 3: Designer's Cut (STA),https://www.metacritic.com/game/stadia/borderlands-3-designers-cut
Borderlands 3: Director's Cut (STA),https://www.metacritic.com/game/stadia/borderlands-3-directors-cut
Breakout: Recharged (STA),https://www.metacritic.com/game/stadia/breakout-recharged
Cake Bash (STA),https://www.metacritic.com/game/stadia/cake-bash
Calico (STA),https://www.metacritic.com/game/stadia/calico
Celeste (STA),https://www.metacritic.com/game/stadia/celeste
Centipede: Recharged (STA),https://www.metacritic.com/game/stadia/centipede-recharged
Chicken Police - Paint it RED! (STA),https://www.metacritic.com/game/stadia/chicken-police---paint-it-red!
