title,url
Lalaloopsy: Carnival of Friends (3DS),https://www.metacritic.com/game/3ds/lalaloopsy-carnival-of-friends
Langrisser Re:Incarnation -TENSEI- (3DS),https://www.metacritic.com/game/3ds/langrisser-reincarnation--tensei-
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy (3DS),https://www.metacritic.com/game/3ds/laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy
LBX: Little Battlers eXperience (3DS),https://www.metacritic.com/game/3ds/lbx-little-battlers-experience
League of Heroes (3DS),https://www.metacritic.com/game/3ds/league-of-heroes
Legends of Oz: Dorothy's Return (3DS),https://www.metacritic.com/game/3ds/legends-of-oz-dorothys-return
Legna Tactica (3DS),https://www.metacritic.com/game/3ds/legna-tactica
LEGO Batman 2: DC Super Heroes (3DS),https://www.metacritic.com/game/3ds/lego-batman-2-dc-super-heroes
LEGO Batman 3: Beyond Gotham (3DS),https://www.metacritic.com/game/3ds/lego-batman-3-beyond-gotham
LEGO City Undercover: The Chase Begins (3DS),https://www.metacritic.com/game/3ds/lego-city-undercover-the-chase-begins
LEGO Friends (3DS),https://www.metacritic.com/game/3ds/lego-friends
LEGO Harry Potter: Years 5-7 (3DS),https://www.metacritic.com/game/3ds/lego-harry-potter-years-5-7
LEGO Jurassic World (3DS),https://www.metacritic.com/game/3ds/lego-jurassic-world
LEGO Legends of Chima: Laval's Journey (3DS),https://www.metacritic.com/game/3ds/lego-legends-of-chima-lavals-journey
LEGO Marvel Super Heroes: Universe in Peril (3DS),https://www.metacritic.com/game/3ds/lego-marvel-super-heroes-universe-in-peril
LEGO Marvel's Avengers (3DS),https://www.metacritic.com/game/3ds/lego-marvels-avengers
LEGO Ninjago: Nindroids (3DS),https://www.metacritic.com/game/3ds/lego-ninjago-nindroids
LEGO Ninjago: Shadow of Ronin (3DS),https://www.metacritic.com/game/3ds/lego-ninjago-shadow-of-ronin
LEGO Pirates of the Caribbean: The Video Game (3DS),https://www.metacritic.com/game/3ds/lego-pirates-of-the-caribbean-the-video-game
LEGO Star Wars III: The Clone Wars (3DS),https://www.metacritic.com/game/3ds/lego-star-wars-iii-the-clone-wars
LEGO Star Wars: The Force Awakens (3DS),https://www.metacritic.com/game/3ds/lego-star-wars-the-force-awakens
LEGO The Hobbit (3DS),https://www.metacritic.com/game/3ds/lego-the-hobbit
LEGO The Lord of the Rings (3DS),https://www.metacritic.com/game/3ds/lego-the-lord-of-the-rings
Let's Golf 3D (3DS),https://www.metacritic.com/game/3ds/lets-golf-3d
Let's Ride! Best in Breed 3D (3DS),https://www.metacritic.com/game/3ds/lets-ride!-best-in-breed-3d
Liberation Maiden (3DS),https://www.metacritic.com/game/3ds/liberation-maiden
Life with Horses 3D (3DS),https://www.metacritic.com/game/3ds/life-with-horses-3d
Lifespeed (3DS),https://www.metacritic.com/game/3ds/lifespeed
Link-a-Pix Color (3DS),https://www.metacritic.com/game/3ds/link-a-pix-color
Lionel City Builder 3D: Rise of the Rails (3DS),https://www.metacritic.com/game/3ds/lionel-city-builder-3d-rise-of-the-rails
Little Adventure on the Prairie (3DS),https://www.metacritic.com/game/3ds/little-adventure-on-the-prairie
Lola's ABC Party (3DS),https://www.metacritic.com/game/3ds/lolas-abc-party
Lola's Math Train (3DS),https://www.metacritic.com/game/3ds/lolas-math-train
Lord of Magna: Maiden Heaven (3DS),https://www.metacritic.com/game/3ds/lord-of-magna-maiden-heaven
Love Hero (3DS),https://www.metacritic.com/game/3ds/love-hero
Luigi's Mansion (3DS),https://www.metacritic.com/game/3ds/luigis-mansion
Luigi's Mansion: Dark Moon (3DS),https://www.metacritic.com/game/3ds/luigis-mansion-dark-moon
Luv Me Buddies Wonderland (3DS),https://www.metacritic.com/game/3ds/luv-me-buddies-wonderland
Luxor (3DS),https://www.metacritic.com/game/3ds/luxor
