title,url
TABLE TENNIS INFINITY (3DS),https://www.metacritic.com/game/3ds/table-tennis-infinity
Tales of the Abyss (3DS),https://www.metacritic.com/game/3ds/tales-of-the-abyss
Talking Phrasebook: 7 Languages (3DS),https://www.metacritic.com/game/3ds/talking-phrasebook-7-languages
Tangram Attack (3DS),https://www.metacritic.com/game/3ds/tangram-attack
Tangram Style (3DS),https://www.metacritic.com/game/3ds/tangram-style
Tank Onslaught (3DS),https://www.metacritic.com/game/3ds/tank-onslaught
Tank Troopers (3DS),https://www.metacritic.com/game/3ds/tank-troopers
Tappingo (3DS),https://www.metacritic.com/game/3ds/tappingo
Tappingo 2 (3DS),https://www.metacritic.com/game/3ds/tappingo-2
Team Kirby Clash (3DS),https://www.metacritic.com/game/3ds/team-kirby-clash
Team Kirby Clash Deluxe (3DS),https://www.metacritic.com/game/3ds/team-kirby-clash-deluxe
Teddy Together (3DS),https://www.metacritic.com/game/3ds/teddy-together
Teenage Mutant Ninja Turtles (3DS),https://www.metacritic.com/game/3ds/teenage-mutant-ninja-turtles
Teenage Mutant Ninja Turtles: Danger of the Ooze (3DS),https://www.metacritic.com/game/3ds/teenage-mutant-ninja-turtles-danger-of-the-ooze
Tekken 3D Prime Edition (3DS),https://www.metacritic.com/game/3ds/tekken-3d-prime-edition
Tenkai Knights: Brave Battle (3DS),https://www.metacritic.com/game/3ds/tenkai-knights-brave-battle
Terraria (3DS),https://www.metacritic.com/game/3ds/terraria
Tetris Axis (3DS),https://www.metacritic.com/game/3ds/tetris-axis
Tetris Ultimate (3DS),https://www.metacritic.com/game/3ds/tetris-ultimate
The Adventures of Tintin: The Game (3DS),https://www.metacritic.com/game/3ds/the-adventures-of-tintin-the-game
The Alliance Alive (3DS),https://www.metacritic.com/game/3ds/the-alliance-alive
The Amazing Spider-Man (3DS),https://www.metacritic.com/game/3ds/the-amazing-spider-man
The Amazing Spider-Man 2 (3DS),https://www.metacritic.com/game/3ds/the-amazing-spider-man-2
The Battle Cats POP! (3DS),https://www.metacritic.com/game/3ds/the-battle-cats-pop!
The Binding of Isaac: Rebirth (3DS),https://www.metacritic.com/game/3ds/the-binding-of-isaac-rebirth
The Cube (3DS),https://www.metacritic.com/game/3ds/the-cube
The Delusions of Von Sottendorff and His Squared Mind (3DS),https://www.metacritic.com/game/3ds/the-delusions-of-von-sottendorff-and-his-squared-mind
The Denpa Men 2: Beyond the Waves (3DS),https://www.metacritic.com/game/3ds/the-denpa-men-2-beyond-the-waves
The Denpa Men 3: The Rise of Digitoll (3DS),https://www.metacritic.com/game/3ds/the-denpa-men-3-the-rise-of-digitoll
The Denpa Men: They Came By Wave (3DS),https://www.metacritic.com/game/3ds/the-denpa-men-they-came-by-wave
The Hand of Panda (3DS),https://www.metacritic.com/game/3ds/the-hand-of-panda
The Hidden (3DS),https://www.metacritic.com/game/3ds/the-hidden
The Keep (3DS),https://www.metacritic.com/game/3ds/the-keep
The Legend of Dark Witch (3DS),https://www.metacritic.com/game/3ds/the-legend-of-dark-witch
The Legend of Dark Witch 2 (3DS),https://www.metacritic.com/game/3ds/the-legend-of-dark-witch-2
The Legend of Dark Witch 3: Wisdom and Lunacy (3DS),https://www.metacritic.com/game/3ds/the-legend-of-dark-witch-3-wisdom-and-lunacy
The Legend of Korra: A New Era Begins (3DS),https://www.metacritic.com/game/3ds/the-legend-of-korra-a-new-era-begins
The Legend of Kusakari (3DS),https://www.metacritic.com/game/3ds/the-legend-of-kusakari
The Legend of Legacy (3DS),https://www.metacritic.com/game/3ds/the-legend-of-legacy
The Legend of Zelda: A Link Between Worlds (3DS),https://www.metacritic.com/game/3ds/the-legend-of-zelda-a-link-between-worlds
The Legend of Zelda: Majora's Mask 3D (3DS),https://www.metacritic.com/game/3ds/the-legend-of-zelda-majoras-mask-3d
