title,url
D2 (DC),https://www.metacritic.com/game/dreamcast/d2
Dave Mirra Freestyle BMX (DC),https://www.metacritic.com/game/dreamcast/dave-mirra-freestyle-bmx
Daytona USA (DC),https://www.metacritic.com/game/dreamcast/daytona-usa
Death Crimson OX (DC),https://www.metacritic.com/game/dreamcast/death-crimson-ox
Deep Fighter: The Tsunami Offense (DC),https://www.metacritic.com/game/dreamcast/deep-fighter-the-tsunami-offense
Demolition Racer: No Exit (DC),https://www.metacritic.com/game/dreamcast/demolition-racer-no-exit
Dino Crisis (DC),https://www.metacritic.com/game/dreamcast/dino-crisis
Disney's 102 Dalmatians: Puppies to the Rescue (DC),https://www.metacritic.com/game/dreamcast/disneys-102-dalmatians-puppies-to-the-rescue
Disney's Dinosaur (DC),https://www.metacritic.com/game/dreamcast/disneys-dinosaur
Disney's Donald Duck: Goin' Quackers (DC),https://www.metacritic.com/game/dreamcast/disneys-donald-duck-goin-quackers
Dragon Riders: Chronicles of Pern (DC),https://www.metacritic.com/game/dreamcast/dragon-riders-chronicles-of-pern
Ducati World Racing Challenge (DC),https://www.metacritic.com/game/dreamcast/ducati-world-racing-challenge
