title,url
Tennis 2K2 (DC),https://www.metacritic.com/game/dreamcast/tennis-2k2
Test Drive Le Mans (DC),https://www.metacritic.com/game/dreamcast/test-drive-le-mans
Test Drive V-Rally (DC),https://www.metacritic.com/game/dreamcast/test-drive-v-rally
The Grinch (DC),https://www.metacritic.com/game/dreamcast/the-grinch
The King of Fighters '99: Evolution (DC),https://www.metacritic.com/game/dreamcast/the-king-of-fighters-99-evolution
The Last Blade 2: Heart of the Samurai (DC),https://www.metacritic.com/game/dreamcast/the-last-blade-2-heart-of-the-samurai
The Next Tetris: On-line Edition (DC),https://www.metacritic.com/game/dreamcast/the-next-tetris-on-line-edition
The Typing of the Dead (DC),https://www.metacritic.com/game/dreamcast/the-typing-of-the-dead
Tokyo Xtreme Racer 2 (DC),https://www.metacritic.com/game/dreamcast/tokyo-xtreme-racer-2
Tom Clancy's Rainbow Six: Rogue Spear (DC),https://www.metacritic.com/game/dreamcast/tom-clancys-rainbow-six-rogue-spear
Tomb Raider: Chronicles (DC),https://www.metacritic.com/game/dreamcast/tomb-raider-chronicles
Tony Hawk's Pro Skater 2 (DC),https://www.metacritic.com/game/dreamcast/tony-hawks-pro-skater-2
Toy Story 2: Buzz Lightyear to the Rescue! (DC),https://www.metacritic.com/game/dreamcast/toy-story-2-buzz-lightyear-to-the-rescue!
