title,url
A Fairy Tale (DS),https://www.metacritic.com/game/ds/a-fairy-tale
A Kappa's Trail (DS),https://www.metacritic.com/game/ds/a-kappas-trail
A Topsy Turvy Life: The Turvys Strike Back (DS),https://www.metacritic.com/game/ds/a-topsy-turvy-life-the-turvys-strike-back
A Topsy Turvy Life: Turvy Drops (DS),https://www.metacritic.com/game/ds/a-topsy-turvy-life-turvy-drops
A Witch's Tale (DS),https://www.metacritic.com/game/ds/a-witchs-tale
Aahh! Spot the Difference (DS),https://www.metacritic.com/game/ds/aahh!-spot-the-difference
Absolute Baseball (DS),https://www.metacritic.com/game/ds/absolute-baseball
Absolute BrickBuster (DS),https://www.metacritic.com/game/ds/absolute-brickbuster
Absolute Chess (DS),https://www.metacritic.com/game/ds/absolute-chess
Absolute Reversi (DS),https://www.metacritic.com/game/ds/absolute-reversi
Abyss (DS),https://www.metacritic.com/game/ds/abyss
Academy: Checkers (DS),https://www.metacritic.com/game/ds/academy-checkers
Academy: Chess Puzzles (DS),https://www.metacritic.com/game/ds/academy-chess-puzzles
Academy: Tic-Tac-Toe (DS),https://www.metacritic.com/game/ds/academy-tic-tac-toe
Ace Attorney Investigations: Miles Edgeworth (DS),https://www.metacritic.com/game/ds/ace-attorney-investigations-miles-edgeworth
Ace Mathician (DS),https://www.metacritic.com/game/ds/ace-mathician
Advance Wars: Days of Ruin (DS),https://www.metacritic.com/game/ds/advance-wars-days-of-ruin
Advance Wars: Dual Strike (DS),https://www.metacritic.com/game/ds/advance-wars-dual-strike
Advanced Circuits (DS),https://www.metacritic.com/game/ds/advanced-circuits
Adventure in Vegas: Slot Machine (DS),https://www.metacritic.com/game/ds/adventure-in-vegas-slot-machine
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?! (DS),https://www.metacritic.com/game/ds/adventure-time-hey-ice-king!-whyd-you-steal-our-garbage!
Afterzoom (DS),https://www.metacritic.com/game/ds/afterzoom
Again: Interactive Crime Novel (DS),https://www.metacritic.com/game/ds/again-interactive-crime-novel
Agatha Christie: The ABC Murders (DS),https://www.metacritic.com/game/ds/agatha-christie-the-abc-murders
Age of Empires: Mythologies (DS),https://www.metacritic.com/game/ds/age-of-empires-mythologies
Age of Empires: The Age of Kings (DS),https://www.metacritic.com/game/ds/age-of-empires-the-age-of-kings
Ah! Heaven (DS),https://www.metacritic.com/game/ds/ah!-heaven
Air Traffic Chaos (DS),https://www.metacritic.com/game/ds/air-traffic-chaos
AiRace (DS),https://www.metacritic.com/game/ds/airace
AiRace: Tunnel (DS),https://www.metacritic.com/game/ds/airace-tunnel
Airport Mania: First Flight (DS),https://www.metacritic.com/game/ds/airport-mania-first-flight
Airport Mania: Non-Stop Flights (DS),https://www.metacritic.com/game/ds/airport-mania-non-stop-flights
Alex Rider: Stormbreaker (DS),https://www.metacritic.com/game/ds/alex-rider-stormbreaker
Alien Puzzle Adventure (DS),https://www.metacritic.com/game/ds/alien-puzzle-adventure
Aliens in the Attic (DS),https://www.metacritic.com/game/ds/aliens-in-the-attic
Aliens: Infestation (DS),https://www.metacritic.com/game/ds/aliens-infestation
All Star Cheer Squad (DS),https://www.metacritic.com/game/ds/all-star-cheer-squad
All-Star Air Hockey (DS),https://www.metacritic.com/game/ds/all-star-air-hockey
Alpha and Omega (DS),https://www.metacritic.com/game/ds/alpha-and-omega
AlphaBounce (DS),https://www.metacritic.com/game/ds/alphabounce
Alt-Play: Jason Rohrer Anthology (DS),https://www.metacritic.com/game/ds/alt-play-jason-rohrer-anthology
Alvin and the Chipmunks (DS),https://www.metacritic.com/game/ds/alvin-and-the-chipmunks
Alvin and the Chipmunks: Chipwrecked (DS),https://www.metacritic.com/game/ds/alvin-and-the-chipmunks-chipwrecked
Alvin and the Chipmunks: The Squeakquel (DS),https://www.metacritic.com/game/ds/alvin-and-the-chipmunks-the-squeakquel
Amazing Adventures: The Forgotten Ruins (DS),https://www.metacritic.com/game/ds/amazing-adventures-the-forgotten-ruins
