title,url
C.O.P.: The Recruit (DS),https://www.metacritic.com/game/ds/cop-the-recruit
C.O.R.E. (DS),https://www.metacritic.com/game/ds/core
Cabela's Dangerous Hunts 2011 (DS),https://www.metacritic.com/game/ds/cabelas-dangerous-hunts-2011
Cake Mania (DS),https://www.metacritic.com/game/ds/cake-mania
Cake Mania 2: Jill's Next Adventure! (DS),https://www.metacritic.com/game/ds/cake-mania-2-jills-next-adventure!
Cake Mania 3 (DS),https://www.metacritic.com/game/ds/cake-mania-3
Cake Mania: Main Street (DS),https://www.metacritic.com/game/ds/cake-mania-main-street
Cake Ninja (DS),https://www.metacritic.com/game/ds/cake-ninja
Cake Ninja 2 (DS),https://www.metacritic.com/game/ds/cake-ninja-2
Cake Ninja: XMAS (DS),https://www.metacritic.com/game/ds/cake-ninja-xmas
Calculator (DS),https://www.metacritic.com/game/ds/calculator
California Super Sports (DS),https://www.metacritic.com/game/ds/california-super-sports
Call of Duty 4: Modern Warfare (DS),https://www.metacritic.com/game/ds/call-of-duty-4-modern-warfare
Call of Duty: Black Ops (DS),https://www.metacritic.com/game/ds/call-of-duty-black-ops
Call of Duty: Modern Warfare - Mobilized (DS),https://www.metacritic.com/game/ds/call-of-duty-modern-warfare---mobilized
Call of Duty: Modern Warfare 3 - Defiance (DS),https://www.metacritic.com/game/ds/call-of-duty-modern-warfare-3---defiance
Call of Duty: World at War (DS),https://www.metacritic.com/game/ds/call-of-duty-world-at-war
Calvin Tucker's Redneck: Farm Animals Racing Tournament (DS),https://www.metacritic.com/game/ds/calvin-tuckers-redneck-farm-animals-racing-tournament
Camping Mama: Outdoor Adventures (DS),https://www.metacritic.com/game/ds/camping-mama-outdoor-adventures
Candace Kane's Candy Factory (DS),https://www.metacritic.com/game/ds/candace-kanes-candy-factory
Candle Route (DS),https://www.metacritic.com/game/ds/candle-route
Captain Morgane and the Golden Turtle (DS),https://www.metacritic.com/game/ds/captain-morgane-and-the-golden-turtle
Car Jack Streets (DS),https://www.metacritic.com/game/ds/car-jack-streets
Carcassonne (DS),https://www.metacritic.com/game/ds/carcassonne
Carnival Games (DS),https://www.metacritic.com/game/ds/carnival-games
Cartoon Network Racing (DS),https://www.metacritic.com/game/ds/cartoon-network-racing
Casper's Scare School: Classroom Capers (DS),https://www.metacritic.com/game/ds/caspers-scare-school-classroom-capers
Casper's Scare School: Spooky Sports Day (DS),https://www.metacritic.com/game/ds/caspers-scare-school-spooky-sports-day
Castle Conqueror (DS),https://www.metacritic.com/game/ds/castle-conqueror
Castle Conqueror: Against (DS),https://www.metacritic.com/game/ds/castle-conqueror-against
Castle Conqueror: Heroes (DS),https://www.metacritic.com/game/ds/castle-conqueror-heroes
Castle Conqueror: Heroes 2 (DS),https://www.metacritic.com/game/ds/castle-conqueror-heroes-2
Castle Conqueror: Revolution (DS),https://www.metacritic.com/game/ds/castle-conqueror-revolution
Castle of Magic (DS),https://www.metacritic.com/game/ds/castle-of-magic
Castlevania: Dawn of Sorrow (DS),https://www.metacritic.com/game/ds/castlevania-dawn-of-sorrow
Castlevania: Order of Ecclesia (DS),https://www.metacritic.com/game/ds/castlevania-order-of-ecclesia
Castlevania: Portrait of Ruin (DS),https://www.metacritic.com/game/ds/castlevania-portrait-of-ruin
Casual Mania (DS),https://www.metacritic.com/game/ds/casual-mania
Cat Frenzy (DS),https://www.metacritic.com/game/ds/cat-frenzy
Cate West: The Vanishing Files (DS),https://www.metacritic.com/game/ds/cate-west-the-vanishing-files
Cats & Dogs: The Revenge of Kitty Galore - The Videogame (DS),https://www.metacritic.com/game/ds/cats-dogs-the-revenge-of-kitty-galore---the-videogame
Catz (DS),https://www.metacritic.com/game/ds/catz
Cave Story (DS),https://www.metacritic.com/game/ds/cave-story
Cesar Millan's Dog Whisperer (DS),https://www.metacritic.com/game/ds/cesar-millans-dog-whisperer
Challenge Me: Brain Puzzles (DS),https://www.metacritic.com/game/ds/challenge-me-brain-puzzles
Challenge Me: Brain Puzzles 2 (DS),https://www.metacritic.com/game/ds/challenge-me-brain-puzzles-2
Challenge Me: Math Workout (DS),https://www.metacritic.com/game/ds/challenge-me-math-workout
Challenge Me: Word Puzzles (DS),https://www.metacritic.com/game/ds/challenge-me-word-puzzles
Chameleon (DS),https://www.metacritic.com/game/ds/chameleon
Championship Pony (DS),https://www.metacritic.com/game/ds/championship-pony
Chaotic: Shadow Warriors (DS),https://www.metacritic.com/game/ds/chaotic-shadow-warriors
Charlotte's Web (DS),https://www.metacritic.com/game/ds/charlottes-web
Charm Girls Club My Fashion Mall (DS),https://www.metacritic.com/game/ds/charm-girls-club-my-fashion-mall
Charm Girls Club My Fashion Show (DS),https://www.metacritic.com/game/ds/charm-girls-club-my-fashion-show
Charm Girls Club My Perfect Prom (DS),https://www.metacritic.com/game/ds/charm-girls-club-my-perfect-prom
Cheer We Go! (DS),https://www.metacritic.com/game/ds/cheer-we-go!
Chess Challenge! (DS),https://www.metacritic.com/game/ds/chess-challenge!
Chessmaster: The Art of Learning (DS),https://www.metacritic.com/game/ds/chessmaster-the-art-of-learning
Chevrolet Camaro: Wild Ride (DS),https://www.metacritic.com/game/ds/chevrolet-camaro-wild-ride
Chibi-Robo! Park Patrol (DS),https://www.metacritic.com/game/ds/chibi-robo!-park-patrol
Chicken Blaster (DS),https://www.metacritic.com/game/ds/chicken-blaster
Chicken Hunter (DS),https://www.metacritic.com/game/ds/chicken-hunter
Chicken Shoot (DS),https://www.metacritic.com/game/ds/chicken-shoot
Children of Mana (DS),https://www.metacritic.com/game/ds/children-of-mana
Chocolatier (DS),https://www.metacritic.com/game/ds/chocolatier
Christmas Wonderland (DS),https://www.metacritic.com/game/ds/christmas-wonderland
Christmas Wonderland 2 (DS),https://www.metacritic.com/game/ds/christmas-wonderland-2
Chronicles of Mystery: Curse of the Ancient Temple (DS),https://www.metacritic.com/game/ds/chronicles-of-mystery-curse-of-the-ancient-temple
Chronicles of Mystery: The Secret Tree of Life (DS),https://www.metacritic.com/game/ds/chronicles-of-mystery-the-secret-tree-of-life
Chronicles of Vampires: Origins (DS),https://www.metacritic.com/game/ds/chronicles-of-vampires-origins
Chronicles of Vampires: The Awakening (DS),https://www.metacritic.com/game/ds/chronicles-of-vampires-the-awakening
Chrono Trigger (DS),https://www.metacritic.com/game/ds/chrono-trigger
Chronos Twins (DS),https://www.metacritic.com/game/ds/chronos-twins
Chrysler Classic Racing (DS),https://www.metacritic.com/game/ds/chrysler-classic-racing
Chuck E. Cheese's Alien Defense Force (DS),https://www.metacritic.com/game/ds/chuck-e-cheeses-alien-defense-force
Chuck E. Cheese's Arcade Room (DS),https://www.metacritic.com/game/ds/chuck-e-cheeses-arcade-room
Chuck E. Cheese's Game Room (DS),https://www.metacritic.com/game/ds/chuck-e-cheeses-game-room
Chuck E. Cheese's Party Games (DS),https://www.metacritic.com/game/ds/chuck-e-cheeses-party-games
Chuck E. Cheese's Playhouse (DS),https://www.metacritic.com/game/ds/chuck-e-cheeses-playhouse
Clash of Elementalists (DS),https://www.metacritic.com/game/ds/clash-of-elementalists
Classic Action: Devilish (DS),https://www.metacritic.com/game/ds/classic-action-devilish
Classic Word Games (DS),https://www.metacritic.com/game/ds/classic-word-games
Cloudy With a Chance of Meatballs (DS),https://www.metacritic.com/game/ds/cloudy-with-a-chance-of-meatballs
Cloudy With a Chance of Meatballs 2 (DS),https://www.metacritic.com/game/ds/cloudy-with-a-chance-of-meatballs-2
Club Penguin: Elite Penguin Force (DS),https://www.metacritic.com/game/ds/club-penguin-elite-penguin-force
Clubhouse Games (DS),https://www.metacritic.com/game/ds/clubhouse-games
Clubhouse Games Express: Card Classics (DS),https://www.metacritic.com/game/ds/clubhouse-games-express-card-classics
Clubhouse Games Express: Family Favorites (DS),https://www.metacritic.com/game/ds/clubhouse-games-express-family-favorites
Clubhouse Games Express: Strategy Pack (DS),https://www.metacritic.com/game/ds/clubhouse-games-express-strategy-pack
Clue / Mouse Trap / Perfection / Aggravation (DS),https://www.metacritic.com/game/ds/clue-mouse-trap-perfection-aggravation
Cocoto Kart Racer (DS),https://www.metacritic.com/game/ds/cocoto-kart-racer
Code Lyoko (DS),https://www.metacritic.com/game/ds/code-lyoko
Code Lyoko: Fall of X.A.N.A. (DS),https://www.metacritic.com/game/ds/code-lyoko-fall-of-xana
Color Commando (DS),https://www.metacritic.com/game/ds/color-commando
Color Cross (DS),https://www.metacritic.com/game/ds/color-cross
Come On! Dragons (DS),https://www.metacritic.com/game/ds/come-on!-dragons
Come On! Heroes (DS),https://www.metacritic.com/game/ds/come-on!-heroes
Command And Destroy (DS),https://www.metacritic.com/game/ds/command-and-destroy
Commando: Steel Disaster (DS),https://www.metacritic.com/game/ds/commando-steel-disaster
Commando: Steel Disaster (DSiWare) (DS),https://www.metacritic.com/game/ds/commando-steel-disaster-dsiware
Contact (DS),https://www.metacritic.com/game/ds/contact
Contra 4 (DS),https://www.metacritic.com/game/ds/contra-4
Cookie & Cream (DS),https://www.metacritic.com/game/ds/cookie-cream
Cookie Shop: Create Your Dream Shop (DS),https://www.metacritic.com/game/ds/cookie-shop-create-your-dream-shop
Cooking Mama (DS),https://www.metacritic.com/game/ds/cooking-mama
Cooking Mama 2: Dinner With Friends (DS),https://www.metacritic.com/game/ds/cooking-mama-2-dinner-with-friends
Cooking Mama 3: Shop & Chop (DS),https://www.metacritic.com/game/ds/cooking-mama-3-shop-chop
Coraline (DS),https://www.metacritic.com/game/ds/coraline
Corvette Evolution GT (DS),https://www.metacritic.com/game/ds/corvette-evolution-gt
Cosmo Fighters (DS),https://www.metacritic.com/game/ds/cosmo-fighters
Cosmos Chaos! (DS),https://www.metacritic.com/game/ds/cosmos-chaos!
Cosmos X2 (DS),https://www.metacritic.com/game/ds/cosmos-x2
Cradle of Rome (DS),https://www.metacritic.com/game/ds/cradle-of-rome
Crafting Mama (DS),https://www.metacritic.com/game/ds/crafting-mama
Crash Boom Bang! (DS),https://www.metacritic.com/game/ds/crash-boom-bang!
Crash of the Titans (DS),https://www.metacritic.com/game/ds/crash-of-the-titans
Crash-Course Domo (DS),https://www.metacritic.com/game/ds/crash-course-domo
Crash: Mind Over Mutant (DS),https://www.metacritic.com/game/ds/crash-mind-over-mutant
Crayola Treasure Adventures (DS),https://www.metacritic.com/game/ds/crayola-treasure-adventures
Crazy Cheebo: Puzzle Party (DS),https://www.metacritic.com/game/ds/crazy-cheebo-puzzle-party
Crazy Chicken Adventure: The Pharaoh's Treasure (DS),https://www.metacritic.com/game/ds/crazy-chicken-adventure-the-pharaohs-treasure
Crazy Chicken: Director's Cut (DS),https://www.metacritic.com/game/ds/crazy-chicken-directors-cut
Crazy Chicken: Jump'N Run Atlantis Quest (DS),https://www.metacritic.com/game/ds/crazy-chicken-jumpn-run-atlantis-quest
Crazy Chicken: Pirates (DS),https://www.metacritic.com/game/ds/crazy-chicken-pirates
Crazy Chicken: Star Karts (DS),https://www.metacritic.com/game/ds/crazy-chicken-star-karts
Crazy Garage (DS),https://www.metacritic.com/game/ds/crazy-garage
Crazy Golf (DS),https://www.metacritic.com/game/ds/crazy-golf
Crazy Hamster (DS),https://www.metacritic.com/game/ds/crazy-hamster
Crazy Hunter (DS),https://www.metacritic.com/game/ds/crazy-hunter
Crazy Pinball (DS),https://www.metacritic.com/game/ds/crazy-pinball
Crazy Sudoku (DS),https://www.metacritic.com/game/ds/crazy-sudoku
Crazy Train (DS),https://www.metacritic.com/game/ds/crazy-train
Crime Lab: Body of Evidence (DS),https://www.metacritic.com/game/ds/crime-lab-body-of-evidence
Crime Lab: Body of Evidence (DS),https://www.metacritic.com/game/ds/crime-lab-body-of-evidence
Crime Scene (DS),https://www.metacritic.com/game/ds/crime-scene
CrossworDS (DS),https://www.metacritic.com/game/ds/crosswords
Crystal Adventure (DS),https://www.metacritic.com/game/ds/crystal-adventure
Crystal Caverns of Amon-Ra (DS),https://www.metacritic.com/game/ds/crystal-caverns-of-amon-ra
Crystal Monsters (DS),https://www.metacritic.com/game/ds/crystal-monsters
CSI: Crime Scene Investigation: Dark Motives (DS),https://www.metacritic.com/game/ds/csi-crime-scene-investigation-dark-motives
CSI: Crime Scene Investigation: Deadly Intent - The Hidden Cases (DS),https://www.metacritic.com/game/ds/csi-crime-scene-investigation-deadly-intent---the-hidden-cases
CSI: Crime Scene Investigation: Unsolved! (DS),https://www.metacritic.com/game/ds/csi-crime-scene-investigation-unsolved!
Curling DS (DS),https://www.metacritic.com/game/ds/curling-ds
Curling Super Championship (DS),https://www.metacritic.com/game/ds/curling-super-championship
Custom Robo Arena (DS),https://www.metacritic.com/game/ds/custom-robo-arena
Cut the Rope (DS),https://www.metacritic.com/game/ds/cut-the-rope
Cute Witch! Runner (DS),https://www.metacritic.com/game/ds/cute-witch!-runner
