title,url
DaGeDar (DS),https://www.metacritic.com/game/ds/dagedar
Dairojo! Samurai Defenders (DS),https://www.metacritic.com/game/ds/dairojo!-samurai-defenders
Dancing With the Stars: We Dance! (DS),https://www.metacritic.com/game/ds/dancing-with-the-stars-we-dance!
Daniel X: The Ultimate Power (DS),https://www.metacritic.com/game/ds/daniel-x-the-ultimate-power
Dark Void Zero (DS),https://www.metacritic.com/game/ds/dark-void-zero
Datamine (DS),https://www.metacritic.com/game/ds/datamine
Date or Ditch (DS),https://www.metacritic.com/game/ds/date-or-ditch
Dawn of Discovery (DS),https://www.metacritic.com/game/ds/dawn-of-discovery
Dawn of Heroes (DS),https://www.metacritic.com/game/ds/dawn-of-heroes
de Blob 2 (DS),https://www.metacritic.com/game/ds/de-blob-2
Deal or No Deal (DS),https://www.metacritic.com/game/ds/deal-or-no-deal
Deal or No Deal: Special Edition (DS),https://www.metacritic.com/game/ds/deal-or-no-deal-special-edition
Death Jr. and the Science Fair of Doom (DS),https://www.metacritic.com/game/ds/death-jr-and-the-science-fair-of-doom
Deca Sports DS (DS),https://www.metacritic.com/game/ds/deca-sports-ds
Decathlon 2012 (DS),https://www.metacritic.com/game/ds/decathlon-2012
Deep Labyrinth (DS),https://www.metacritic.com/game/ds/deep-labyrinth
Deep Sea Creatures (DS),https://www.metacritic.com/game/ds/deep-sea-creatures
Deer Drive (DS),https://www.metacritic.com/game/ds/deer-drive
Defendin' DePenguin (DS),https://www.metacritic.com/game/ds/defendin-depenguin
Defense of the Middle Kingdom (DS),https://www.metacritic.com/game/ds/defense-of-the-middle-kingdom
Delbo (DS),https://www.metacritic.com/game/ds/delbo
Dementium II (DS),https://www.metacritic.com/game/ds/dementium-ii
Dementium: The Ward (DS),https://www.metacritic.com/game/ds/dementium-the-ward
Desktop Tower Defense (DS),https://www.metacritic.com/game/ds/desktop-tower-defense
Despicable Me: The Game - Minion Mayhem (DS),https://www.metacritic.com/game/ds/despicable-me-the-game---minion-mayhem
Devil Band: Rock the Underworld (DS),https://www.metacritic.com/game/ds/devil-band-rock-the-underworld
Di-Gata Defenders (DS),https://www.metacritic.com/game/ds/di-gata-defenders
Diamond Trust of London (DS),https://www.metacritic.com/game/ds/diamond-trust-of-london
Diary Girl (DS),https://www.metacritic.com/game/ds/diary-girl
Did It Myself ABC123 (DS),https://www.metacritic.com/game/ds/did-it-myself-abc123
Diddy Kong Racing DS (DS),https://www.metacritic.com/game/ds/diddy-kong-racing-ds
Dig Dug: Digging Strike (DS),https://www.metacritic.com/game/ds/dig-dug-digging-strike
Digger Dan & Kaboom (DS),https://www.metacritic.com/game/ds/digger-dan-kaboom
Digging for Dinosaurs (DS),https://www.metacritic.com/game/ds/digging-for-dinosaurs
Digimon World Championship (DS),https://www.metacritic.com/game/ds/digimon-world-championship
Digimon World DS (DS),https://www.metacritic.com/game/ds/digimon-world-ds
Digimon World: Dawn (DS),https://www.metacritic.com/game/ds/digimon-world-dawn
Digimon World: Dusk (DS),https://www.metacritic.com/game/ds/digimon-world-dusk
Diner Dash: Flo on the Go (DS),https://www.metacritic.com/game/ds/diner-dash-flo-on-the-go
Diner Dash: Sizzle & Serve (DS),https://www.metacritic.com/game/ds/diner-dash-sizzle-serve
Dino Master (DS),https://www.metacritic.com/game/ds/dino-master
Dino Pets (DS),https://www.metacritic.com/game/ds/dino-pets
Dinosaur King (DS),https://www.metacritic.com/game/ds/dinosaur-king
DiRT 2 (DS),https://www.metacritic.com/game/ds/dirt-2
Discolight (DS),https://www.metacritic.com/game/ds/discolight
Discovery Kids: Dolphin Discovery (DS),https://www.metacritic.com/game/ds/discovery-kids-dolphin-discovery
Discovery Kids: Kitten Corner (DS),https://www.metacritic.com/game/ds/discovery-kids-kitten-corner
Discovery Kids: Parrot Pals (DS),https://www.metacritic.com/game/ds/discovery-kids-parrot-pals
Discovery Kids: Pony Paradise (DS),https://www.metacritic.com/game/ds/discovery-kids-pony-paradise
Discovery Kids: Puppy Playtime (DS),https://www.metacritic.com/game/ds/discovery-kids-puppy-playtime
Discovery Kids: Snake Safari (DS),https://www.metacritic.com/game/ds/discovery-kids-snake-safari
Discovery Kids: Spider Quest (DS),https://www.metacritic.com/game/ds/discovery-kids-spider-quest
Disgaea DS (DS),https://www.metacritic.com/game/ds/disgaea-ds
Disney Alice in Wonderland (DS),https://www.metacritic.com/game/ds/disney-alice-in-wonderland
Disney Big Hero 6: Battle in the Bay (DS),https://www.metacritic.com/game/ds/disney-big-hero-6-battle-in-the-bay
Disney Bolt (DS),https://www.metacritic.com/game/ds/disney-bolt
Disney Camp Rock: The Final Jam (DS),https://www.metacritic.com/game/ds/disney-camp-rock-the-final-jam
Disney Club Penguin: Elite Penguin Force - Herbert's Revenge (DS),https://www.metacritic.com/game/ds/disney-club-penguin-elite-penguin-force---herberts-revenge
Disney Cory in the House (DS),https://www.metacritic.com/game/ds/disney-cory-in-the-house
Disney Fairies: Tinker Bell (DS),https://www.metacritic.com/game/ds/disney-fairies-tinker-bell
Disney Fairies: Tinker Bell and the Great Fairy Rescue (DS),https://www.metacritic.com/game/ds/disney-fairies-tinker-bell-and-the-great-fairy-rescue
Disney Fairies: Tinker Bell and the Lost Treasure (DS),https://www.metacritic.com/game/ds/disney-fairies-tinker-bell-and-the-lost-treasure
Disney Fireworks (DS),https://www.metacritic.com/game/ds/disney-fireworks
Disney Friends (DS),https://www.metacritic.com/game/ds/disney-friends
Disney Frozen: Olaf's Quest (DS),https://www.metacritic.com/game/ds/disney-frozen-olafs-quest
Disney G-Force (DS),https://www.metacritic.com/game/ds/disney-g-force
Disney Hannah Montana: Music Jam (DS),https://www.metacritic.com/game/ds/disney-hannah-montana-music-jam
Disney High School Musical 2: Work This Out! (DS),https://www.metacritic.com/game/ds/disney-high-school-musical-2-work-this-out!
Disney High School Musical 3: Senior Year (DS),https://www.metacritic.com/game/ds/disney-high-school-musical-3-senior-year
Disney High School Musical: Makin' the Cut (DS),https://www.metacritic.com/game/ds/disney-high-school-musical-makin-the-cut
Disney Phineas and Ferb: Across the 2nd Dimension (DS),https://www.metacritic.com/game/ds/disney-phineas-and-ferb-across-the-2nd-dimension
Disney Pirates of the Caribbean: At World's End (DS),https://www.metacritic.com/game/ds/disney-pirates-of-the-caribbean-at-worlds-end
Disney Planes (DS),https://www.metacritic.com/game/ds/disney-planes
Disney Presents a Pixar Film Finding Nemo: Escape to the Big Blue (DS),https://www.metacritic.com/game/ds/disney-presents-a-pixar-film-finding-nemo-escape-to-the-big-blue
Disney Princess: Enchanting Storybooks (DS),https://www.metacritic.com/game/ds/disney-princess-enchanting-storybooks
Disney Princess: Magical Jewels (DS),https://www.metacritic.com/game/ds/disney-princess-magical-jewels
Disney Stitch Jam (DS),https://www.metacritic.com/game/ds/disney-stitch-jam
Disney Tangled: The Video Game (DS),https://www.metacritic.com/game/ds/disney-tangled-the-video-game
Disney The Princess and the Frog (DS),https://www.metacritic.com/game/ds/disney-the-princess-and-the-frog
Disney The Sorcerer's Apprentice (DS),https://www.metacritic.com/game/ds/disney-the-sorcerers-apprentice
Disney The Suite Life of Zack & Cody: Circle of Spies (DS),https://www.metacritic.com/game/ds/disney-the-suite-life-of-zack-cody-circle-of-spies
Disney Two Pack - Frozen: Olaf's Quest + Big Hero 6: Battle in the Bay (DS),https://www.metacritic.com/game/ds/disney-two-pack---frozen-olafs-quest-+-big-hero-6-battle-in-the-bay
Disney Wizards of Waverly Place (DS),https://www.metacritic.com/game/ds/disney-wizards-of-waverly-place
Disney Wreck-It Ralph (DS),https://www.metacritic.com/game/ds/disney-wreck-it-ralph
Disney's A Christmas Carol (DS),https://www.metacritic.com/game/ds/disneys-a-christmas-carol
"Disney's American Dragon: Jake Long, Attack of the Dark Dragon (DS)",https://www.metacritic.com/game/ds/disneys-american-dragon-jake-long-attack-of-the-dark-dragon
Disney's Chicken Little: Ace in Action (DS),https://www.metacritic.com/game/ds/disneys-chicken-little-ace-in-action
Disney's Herbie: Rescue Rally (DS),https://www.metacritic.com/game/ds/disneys-herbie-rescue-rally
Disney's Kim Possible: Global Gemini (DS),https://www.metacritic.com/game/ds/disneys-kim-possible-global-gemini
Disney's Kim Possible: Kimmunicator (DS),https://www.metacritic.com/game/ds/disneys-kim-possible-kimmunicator
Disney's Meet the Robinsons (DS),https://www.metacritic.com/game/ds/disneys-meet-the-robinsons
Disney's The Little Mermaid: Ariel's Undersea Adventure (DS),https://www.metacritic.com/game/ds/disneys-the-little-mermaid-ariels-undersea-adventure
Disney's TRON: Evolution (DS),https://www.metacritic.com/game/ds/disneys-tron-evolution
Disney*Pixar WALL-E (DS),https://www.metacritic.com/game/ds/disneypixar-wall-e
Disney/Pixar Brave (DS),https://www.metacritic.com/game/ds/disneypixar-brave
Disney/Pixar Cars (DS),https://www.metacritic.com/game/ds/disneypixar-cars
Disney/Pixar Cars 2 (DS),https://www.metacritic.com/game/ds/disneypixar-cars-2
Disney/Pixar Cars Mater-National Championship (DS),https://www.metacritic.com/game/ds/disneypixar-cars-mater-national-championship
Disney/Pixar Cars Race-O-Rama (DS),https://www.metacritic.com/game/ds/disneypixar-cars-race-o-rama
Disney/Pixar Finding Nemo: Escape to the Big Blue Special Edition (DS),https://www.metacritic.com/game/ds/disneypixar-finding-nemo-escape-to-the-big-blue-special-edition
Disney/Pixar Ratatouille (DS),https://www.metacritic.com/game/ds/disneypixar-ratatouille
Disney/Pixar Ratatouille: Food Frenzy (DS),https://www.metacritic.com/game/ds/disneypixar-ratatouille-food-frenzy
Disney/Pixar The Incredibles: Rise of the Underminer (DS),https://www.metacritic.com/game/ds/disneypixar-the-incredibles-rise-of-the-underminer
Disney/Pixar Toy Story 3 (DS),https://www.metacritic.com/game/ds/disneypixar-toy-story-3
Disney/Pixar Up (DS),https://www.metacritic.com/game/ds/disneypixar-up
Diva Girls: Divas on Ice (DS),https://www.metacritic.com/game/ds/diva-girls-divas-on-ice
Divergent Shift (DS),https://www.metacritic.com/game/ds/divergent-shift
DJ Star (DS),https://www.metacritic.com/game/ds/dj-star
DK: Jungle Climber (DS),https://www.metacritic.com/game/ds/dk-jungle-climber
