title,url
EA Playground (DS),https://www.metacritic.com/game/ds/ea-playground
Earthworm Jim (DS),https://www.metacritic.com/game/ds/earthworm-jim
Easter Eggztravaganza (DS),https://www.metacritic.com/game/ds/easter-eggztravaganza
Easy Piano (DS),https://www.metacritic.com/game/ds/easy-piano
Eco-Creatures: Save the Forest (DS),https://www.metacritic.com/game/ds/eco-creatures-save-the-forest
"Ed, Edd n Eddy: Scam of the Century (DS)",https://www.metacritic.com/game/ds/ed-edd-n-eddy-scam-of-the-century
EJ Puzzles: Hooked (DS),https://www.metacritic.com/game/ds/ej-puzzles-hooked
El Tigre: The Adventures of Manny Rivera (DS),https://www.metacritic.com/game/ds/el-tigre-the-adventures-of-manny-rivera
Elebits: The Adventures of Kai and Zero (DS),https://www.metacritic.com/game/ds/elebits-the-adventures-of-kai-and-zero
Electroplankton (DS),https://www.metacritic.com/game/ds/electroplankton
Electroplankton: Beatnes (DS),https://www.metacritic.com/game/ds/electroplankton-beatnes
Electroplankton: Hanenbow (DS),https://www.metacritic.com/game/ds/electroplankton-hanenbow
Electroplankton: Lumiloop (DS),https://www.metacritic.com/game/ds/electroplankton-lumiloop
Electroplankton: Luminarrow (DS),https://www.metacritic.com/game/ds/electroplankton-luminarrow
Electroplankton: Marine-Crystals (DS),https://www.metacritic.com/game/ds/electroplankton-marine-crystals
Electroplankton: Nanocarp (DS),https://www.metacritic.com/game/ds/electroplankton-nanocarp
Electroplankton: Rec-Rec (DS),https://www.metacritic.com/game/ds/electroplankton-rec-rec
Electroplankton: Sun-Animalcule (DS),https://www.metacritic.com/game/ds/electroplankton-sun-animalcule
Electroplankton: Trapy (DS),https://www.metacritic.com/game/ds/electroplankton-trapy
Electroplankton: Varvoice (DS),https://www.metacritic.com/game/ds/electroplankton-varvoice
Elemental Masters (DS),https://www.metacritic.com/game/ds/elemental-masters
Elements of Destruction (DS),https://www.metacritic.com/game/ds/elements-of-destruction
Elf Bowling 1 & 2 (DS),https://www.metacritic.com/game/ds/elf-bowling-1-2
Elite Beat Agents (DS),https://www.metacritic.com/game/ds/elite-beat-agents
Elite Forces: Unit 77 (DS),https://www.metacritic.com/game/ds/elite-forces-unit-77
Elite Forces: Unit 77 (DSiWare) (DS),https://www.metacritic.com/game/ds/elite-forces-unit-77-dsiware
Emergency Room (DS),https://www.metacritic.com/game/ds/emergency-room
Emergency! Disaster Rescue Squad (DS),https://www.metacritic.com/game/ds/emergency!-disaster-rescue-squad
Emily the Strange: Strangerous (DS),https://www.metacritic.com/game/ds/emily-the-strange-strangerous
Emma at the Farm (DS),https://www.metacritic.com/game/ds/emma-at-the-farm
Emma in the Mountains (DS),https://www.metacritic.com/game/ds/emma-in-the-mountains
Ener-G Dance Squad (DS),https://www.metacritic.com/game/ds/ener-g-dance-squad
Ener-G Gym Rockets (DS),https://www.metacritic.com/game/ds/ener-g-gym-rockets
Ener-G Horse Riders (DS),https://www.metacritic.com/game/ds/ener-g-horse-riders
Ener-G Horse Riders (DS),https://www.metacritic.com/game/ds/ener-g-horse-riders
Eragon (DS),https://www.metacritic.com/game/ds/eragon
Escape the Museum (DS),https://www.metacritic.com/game/ds/escape-the-museum
Escape the Virus: Shoot 'em Up! (DS),https://www.metacritic.com/game/ds/escape-the-virus-shoot-em-up!
Escape the Virus: Swarm Survival (DS),https://www.metacritic.com/game/ds/escape-the-virus-swarm-survival
Escape Trick: Convenience Store (DS),https://www.metacritic.com/game/ds/escape-trick-convenience-store
Escape Trick: Ninja Castle (DS),https://www.metacritic.com/game/ds/escape-trick-ninja-castle
Escape Trick: The Secret of Rock City Prison (DS),https://www.metacritic.com/game/ds/escape-trick-the-secret-of-rock-city-prison
Escapee GO! (DS),https://www.metacritic.com/game/ds/escapee-go!
Etrian Odyssey (DS),https://www.metacritic.com/game/ds/etrian-odyssey
Etrian Odyssey II: Heroes of Lagaard (DS),https://www.metacritic.com/game/ds/etrian-odyssey-ii-heroes-of-lagaard
Etrian Odyssey III: The Drowned City (DS),https://www.metacritic.com/game/ds/etrian-odyssey-iii-the-drowned-city
Everyday Soccer (DS),https://www.metacritic.com/game/ds/everyday-soccer
Exit DS (DS),https://www.metacritic.com/game/ds/exit-ds
Extreme Hangman (DS),https://www.metacritic.com/game/ds/extreme-hangman
Extreme Hangman 2 (DS),https://www.metacritic.com/game/ds/extreme-hangman-2
