title,url
F24: Stealth Fighter (DS),https://www.metacritic.com/game/ds/f24-stealth-fighter
Fab 5 Soccer (DS),https://www.metacritic.com/game/ds/fab-5-soccer
Fabulous Finds (DS),https://www.metacritic.com/game/ds/fabulous-finds
Face Pilot: Fly With Your Nintendo DSi Camera! (DS),https://www.metacritic.com/game/ds/face-pilot-fly-with-your-nintendo-dsi-camera!
Faceez (DS),https://www.metacritic.com/game/ds/faceez
Faceez: Monsters! (DS),https://www.metacritic.com/game/ds/faceez-monsters!
Fairyland Melody Magic (DS),https://www.metacritic.com/game/ds/fairyland-melody-magic
Family Feud: 2010 Edition (DS),https://www.metacritic.com/game/ds/family-feud-2010-edition
Fancy Nancy: Tea Party Time! (DS),https://www.metacritic.com/game/ds/fancy-nancy-tea-party-time!
Fantastic Four: Rise of the Silver Surfer (DS),https://www.metacritic.com/game/ds/fantastic-four-rise-of-the-silver-surfer
Fantasy Aquarium (DS),https://www.metacritic.com/game/ds/fantasy-aquarium
Fantasy Slots: Adventure Slots and Games (DS),https://www.metacritic.com/game/ds/fantasy-slots-adventure-slots-and-games
Farm Frenzy (DS),https://www.metacritic.com/game/ds/farm-frenzy
Farm Frenzy: Animal Country (DS),https://www.metacritic.com/game/ds/farm-frenzy-animal-country
Farmtopia (DS),https://www.metacritic.com/game/ds/farmtopia
Fashion Designer: Style Icon (DS),https://www.metacritic.com/game/ds/fashion-designer-style-icon
Fashion Studio: Paris Collection (DS),https://www.metacritic.com/game/ds/fashion-studio-paris-collection
Fashion Tycoon (DS),https://www.metacritic.com/game/ds/fashion-tycoon
Fashion Week Jr. Designer (DS),https://www.metacritic.com/game/ds/fashion-week-jr-designer
Fast Food Panic (DS),https://www.metacritic.com/game/ds/fast-food-panic
Feel the Magic: XY/XX (DS),https://www.metacritic.com/game/ds/feel-the-magic-xyxx
Ferrari Challenge Trofeo Pirelli (DS),https://www.metacritic.com/game/ds/ferrari-challenge-trofeo-pirelli
Ferrari GT: Evolution (DS),https://www.metacritic.com/game/ds/ferrari-gt-evolution
Fieldrunners (DS),https://www.metacritic.com/game/ds/fieldrunners
FIFA 06 Soccer (DS),https://www.metacritic.com/game/ds/fifa-06-soccer
FIFA 07 Soccer (DS),https://www.metacritic.com/game/ds/fifa-07-soccer
FIFA 08 Soccer (DS),https://www.metacritic.com/game/ds/fifa-08-soccer
FIFA Soccer 09 (DS),https://www.metacritic.com/game/ds/fifa-soccer-09
FIFA Soccer 10 (DS),https://www.metacritic.com/game/ds/fifa-soccer-10
FIFA Soccer 11 (DS),https://www.metacritic.com/game/ds/fifa-soccer-11
FIFA Street 2 (DS),https://www.metacritic.com/game/ds/fifa-street-2
FIFA Street 3 (DS),https://www.metacritic.com/game/ds/fifa-street-3
FIFA World Cup: Germany 2006 (DS),https://www.metacritic.com/game/ds/fifa-world-cup-germany-2006
Fighting Fantasy: The Warlock of Firetop Mountain (DS),https://www.metacritic.com/game/ds/fighting-fantasy-the-warlock-of-firetop-mountain
Final Fantasy Crystal Chronicles: Echoes of Time (DS),https://www.metacritic.com/game/ds/final-fantasy-crystal-chronicles-echoes-of-time
Final Fantasy Crystal Chronicles: Ring of Fates (DS),https://www.metacritic.com/game/ds/final-fantasy-crystal-chronicles-ring-of-fates
Final Fantasy Fables: Chocobo Tales (DS),https://www.metacritic.com/game/ds/final-fantasy-fables-chocobo-tales
Final Fantasy III (DS),https://www.metacritic.com/game/ds/final-fantasy-iii
Final Fantasy IV (DS),https://www.metacritic.com/game/ds/final-fantasy-iv
Final Fantasy Tactics A2: Grimoire of the Rift (DS),https://www.metacritic.com/game/ds/final-fantasy-tactics-a2-grimoire-of-the-rift
Final Fantasy XII: Revenant Wings (DS),https://www.metacritic.com/game/ds/final-fantasy-xii-revenant-wings
