title,url
G.G Series: Air Pinball Hockey (DS),https://www.metacritic.com/game/ds/gg-series-air-pinball-hockey
G.G Series: All Breaker (DS),https://www.metacritic.com/game/ds/gg-series-all-breaker
G.G Series: Altered Weapon (DS),https://www.metacritic.com/game/ds/gg-series-altered-weapon
G.G Series: Assault Buster (DS),https://www.metacritic.com/game/ds/gg-series-assault-buster
G.G Series: Black x Block (DS),https://www.metacritic.com/game/ds/gg-series-black-x-block
G.G Series: Conveyor Toy Packing (DS),https://www.metacritic.com/game/ds/gg-series-conveyor-toy-packing
G.G Series: Cosmo Rally (DS),https://www.metacritic.com/game/ds/gg-series-cosmo-rally
G.G Series: D-Tank (DS),https://www.metacritic.com/game/ds/gg-series-d-tank
G.G Series: Dark Spirits (DS),https://www.metacritic.com/game/ds/gg-series-dark-spirits
G.G Series: Drift Circuit (DS),https://www.metacritic.com/game/ds/gg-series-drift-circuit
G.G Series: Drilling Attack!! (DS),https://www.metacritic.com/game/ds/gg-series-drilling-attack!!
G.G Series: Energy Chain (DS),https://www.metacritic.com/game/ds/gg-series-energy-chain
G.G Series: Exciting River (DS),https://www.metacritic.com/game/ds/gg-series-exciting-river
G.G Series: Great Whip Adventure (DS),https://www.metacritic.com/game/ds/gg-series-great-whip-adventure
G.G Series: Hero Puzzle (DS),https://www.metacritic.com/game/ds/gg-series-hero-puzzle
G.G Series: Horizontal Bar (DS),https://www.metacritic.com/game/ds/gg-series-horizontal-bar
G.G Series: Ninja Karakuri Den (DS),https://www.metacritic.com/game/ds/gg-series-ninja-karakuri-den
G.G Series: Nyokki (DS),https://www.metacritic.com/game/ds/gg-series-nyokki
G.G Series: Run & Strike (DS),https://www.metacritic.com/game/ds/gg-series-run-strike
G.G Series: Score Attacker (DS),https://www.metacritic.com/game/ds/gg-series-score-attacker
G.G Series: Shadow Army (DS),https://www.metacritic.com/game/ds/gg-series-shadow-army
G.G Series: Super Hero Ogre (DS),https://www.metacritic.com/game/ds/gg-series-super-hero-ogre
G.G Series: The Hidden Ninja Kagemaru (DS),https://www.metacritic.com/game/ds/gg-series-the-hidden-ninja-kagemaru
G.G Series: The Last Knight (DS),https://www.metacritic.com/game/ds/gg-series-the-last-knight
G.G Series: The Spiky Blowfish (DS),https://www.metacritic.com/game/ds/gg-series-the-spiky-blowfish
G.G Series: Throw Out (DS),https://www.metacritic.com/game/ds/gg-series-throw-out
G.G Series: Vector (DS),https://www.metacritic.com/game/ds/gg-series-vector
G.G Series: Vertex (DS),https://www.metacritic.com/game/ds/gg-series-vertex
G.G Series: Wonder Land (DS),https://www.metacritic.com/game/ds/gg-series-wonder-land
G.G Series: Z-One (DS),https://www.metacritic.com/game/ds/gg-series-z-one
G.I. Joe: The Rise of Cobra (DS),https://www.metacritic.com/game/ds/gi-joe-the-rise-of-cobra
Gaia's Moon (DS),https://www.metacritic.com/game/ds/gaias-moon
Galactic Taz Ball (DS),https://www.metacritic.com/game/ds/galactic-taz-ball
Galaxy Racers (DS),https://www.metacritic.com/game/ds/galaxy-racers
Galaxy Saver (DS),https://www.metacritic.com/game/ds/galaxy-saver
Game & Watch Collection (DS),https://www.metacritic.com/game/ds/game-watch-collection
Game & Watch Collection 2 (DS),https://www.metacritic.com/game/ds/game-watch-collection-2
Game & Watch: Ball (DS),https://www.metacritic.com/game/ds/game-watch-ball
Game & Watch: Chef (DS),https://www.metacritic.com/game/ds/game-watch-chef
Game & Watch: Donkey Kong Jr. (DS),https://www.metacritic.com/game/ds/game-watch-donkey-kong-jr
Game & Watch: Flagman (DS),https://www.metacritic.com/game/ds/game-watch-flagman
Game & Watch: Helmet (DS),https://www.metacritic.com/game/ds/game-watch-helmet
Game & Watch: Judge (DS),https://www.metacritic.com/game/ds/game-watch-judge
Game & Watch: Manhole (DS),https://www.metacritic.com/game/ds/game-watch-manhole
Game & Watch: Mario's Cement Factory (DS),https://www.metacritic.com/game/ds/game-watch-marios-cement-factory
Game & Watch: Vermin (DS),https://www.metacritic.com/game/ds/game-watch-vermin
Game Hits! (DS),https://www.metacritic.com/game/ds/game-hits!
Games Around the World (DS),https://www.metacritic.com/game/ds/games-around-the-world
Gangstar 2: Kings of L.A. (DS),https://www.metacritic.com/game/ds/gangstar-2-kings-of-la
Gardening Mama (DS),https://www.metacritic.com/game/ds/gardening-mama
Garfield Gets Real (DS),https://www.metacritic.com/game/ds/garfield-gets-real
Garfield's Fun Fest (DS),https://www.metacritic.com/game/ds/garfields-fun-fest
Garfield's Nightmare (DS),https://www.metacritic.com/game/ds/garfields-nightmare
Garfield: A Tail of Two Kitties (DS),https://www.metacritic.com/game/ds/garfield-a-tail-of-two-kitties
Gene Labs (DS),https://www.metacritic.com/game/ds/gene-labs
Generator Rex: Agent of Providence (DS),https://www.metacritic.com/game/ds/generator-rex-agent-of-providence
Geometry Wars: Galaxies (DS),https://www.metacritic.com/game/ds/geometry-wars-galaxies
Ghost Trick: Phantom Detective (DS),https://www.metacritic.com/game/ds/ghost-trick-phantom-detective
Ghostbusters: The Video Game (DS),https://www.metacritic.com/game/ds/ghostbusters-the-video-game
Giana Sisters DS (DS),https://www.metacritic.com/game/ds/giana-sisters-ds
Girl Time (DS),https://www.metacritic.com/game/ds/girl-time
Girls Life: Fashion Addict (DS),https://www.metacritic.com/game/ds/girls-life-fashion-addict
Globulos Party (DS),https://www.metacritic.com/game/ds/globulos-party
Glory Days 2 (DS),https://www.metacritic.com/game/ds/glory-days-2
Glory Days: Tactical Defense (DS),https://www.metacritic.com/game/ds/glory-days-tactical-defense
Glory of Heracles (DS),https://www.metacritic.com/game/ds/glory-of-heracles
Glow Artisan (DS),https://www.metacritic.com/game/ds/glow-artisan
Go Fetch! (DS),https://www.metacritic.com/game/ds/go-fetch!
Go Fetch! 2 (DS),https://www.metacritic.com/game/ds/go-fetch!-2
GO Series: 10 Second Run (DS),https://www.metacritic.com/game/ds/go-series-10-second-run
GO Series: Captain Sub (DS),https://www.metacritic.com/game/ds/go-series-captain-sub
GO Series: Defense Wars (DS),https://www.metacritic.com/game/ds/go-series-defense-wars
GO Series: Earth Saver (DS),https://www.metacritic.com/game/ds/go-series-earth-saver
GO Series: Fishing Resort (DS),https://www.metacritic.com/game/ds/go-series-fishing-resort
GO Series: Picdun (DS),https://www.metacritic.com/game/ds/go-series-picdun
GO Series: Pinball Attack! (DS),https://www.metacritic.com/game/ds/go-series-pinball-attack!
GO Series: Portable Shrine Wars (DS),https://www.metacritic.com/game/ds/go-series-portable-shrine-wars
GO Series: Tower of Deus (DS),https://www.metacritic.com/game/ds/go-series-tower-of-deus
GO Series: Undead Storm (DS),https://www.metacritic.com/game/ds/go-series-undead-storm
Go! Go! Island Rescue! (DS),https://www.metacritic.com/game/ds/go!-go!-island-rescue!
Go! Go! Kokopolo (DS),https://www.metacritic.com/game/ds/go!-go!-kokopolo
"Go, Diego, Go!: Great Dinosaur Rescue (DS)",https://www.metacritic.com/game/ds/go-diego-go!-great-dinosaur-rescue
"Go, Diego, Go!: Safari Rescue (DS)",https://www.metacritic.com/game/ds/go-diego-go!-safari-rescue
Godzilla Unleashed: Double Smash (DS),https://www.metacritic.com/game/ds/godzilla-unleashed-double-smash
GoGo's Crazy Bones (DS),https://www.metacritic.com/game/ds/gogos-crazy-bones
Gold Fever (DS),https://www.metacritic.com/game/ds/gold-fever
Golden Nugget Casino DS (DS),https://www.metacritic.com/game/ds/golden-nugget-casino-ds
Golden Sun: Dark Dawn (DS),https://www.metacritic.com/game/ds/golden-sun-dark-dawn
GoldenEye 007 (DS),https://www.metacritic.com/game/ds/goldeneye-007
GoldenEye: Rogue Agent (DS),https://www.metacritic.com/game/ds/goldeneye-rogue-agent
Goony (DS),https://www.metacritic.com/game/ds/goony
Goooooal America (DS),https://www.metacritic.com/game/ds/goooooal-america
Goosebumps HorrorLand (DS),https://www.metacritic.com/game/ds/goosebumps-horrorland
GoPets: Vacation Island (DS),https://www.metacritic.com/game/ds/gopets-vacation-island
Gormiti: The Lords of Nature! (DS),https://www.metacritic.com/game/ds/gormiti-the-lords-of-nature!
Gourmet Chef: Cook Your Way To Fame (DS),https://www.metacritic.com/game/ds/gourmet-chef-cook-your-way-to-fame
Grand Theft Auto: Chinatown Wars (DS),https://www.metacritic.com/game/ds/grand-theft-auto-chinatown-wars
Grease: The Official Video Game (DS),https://www.metacritic.com/game/ds/grease-the-official-video-game
Green Lantern: Rise of the Manhunters (DS),https://www.metacritic.com/game/ds/green-lantern-rise-of-the-manhunters
Greg Hastings' Tournament Paintball Max'd (DS),https://www.metacritic.com/game/ds/greg-hastings-tournament-paintball-maxd
Gremlins Gizmo (DS),https://www.metacritic.com/game/ds/gremlins-gizmo
Grey's Anatomy: The Video Game (DS),https://www.metacritic.com/game/ds/greys-anatomy-the-video-game
GRID (DS),https://www.metacritic.com/game/ds/grid
Guilty Gear Dust Strikers (DS),https://www.metacritic.com/game/ds/guilty-gear-dust-strikers
Guinness World Records: The Videogame (DS),https://www.metacritic.com/game/ds/guinness-world-records-the-videogame
Guitar Hero On Tour: Modern Hits (DS),https://www.metacritic.com/game/ds/guitar-hero-on-tour-modern-hits
Guitar Hero: On Tour (DS),https://www.metacritic.com/game/ds/guitar-hero-on-tour
Guitar Hero: On Tour & On Tour Decades (DS),https://www.metacritic.com/game/ds/guitar-hero-on-tour-on-tour-decades
Guitar Hero: On Tour Decades (DS),https://www.metacritic.com/game/ds/guitar-hero-on-tour-decades
Guitar Rock Tour (DS),https://www.metacritic.com/game/ds/guitar-rock-tour
Guitar Rock Tour(DSiWare) (DS),https://www.metacritic.com/game/ds/guitar-rock-tourdsiware
Gummy Bears Minigolf (DS),https://www.metacritic.com/game/ds/gummy-bears-minigolf
Gunpey DS (DS),https://www.metacritic.com/game/ds/gunpey-ds
