title,url
I am in the Movie (DS),https://www.metacritic.com/game/ds/i-am-in-the-movie
I Heart Geeks! (DS),https://www.metacritic.com/game/ds/i-heart-geeks!
I Love Babies (DS),https://www.metacritic.com/game/ds/i-love-babies
I Love Babies (DS),https://www.metacritic.com/game/ds/i-love-babies
I Love Beauty: Hollywood Makeover (DS),https://www.metacritic.com/game/ds/i-love-beauty-hollywood-makeover
I Love Horses (DS),https://www.metacritic.com/game/ds/i-love-horses
I Love Horses (DS),https://www.metacritic.com/game/ds/i-love-horses
I Love Puppies (DS),https://www.metacritic.com/game/ds/i-love-puppies
I Must Run! (DS),https://www.metacritic.com/game/ds/i-must-run!
I SPY Castle (DS),https://www.metacritic.com/game/ds/i-spy-castle
I SPY Fun House (DS),https://www.metacritic.com/game/ds/i-spy-fun-house
I Spy Universe (DS),https://www.metacritic.com/game/ds/i-spy-universe
iCarly (DS),https://www.metacritic.com/game/ds/icarly
iCarly 2: iJoin The Click! (DS),https://www.metacritic.com/game/ds/icarly-2-ijoin-the-click!
iCarly: Groovy Foodie! (DS),https://www.metacritic.com/game/ds/icarly-groovy-foodie!
Ice Age 2: The Meltdown (DS),https://www.metacritic.com/game/ds/ice-age-2-the-meltdown
Ice Age: Continental Drift - Arctic Games (DS),https://www.metacritic.com/game/ds/ice-age-continental-drift---arctic-games
Ice Age: Dawn of the Dinosaurs (DS),https://www.metacritic.com/game/ds/ice-age-dawn-of-the-dinosaurs
Igor the Game (DS),https://www.metacritic.com/game/ds/igor-the-game
Ikibago (DS),https://www.metacritic.com/game/ds/ikibago
IL-2 Sturmovik: Birds of Prey (DS),https://www.metacritic.com/game/ds/il-2-sturmovik-birds-of-prey
Imagine Artist (DS),https://www.metacritic.com/game/ds/imagine-artist
Imagine Babyz Fashion (DS),https://www.metacritic.com/game/ds/imagine-babyz-fashion
Imagine Boutique Owner (DS),https://www.metacritic.com/game/ds/imagine-boutique-owner
Imagine Detective (DS),https://www.metacritic.com/game/ds/imagine-detective
Imagine Fashion Designer World Tour (DS),https://www.metacritic.com/game/ds/imagine-fashion-designer-world-tour
