title,url
O.M.G. 26 - Our Mini Games (DS),https://www.metacritic.com/game/ds/omg-26---our-mini-games
Okamiden (DS),https://www.metacritic.com/game/ds/okamiden
Ontamarama (DS),https://www.metacritic.com/game/ds/ontamarama
Open Season (DS),https://www.metacritic.com/game/ds/open-season
Operation: Vietnam (DS),https://www.metacritic.com/game/ds/operation-vietnam
Orcs & Elves (DS),https://www.metacritic.com/game/ds/orcs-elves
Original Frisbee Disc Sports: Ultimate & Golf (DS),https://www.metacritic.com/game/ds/original-frisbee-disc-sports-ultimate-golf
Orion's Odyssey (DS),https://www.metacritic.com/game/ds/orions-odyssey
Oscar in Movieland (DS),https://www.metacritic.com/game/ds/oscar-in-movieland
Oscar in Toyland (DS),https://www.metacritic.com/game/ds/oscar-in-toyland
Oscar in Toyland 2 (DS),https://www.metacritic.com/game/ds/oscar-in-toyland-2
Oscar's World Tour (DS),https://www.metacritic.com/game/ds/oscars-world-tour
Our House (DS),https://www.metacritic.com/game/ds/our-house
Overlord Minions (DS),https://www.metacritic.com/game/ds/overlord-minions
