title,url
Rabbids Go Home (DS),https://www.metacritic.com/game/ds/rabbids-go-home
Rabi Laby (DS),https://www.metacritic.com/game/ds/rabi-laby
Rabi Laby 2 (DS),https://www.metacritic.com/game/ds/rabi-laby-2
Race Driver: Create & Race (DS),https://www.metacritic.com/game/ds/race-driver-create-race
Radiant Historia (DS),https://www.metacritic.com/game/ds/radiant-historia
Rafa Nadal Tennis (DS),https://www.metacritic.com/game/ds/rafa-nadal-tennis
Ragnarok DS (DS),https://www.metacritic.com/game/ds/ragnarok-ds
Rain Drops (DS),https://www.metacritic.com/game/ds/rain-drops
Rainbow Islands Revolution (DS),https://www.metacritic.com/game/ds/rainbow-islands-revolution
Ram Racing (DS),https://www.metacritic.com/game/ds/ram-racing
Rango (DS),https://www.metacritic.com/game/ds/rango
Rapala Pro Bass Fishing (DS),https://www.metacritic.com/game/ds/rapala-pro-bass-fishing
Rayman (DS),https://www.metacritic.com/game/ds/rayman
Rayman DS (DS),https://www.metacritic.com/game/ds/rayman-ds
Rayman Raving Rabbids (DS),https://www.metacritic.com/game/ds/rayman-raving-rabbids
Rayman Raving Rabbids 2 (DS),https://www.metacritic.com/game/ds/rayman-raving-rabbids-2
Rayman Raving Rabbids: TV Party (DS),https://www.metacritic.com/game/ds/rayman-raving-rabbids-tv-party
Reader Rabbit Kindergarten (DS),https://www.metacritic.com/game/ds/reader-rabbit-kindergarten
Real Crimes: Jack the Ripper (DS),https://www.metacritic.com/game/ds/real-crimes-jack-the-ripper
Real Soccer 2008 (DS),https://www.metacritic.com/game/ds/real-soccer-2008
Real Soccer 2009 (DS),https://www.metacritic.com/game/ds/real-soccer-2009
Real Soccer 2009 (DSiWare) (DS),https://www.metacritic.com/game/ds/real-soccer-2009-dsiware
Real Soccer 2010 (DS),https://www.metacritic.com/game/ds/real-soccer-2010
Real Time Conflict: Shogun Empires (DS),https://www.metacritic.com/game/ds/real-time-conflict-shogun-empires
Rec Room Games (DS),https://www.metacritic.com/game/ds/rec-room-games
Red Bull BC One (DS),https://www.metacritic.com/game/ds/red-bull-bc-one
Remote Racers (DS),https://www.metacritic.com/game/ds/remote-racers
Resident Evil: Deadly Silence (DS),https://www.metacritic.com/game/ds/resident-evil-deadly-silence
Retro Atari Classics (DS),https://www.metacritic.com/game/ds/retro-atari-classics
Retro Game Challenge (DS),https://www.metacritic.com/game/ds/retro-game-challenge
Retro Pocket (DS),https://www.metacritic.com/game/ds/retro-pocket
Reversal Challenge (DS),https://www.metacritic.com/game/ds/reversal-challenge
Rhapsody: A Musical Adventure (DS),https://www.metacritic.com/game/ds/rhapsody-a-musical-adventure
Rhythm 'n Notes: Improve Your Music Skills (DS),https://www.metacritic.com/game/ds/rhythm-n-notes-improve-your-music-skills
Rhythm Core Alpha (DS),https://www.metacritic.com/game/ds/rhythm-core-alpha
Rhythm Core Alpha 2 (DS),https://www.metacritic.com/game/ds/rhythm-core-alpha-2
Rhythm Heaven (DS),https://www.metacritic.com/game/ds/rhythm-heaven
Ridge Racer DS (DS),https://www.metacritic.com/game/ds/ridge-racer-ds
Riding Academy 2 (DS),https://www.metacritic.com/game/ds/riding-academy-2
Ringling Bros. and Barnum & Bailey: Circus Friends - Asian Elephants (DS),https://www.metacritic.com/game/ds/ringling-bros-and-barnum-bailey-circus-friends---asian-elephants
Rio (DS),https://www.metacritic.com/game/ds/rio
