title,url
T.A.C. Heroes: Big Red One (DS),https://www.metacritic.com/game/ds/tac-heroes-big-red-one
Tak Mojo Mistake (DS),https://www.metacritic.com/game/ds/tak-mojo-mistake
Tak: The Great Juju Challenge (DS),https://www.metacritic.com/game/ds/tak-the-great-juju-challenge
Tales to Enjoy! Little Red Riding Hood (DS),https://www.metacritic.com/game/ds/tales-to-enjoy!-little-red-riding-hood
Tales to Enjoy! Puss in Boots (DS),https://www.metacritic.com/game/ds/tales-to-enjoy!-puss-in-boots
Tales to Enjoy! The Ugly Duckling (DS),https://www.metacritic.com/game/ds/tales-to-enjoy!-the-ugly-duckling
Tales to Enjoy! Three Little Pigs (DS),https://www.metacritic.com/game/ds/tales-to-enjoy!-three-little-pigs
Tamagotchi Connection: Corner Shop (DS),https://www.metacritic.com/game/ds/tamagotchi-connection-corner-shop
Tamagotchi Connection: Corner Shop 2 (DS),https://www.metacritic.com/game/ds/tamagotchi-connection-corner-shop-2
Tamagotchi Connection: Corner Shop 3 (DS),https://www.metacritic.com/game/ds/tamagotchi-connection-corner-shop-3
Tank Beat (DS),https://www.metacritic.com/game/ds/tank-beat
Tao's Adventure: Curse of the Demon Seal (DS),https://www.metacritic.com/game/ds/taos-adventure-curse-of-the-demon-seal
Team Umizoomi & Dora's Fantastic Flight (DS),https://www.metacritic.com/game/ds/team-umizoomi-doras-fantastic-flight
Tecmo Bowl: Kickoff (DS),https://www.metacritic.com/game/ds/tecmo-bowl-kickoff
Teenage Mutant Ninja Turtles 3: Mutant Nightmare (DS),https://www.metacritic.com/game/ds/teenage-mutant-ninja-turtles-3-mutant-nightmare
Teenage Mutant Ninja Turtles: Arcade Attack (DS),https://www.metacritic.com/game/ds/teenage-mutant-ninja-turtles-arcade-attack
Teenage Zombies: Invasion of the Alien Brain Thingys (DS),https://www.metacritic.com/game/ds/teenage-zombies-invasion-of-the-alien-brain-thingys
Telegraph Crosswords (DS),https://www.metacritic.com/game/ds/telegraph-crosswords
Telegraph Sudoku & Kakuro (DS),https://www.metacritic.com/game/ds/telegraph-sudoku-kakuro
Tenchu: Dark Secret (DS),https://www.metacritic.com/game/ds/tenchu-dark-secret
Tetris DS (DS),https://www.metacritic.com/game/ds/tetris-ds
Tetris Party Deluxe (DS),https://www.metacritic.com/game/ds/tetris-party-deluxe
Tetris Party Live (DS),https://www.metacritic.com/game/ds/tetris-party-live
Texas Hold 'Em Poker DS (DS),https://www.metacritic.com/game/ds/texas-hold-em-poker-ds
Texas Hold 'Em Poker Pack (DS),https://www.metacritic.com/game/ds/texas-hold-em-poker-pack
That's So Raven: Psychic on the Scene (DS),https://www.metacritic.com/game/ds/thats-so-raven-psychic-on-the-scene
The Aly & AJ Adventure (DS),https://www.metacritic.com/game/ds/the-aly-aj-adventure
The Amazing Spider-Man (DS),https://www.metacritic.com/game/ds/the-amazing-spider-man
The Bachelor: The Videogame (DS),https://www.metacritic.com/game/ds/the-bachelor-the-videogame
The Backyardigans (DS),https://www.metacritic.com/game/ds/the-backyardigans
The Bee Game (DS),https://www.metacritic.com/game/ds/the-bee-game
The Biggest Loser (DS),https://www.metacritic.com/game/ds/the-biggest-loser
The Bigs 2 (DS),https://www.metacritic.com/game/ds/the-bigs-2
The Chase: Felix Meets Felicity (DS),https://www.metacritic.com/game/ds/the-chase-felix-meets-felicity
The Cheetah Girls: Passport to Stardom (DS),https://www.metacritic.com/game/ds/the-cheetah-girls-passport-to-stardom
The Cheetah Girls: Pop Star Sensations (DS),https://www.metacritic.com/game/ds/the-cheetah-girls-pop-star-sensations
The Chronicles of Narnia: Prince Caspian (DS),https://www.metacritic.com/game/ds/the-chronicles-of-narnia-prince-caspian
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe (DS)",https://www.metacritic.com/game/ds/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe
The Clique: Diss and Make Up (DS),https://www.metacritic.com/game/ds/the-clique-diss-and-make-up
The Daring Game for Girls (DS),https://www.metacritic.com/game/ds/the-daring-game-for-girls
The Dark Spire (DS),https://www.metacritic.com/game/ds/the-dark-spire
The Golden Compass (DS),https://www.metacritic.com/game/ds/the-golden-compass
The Hardy Boys: Treasure on the Tracks (DS),https://www.metacritic.com/game/ds/the-hardy-boys-treasure-on-the-tracks
The Humans: Meet the Ancestors! (DS),https://www.metacritic.com/game/ds/the-humans-meet-the-ancestors!
The Incredible Hulk (DS),https://www.metacritic.com/game/ds/the-incredible-hulk
The Last Airbender (DS),https://www.metacritic.com/game/ds/the-last-airbender
The Legend of Kage 2 (DS),https://www.metacritic.com/game/ds/the-legend-of-kage-2
The Legend of Spyro: A New Beginning (DS),https://www.metacritic.com/game/ds/the-legend-of-spyro-a-new-beginning
The Legend of Spyro: Dawn of the Dragon (DS),https://www.metacritic.com/game/ds/the-legend-of-spyro-dawn-of-the-dragon
The Legend of Spyro: The Eternal Night (DS),https://www.metacritic.com/game/ds/the-legend-of-spyro-the-eternal-night
The Legend of Zelda: Four Swords Anniversary Edition (DS),https://www.metacritic.com/game/ds/the-legend-of-zelda-four-swords-anniversary-edition
The Legend of Zelda: Phantom Hourglass (DS),https://www.metacritic.com/game/ds/the-legend-of-zelda-phantom-hourglass
The Legend of Zelda: Spirit Tracks (DS),https://www.metacritic.com/game/ds/the-legend-of-zelda-spirit-tracks
The Legendary Starfy (DS),https://www.metacritic.com/game/ds/the-legendary-starfy
The Lord of the Rings: Aragorn's Quest (DS),https://www.metacritic.com/game/ds/the-lord-of-the-rings-aragorns-quest
The Lord of the Rings: Conquest (DS),https://www.metacritic.com/game/ds/the-lord-of-the-rings-conquest
The Lost Town: The Dust (DS),https://www.metacritic.com/game/ds/the-lost-town-the-dust
The Lost Town: The Jungle (DS),https://www.metacritic.com/game/ds/the-lost-town-the-jungle
The Lost Treasures of Alexandria (DS),https://www.metacritic.com/game/ds/the-lost-treasures-of-alexandria
The Magic School Bus: Oceans (DS),https://www.metacritic.com/game/ds/the-magic-school-bus-oceans
The Mummy: Tomb of the Dragon Emperor (DS),https://www.metacritic.com/game/ds/the-mummy-tomb-of-the-dragon-emperor
The Mysterious Case of Dr. Jekyll & Mr. Hyde (DS),https://www.metacritic.com/game/ds/the-mysterious-case-of-dr-jekyll-mr-hyde
The New York Times Crosswords (DS),https://www.metacritic.com/game/ds/the-new-york-times-crosswords
The Oregon Trail (DS),https://www.metacritic.com/game/ds/the-oregon-trail
The Penguins of Madagascar: Dr Blowhole Returns - Again! (DS),https://www.metacritic.com/game/ds/the-penguins-of-madagascar-dr-blowhole-returns---again!
The Price is Right (DS),https://www.metacritic.com/game/ds/the-price-is-right
The Price Is Right / Rayman Raving Rabbids (DS),https://www.metacritic.com/game/ds/the-price-is-right-rayman-raving-rabbids
The Price Is Right: 2010 Edition (DS),https://www.metacritic.com/game/ds/the-price-is-right-2010-edition
"The Quest Trio: Jewels, Cards and Tiles (DS)",https://www.metacritic.com/game/ds/the-quest-trio-jewels-cards-and-tiles
The Rub Rabbits! (DS),https://www.metacritic.com/game/ds/the-rub-rabbits!
The Secret Saturdays: Beasts of the 5th Sun (DS),https://www.metacritic.com/game/ds/the-secret-saturdays-beasts-of-the-5th-sun
The Seller (DS),https://www.metacritic.com/game/ds/the-seller
The Settlers (DS),https://www.metacritic.com/game/ds/the-settlers
The Simpsons Game (DS),https://www.metacritic.com/game/ds/the-simpsons-game
The Sims 2 (DS),https://www.metacritic.com/game/ds/the-sims-2
The Sims 2: Apartment Pets (DS),https://www.metacritic.com/game/ds/the-sims-2-apartment-pets
The Sims 2: Castaway (DS),https://www.metacritic.com/game/ds/the-sims-2-castaway
The Sims 2: Pets (DS),https://www.metacritic.com/game/ds/the-sims-2-pets
The Sims 3 (DS),https://www.metacritic.com/game/ds/the-sims-3
The Smurfs (DS),https://www.metacritic.com/game/ds/the-smurfs
The Smurfs 2 (DS),https://www.metacritic.com/game/ds/the-smurfs-2
The Spiderwick Chronicles (DS),https://www.metacritic.com/game/ds/the-spiderwick-chronicles
The Story of Noah's Ark (DS),https://www.metacritic.com/game/ds/the-story-of-noahs-ark
The Suite Life of Zack & Cody: Tipton Trouble (DS),https://www.metacritic.com/game/ds/the-suite-life-of-zack-cody-tipton-trouble
The Tale of Despereaux (DS),https://www.metacritic.com/game/ds/the-tale-of-despereaux
The Trash Pack (DS),https://www.metacritic.com/game/ds/the-trash-pack
The Treasures of Montezuma (DS),https://www.metacritic.com/game/ds/the-treasures-of-montezuma
The Urbz: Sims in the City (DS),https://www.metacritic.com/game/ds/the-urbz-sims-in-the-city
The Wild West (DS),https://www.metacritic.com/game/ds/the-wild-west
The Wizard of Oz: Beyond the Yellow Brick Road (DS),https://www.metacritic.com/game/ds/the-wizard-of-oz-beyond-the-yellow-brick-road
The World Ends with You (DS),https://www.metacritic.com/game/ds/the-world-ends-with-you
Theme Park (DS),https://www.metacritic.com/game/ds/theme-park
Theresia (DS),https://www.metacritic.com/game/ds/theresia
thinkSMART (DS),https://www.metacritic.com/game/ds/thinksmart
thinkSMART (DS),https://www.metacritic.com/game/ds/thinksmart
thinkSMART Crazy Machines: Wacky Problem Solving! (DS),https://www.metacritic.com/game/ds/thinksmart-crazy-machines-wacky-problem-solving!
thinkSMART Labyrinth (DS),https://www.metacritic.com/game/ds/thinksmart-labyrinth
thinkSMART: Chess for Kids (DS),https://www.metacritic.com/game/ds/thinksmart-chess-for-kids
thinkSMART: Scotland Yard - Hunting Mr. X (DS),https://www.metacritic.com/game/ds/thinksmart-scotland-yard---hunting-mr-x
Thor: God of Thunder (DS),https://www.metacritic.com/game/ds/thor-god-of-thunder
Thorium Wars (DS),https://www.metacritic.com/game/ds/thorium-wars
Thrillville: Off the Rails (DS),https://www.metacritic.com/game/ds/thrillville-off-the-rails
Thundercats (DS),https://www.metacritic.com/game/ds/thundercats
Tiger Woods PGA Tour (DS),https://www.metacritic.com/game/ds/tiger-woods-pga-tour
Tiger Woods PGA Tour 08 (DS),https://www.metacritic.com/game/ds/tiger-woods-pga-tour-08
Time Ace (DS),https://www.metacritic.com/game/ds/time-ace
Time Hollow (DS),https://www.metacritic.com/game/ds/time-hollow
TINCan! Escape (DS),https://www.metacritic.com/game/ds/tincan!-escape
Titanic Mystery (DS),https://www.metacritic.com/game/ds/titanic-mystery
TMNT (DS),https://www.metacritic.com/game/ds/tmnt
TNA Impact: Cross the Line (DS),https://www.metacritic.com/game/ds/tna-impact-cross-the-line
To-Fu Collection (DS),https://www.metacritic.com/game/ds/to-fu-collection
Tokyo Beat Down (DS),https://www.metacritic.com/game/ds/tokyo-beat-down
Tom and Jerry Tales (DS),https://www.metacritic.com/game/ds/tom-and-jerry-tales
Tom Clancy's EndWar (DS),https://www.metacritic.com/game/ds/tom-clancys-endwar
Tom Clancy's Splinter Cell: Chaos Theory (DS),https://www.metacritic.com/game/ds/tom-clancys-splinter-cell-chaos-theory
Tom Clancy's Splinter Cell: Conviction (DS),https://www.metacritic.com/game/ds/tom-clancys-splinter-cell-conviction
Tomb Raider: Legend (DS),https://www.metacritic.com/game/ds/tomb-raider-legend
Tomb Raider: Underworld (DS),https://www.metacritic.com/game/ds/tomb-raider-underworld
Tony Hawk's American Sk8land (DS),https://www.metacritic.com/game/ds/tony-hawks-american-sk8land
Tony Hawk's Downhill Jam (DS),https://www.metacritic.com/game/ds/tony-hawks-downhill-jam
Tony Hawk's Motion (DS),https://www.metacritic.com/game/ds/tony-hawks-motion
Tony Hawk's Proving Ground (DS),https://www.metacritic.com/game/ds/tony-hawks-proving-ground
Toon-Doku (DS),https://www.metacritic.com/game/ds/toon-doku
Top Gun (DS),https://www.metacritic.com/game/ds/top-gun
Top Spin 2 (DS),https://www.metacritic.com/game/ds/top-spin-2
Top Spin 3 (DS),https://www.metacritic.com/game/ds/top-spin-3
Top Trumps NBA All Stars (DS),https://www.metacritic.com/game/ds/top-trumps-nba-all-stars
Topoloco (DS),https://www.metacritic.com/game/ds/topoloco
Tornado (DS),https://www.metacritic.com/game/ds/tornado
Totally Spies! 2: Undercover (DS),https://www.metacritic.com/game/ds/totally-spies!-2-undercover
Touch 'N' Play Collection (DS),https://www.metacritic.com/game/ds/touch-n-play-collection
Touch Detective (DS),https://www.metacritic.com/game/ds/touch-detective
Touch Detective 2 1/2 (DS),https://www.metacritic.com/game/ds/touch-detective-2-12
Touch Mechanic (DS),https://www.metacritic.com/game/ds/touch-mechanic
Touch Solitaire (DS),https://www.metacritic.com/game/ds/touch-solitaire
Touch the Dead (DS),https://www.metacritic.com/game/ds/touch-the-dead
TouchMaster (DS),https://www.metacritic.com/game/ds/touchmaster
TouchMaster 2 (DS),https://www.metacritic.com/game/ds/touchmaster-2
TouchMaster 3 (DS),https://www.metacritic.com/game/ds/touchmaster-3
