title,url
Ubongo (DS),https://www.metacritic.com/game/ds/ubongo
Ultimate Band (DS),https://www.metacritic.com/game/ds/ultimate-band
Ultimate Card Games (DS),https://www.metacritic.com/game/ds/ultimate-card-games
Ultimate Card Games DS (DS),https://www.metacritic.com/game/ds/ultimate-card-games-ds
Ultimate Game Room (DS),https://www.metacritic.com/game/ds/ultimate-game-room
Ultimate Mortal Kombat (DS),https://www.metacritic.com/game/ds/ultimate-mortal-kombat
Ultimate Puzzle Games: Sudoku Edition (DS),https://www.metacritic.com/game/ds/ultimate-puzzle-games-sudoku-edition
Ultimate Spider-Man (DS),https://www.metacritic.com/game/ds/ultimate-spider-man
Underground Pool (DS),https://www.metacritic.com/game/ds/underground-pool
Underwater Attack (DS),https://www.metacritic.com/game/ds/underwater-attack
Uno (DS),https://www.metacritic.com/game/ds/uno
Uno / Skip-Bo / Uno Freefall (DS),https://www.metacritic.com/game/ds/uno-skip-bo-uno-freefall
Uno 52 (DS),https://www.metacritic.com/game/ds/uno-52
Unsolved Crimes (DS),https://www.metacritic.com/game/ds/unsolved-crimes
USA Today: Crossword Challenge (DS),https://www.metacritic.com/game/ds/usa-today-crossword-challenge
USA Today: Puzzle Craze (DS),https://www.metacritic.com/game/ds/usa-today-puzzle-craze
