title,url
Valet Parking 1989 (DS),https://www.metacritic.com/game/ds/valet-parking-1989
Valkyrie Profile: Covenant of the Plume (DS),https://www.metacritic.com/game/ds/valkyrie-profile-covenant-of-the-plume
Vampire Legends: Power of Three (DS),https://www.metacritic.com/game/ds/vampire-legends-power-of-three
Vampire Moon: The Mystery of the Hidden Sun (DS),https://www.metacritic.com/game/ds/vampire-moon-the-mystery-of-the-hidden-sun
Vegas Casino (DS),https://www.metacritic.com/game/ds/vegas-casino
Veggy World (DS),https://www.metacritic.com/game/ds/veggy-world
Victorious: Hollywood Arts Debut (DS),https://www.metacritic.com/game/ds/victorious-hollywood-arts-debut
Victorious: Taking the Lead (DS),https://www.metacritic.com/game/ds/victorious-taking-the-lead
Victorious: Time to Shine (DS),https://www.metacritic.com/game/ds/victorious-time-to-shine
Viewtiful Joe: Double Trouble! (DS),https://www.metacritic.com/game/ds/viewtiful-joe-double-trouble!
Viking Invasion (DS),https://www.metacritic.com/game/ds/viking-invasion
Virtual Villagers: A New Home (DS),https://www.metacritic.com/game/ds/virtual-villagers-a-new-home
Viva Pinata: Pocket Paradise (DS),https://www.metacritic.com/game/ds/viva-pinata-pocket-paradise
VT Tennis (DS),https://www.metacritic.com/game/ds/vt-tennis
