title,url
Zendoku (DS),https://www.metacritic.com/game/ds/zendoku
Zenonia (DS),https://www.metacritic.com/game/ds/zenonia
Zenses Ocean (DS),https://www.metacritic.com/game/ds/zenses-ocean
Zenses Rainforest (DS),https://www.metacritic.com/game/ds/zenses-rainforest
Zenses Zen Garden (DS),https://www.metacritic.com/game/ds/zenses-zen-garden
ZhuZhu Babies (DS),https://www.metacritic.com/game/ds/zhuzhu-babies
ZhuZhu Pets (DS),https://www.metacritic.com/game/ds/zhuzhu-pets
ZhuZhu Pets 2: Featuring The Wild Bunch (DS),https://www.metacritic.com/game/ds/zhuzhu-pets-2-featuring-the-wild-bunch
ZhuZhu Pets: Kung Zhu (DS),https://www.metacritic.com/game/ds/zhuzhu-pets-kung-zhu
ZhuZhu Pets: Quest for Zhu (DS),https://www.metacritic.com/game/ds/zhuzhu-pets-quest-for-zhu
ZhuZhu Puppies (DS),https://www.metacritic.com/game/ds/zhuzhu-puppies
Zimo: Mahjong Fanatic (DS),https://www.metacritic.com/game/ds/zimo-mahjong-fanatic
Zoey 101: Field Trip Fiasco (DS),https://www.metacritic.com/game/ds/zoey-101-field-trip-fiasco
Zombie Blaster (DS),https://www.metacritic.com/game/ds/zombie-blaster
Zombie Skape (DS),https://www.metacritic.com/game/ds/zombie-skape
Zombies Seeker (DS),https://www.metacritic.com/game/ds/zombies-seeker
Zoo Frenzy (DS),https://www.metacritic.com/game/ds/zoo-frenzy
Zoo Hospital (DS),https://www.metacritic.com/game/ds/zoo-hospital
Zoo Keeper (DS),https://www.metacritic.com/game/ds/zoo-keeper
Zoo Quest: Puzzle Fun! (DS),https://www.metacritic.com/game/ds/zoo-quest-puzzle-fun!
Zoo Tycoon 2 DS (DS),https://www.metacritic.com/game/ds/zoo-tycoon-2-ds
Zoo Tycoon DS (DS),https://www.metacritic.com/game/ds/zoo-tycoon-ds
Zoo Vet: Endangered Animals (DS),https://www.metacritic.com/game/ds/zoo-vet-endangered-animals
Zoobles! Spring to Life! (DS),https://www.metacritic.com/game/ds/zoobles!-spring-to-life!
Zoonies - Escape From Makatu (DS),https://www.metacritic.com/game/ds/zoonies---escape-from-makatu
Zorro: Quest For Justice (DS),https://www.metacritic.com/game/ds/zorro-quest-for-justice
Zubo (DS),https://www.metacritic.com/game/ds/zubo
Zuma's Revenge! (DS),https://www.metacritic.com/game/ds/zumas-revenge!
Zuma's Revenge! (DSiWare) (DS),https://www.metacritic.com/game/ds/zumas-revenge!-dsiware
