title,url
Backyard Baseball (GC),https://www.metacritic.com/game/gamecube/backyard-baseball
Backyard Football (GC),https://www.metacritic.com/game/gamecube/backyard-football
Backyard Sports Baseball 2007 (GC),https://www.metacritic.com/game/gamecube/backyard-sports-baseball-2007
Bad Boys: Miami Takedown (GC),https://www.metacritic.com/game/gamecube/bad-boys-miami-takedown
Baldur's Gate: Dark Alliance (GC),https://www.metacritic.com/game/gamecube/baldurs-gate-dark-alliance
Barnyard (GC),https://www.metacritic.com/game/gamecube/barnyard
Baten Kaitos Origins (GC),https://www.metacritic.com/game/gamecube/baten-kaitos-origins
Baten Kaitos: Eternal Wings and the Lost Ocean (GC),https://www.metacritic.com/game/gamecube/baten-kaitos-eternal-wings-and-the-lost-ocean
Batman Begins (GC),https://www.metacritic.com/game/gamecube/batman-begins
Batman: Dark Tomorrow (GC),https://www.metacritic.com/game/gamecube/batman-dark-tomorrow
Batman: Rise of Sin Tzu (GC),https://www.metacritic.com/game/gamecube/batman-rise-of-sin-tzu
Batman: Vengeance (GC),https://www.metacritic.com/game/gamecube/batman-vengeance
Battalion Wars (GC),https://www.metacritic.com/game/gamecube/battalion-wars
Beach Spikers: Virtua Beach Volleyball (GC),https://www.metacritic.com/game/gamecube/beach-spikers-virtua-beach-volleyball
BeyBlade VForce: Super Tournament Battle (GC),https://www.metacritic.com/game/gamecube/beyblade-vforce-super-tournament-battle
Beyond Good & Evil (GC),https://www.metacritic.com/game/gamecube/beyond-good-evil
Big Air Freestyle (GC),https://www.metacritic.com/game/gamecube/big-air-freestyle
Big Mutha Truckers (GC),https://www.metacritic.com/game/gamecube/big-mutha-truckers
Billy Hatcher and the Giant Egg (GC),https://www.metacritic.com/game/gamecube/billy-hatcher-and-the-giant-egg
Bionicle (GC),https://www.metacritic.com/game/gamecube/bionicle
Bionicle Heroes (GC),https://www.metacritic.com/game/gamecube/bionicle-heroes
Black & Bruised (GC),https://www.metacritic.com/game/gamecube/black-bruised
Blood Omen 2 (GC),https://www.metacritic.com/game/gamecube/blood-omen-2
BloodRayne (GC),https://www.metacritic.com/game/gamecube/bloodrayne
Bloody Roar: Primal Fury (GC),https://www.metacritic.com/game/gamecube/bloody-roar-primal-fury
BlowOut (GC),https://www.metacritic.com/game/gamecube/blowout
BMX XXX (GC),https://www.metacritic.com/game/gamecube/bmx-xxx
Bomberman Generation (GC),https://www.metacritic.com/game/gamecube/bomberman-generation
Bomberman Jetters (GC),https://www.metacritic.com/game/gamecube/bomberman-jetters
Bratz: Forever Diamondz (GC),https://www.metacritic.com/game/gamecube/bratz-forever-diamondz
Bratz: Rock Angelz (GC),https://www.metacritic.com/game/gamecube/bratz-rock-angelz
Buffy the Vampire Slayer: Chaos Bleeds (GC),https://www.metacritic.com/game/gamecube/buffy-the-vampire-slayer-chaos-bleeds
Burnout (GC),https://www.metacritic.com/game/gamecube/burnout
Burnout 2: Point of Impact (GC),https://www.metacritic.com/game/gamecube/burnout-2-point-of-impact
Bust-A-Move 3000 (GC),https://www.metacritic.com/game/gamecube/bust-a-move-3000
