title,url
Dakar 2 (GC),https://www.metacritic.com/game/gamecube/dakar-2
Dance Dance Revolution: Mario Mix (GC),https://www.metacritic.com/game/gamecube/dance-dance-revolution-mario-mix
Dark Summit (GC),https://www.metacritic.com/game/gamecube/dark-summit
Darkened Skye (GC),https://www.metacritic.com/game/gamecube/darkened-skye
Dave Mirra Freestyle BMX 2 (GC),https://www.metacritic.com/game/gamecube/dave-mirra-freestyle-bmx-2
Dead to Rights (GC),https://www.metacritic.com/game/gamecube/dead-to-rights
Def Jam Vendetta (GC),https://www.metacritic.com/game/gamecube/def-jam-vendetta
Defender (GC),https://www.metacritic.com/game/gamecube/defender
Die Hard: Vendetta (GC),https://www.metacritic.com/game/gamecube/die-hard-vendetta
Digimon Rumble Arena 2 (GC),https://www.metacritic.com/game/gamecube/digimon-rumble-arena-2
Digimon World 4 (GC),https://www.metacritic.com/game/gamecube/digimon-world-4
Dinotopia: The Sunstone Odyssey (GC),https://www.metacritic.com/game/gamecube/dinotopia-the-sunstone-odyssey
Disney Sports Basketball (GC),https://www.metacritic.com/game/gamecube/disney-sports-basketball
Disney Sports Football (GC),https://www.metacritic.com/game/gamecube/disney-sports-football
Disney Sports Skateboarding (GC),https://www.metacritic.com/game/gamecube/disney-sports-skateboarding
Disney Sports Soccer (GC),https://www.metacritic.com/game/gamecube/disney-sports-soccer
Disney's Chicken Little (GC),https://www.metacritic.com/game/gamecube/disneys-chicken-little
Disney's Donald Duck: Goin' Quackers (GC),https://www.metacritic.com/game/gamecube/disneys-donald-duck-goin-quackers
Disney's Extreme Skate Adventure (GC),https://www.metacritic.com/game/gamecube/disneys-extreme-skate-adventure
Disney's Hide and Sneak (GC),https://www.metacritic.com/game/gamecube/disneys-hide-and-sneak
Disney's Magical Mirror Starring Mickey Mouse (GC),https://www.metacritic.com/game/gamecube/disneys-magical-mirror-starring-mickey-mouse
Disney's Meet the Robinsons (GC),https://www.metacritic.com/game/gamecube/disneys-meet-the-robinsons
Disney's Party (GC),https://www.metacritic.com/game/gamecube/disneys-party
Disney's PK: Out of the Shadows (GC),https://www.metacritic.com/game/gamecube/disneys-pk-out-of-the-shadows
Disney's Tarzan Untamed (GC),https://www.metacritic.com/game/gamecube/disneys-tarzan-untamed
Donkey Kong Jungle Beat (GC),https://www.metacritic.com/game/gamecube/donkey-kong-jungle-beat
Donkey Konga (GC),https://www.metacritic.com/game/gamecube/donkey-konga
Donkey Konga 2 (GC),https://www.metacritic.com/game/gamecube/donkey-konga-2
Dora the Explorer: Journey to the Purple Planet (GC),https://www.metacritic.com/game/gamecube/dora-the-explorer-journey-to-the-purple-planet
Dr. Muto (GC),https://www.metacritic.com/game/gamecube/dr-muto
Dragon Ball Z: Budokai (GC),https://www.metacritic.com/game/gamecube/dragon-ball-z-budokai
Dragon Ball Z: Budokai 2 (GC),https://www.metacritic.com/game/gamecube/dragon-ball-z-budokai-2
Dragon Ball Z: Sagas (GC),https://www.metacritic.com/game/gamecube/dragon-ball-z-sagas
Dragon's Lair 3D (GC),https://www.metacritic.com/game/gamecube/dragons-lair-3d
Driven (GC),https://www.metacritic.com/game/gamecube/driven
Drome Racers (GC),https://www.metacritic.com/game/gamecube/drome-racers
