title,url
F-Zero GX (GC),https://www.metacritic.com/game/gamecube/f-zero-gx
F1 2002 (GC),https://www.metacritic.com/game/gamecube/f1-2002
Fairly OddParents: Breakin' Da Rules (GC),https://www.metacritic.com/game/gamecube/fairly-oddparents-breakin-da-rules
Fantastic 4 (GC),https://www.metacritic.com/game/gamecube/fantastic-4
FIFA 07 Soccer (GC),https://www.metacritic.com/game/gamecube/fifa-07-soccer
FIFA Soccer 06 (GC),https://www.metacritic.com/game/gamecube/fifa-soccer-06
FIFA Soccer 2002 (GC),https://www.metacritic.com/game/gamecube/fifa-soccer-2002
FIFA Soccer 2003 (GC),https://www.metacritic.com/game/gamecube/fifa-soccer-2003
FIFA Soccer 2004 (GC),https://www.metacritic.com/game/gamecube/fifa-soccer-2004
FIFA Soccer 2005 (GC),https://www.metacritic.com/game/gamecube/fifa-soccer-2005
FIFA Street 2 (GC),https://www.metacritic.com/game/gamecube/fifa-street-2
FIFA World Cup: Germany 2006 (GC),https://www.metacritic.com/game/gamecube/fifa-world-cup-germany-2006
Fight Night Round 2 (GC),https://www.metacritic.com/game/gamecube/fight-night-round-2
Final Fantasy Crystal Chronicles (GC),https://www.metacritic.com/game/gamecube/final-fantasy-crystal-chronicles
Finding Nemo (GC),https://www.metacritic.com/game/gamecube/finding-nemo
Fire Emblem: Path of Radiance (GC),https://www.metacritic.com/game/gamecube/fire-emblem-path-of-radiance
Fireblade (GC),https://www.metacritic.com/game/gamecube/fireblade
Flushed Away (GC),https://www.metacritic.com/game/gamecube/flushed-away
Freaky Flyers (GC),https://www.metacritic.com/game/gamecube/freaky-flyers
Freedom Fighters (GC),https://www.metacritic.com/game/gamecube/freedom-fighters
Freekstyle (GC),https://www.metacritic.com/game/gamecube/freekstyle
Freestyle MetalX (GC),https://www.metacritic.com/game/gamecube/freestyle-metalx
Freestyle Street Soccer (GC),https://www.metacritic.com/game/gamecube/freestyle-street-soccer
Frogger Beyond (GC),https://www.metacritic.com/game/gamecube/frogger-beyond
Frogger's Adventures: The Rescue (GC),https://www.metacritic.com/game/gamecube/froggers-adventures-the-rescue
Frogger: Ancient Shadow (GC),https://www.metacritic.com/game/gamecube/frogger-ancient-shadow
From Russia With Love (GC),https://www.metacritic.com/game/gamecube/from-russia-with-love
Future Tactics: The Uprising (GC),https://www.metacritic.com/game/gamecube/future-tactics-the-uprising
