title,url
Gauntlet: Dark Legacy (GC),https://www.metacritic.com/game/gamecube/gauntlet-dark-legacy
Geist (GC),https://www.metacritic.com/game/gamecube/geist
Gladius (GC),https://www.metacritic.com/game/gamecube/gladius
Go! Go! Hypergrind (GC),https://www.metacritic.com/game/gamecube/go!-go!-hypergrind
Goblin Commander: Unleash the Horde (GC),https://www.metacritic.com/game/gamecube/goblin-commander-unleash-the-horde
Godzilla: Destroy All Monsters Melee (GC),https://www.metacritic.com/game/gamecube/godzilla-destroy-all-monsters-melee
GoldenEye: Rogue Agent (GC),https://www.metacritic.com/game/gamecube/goldeneye-rogue-agent
Gotcha Force (GC),https://www.metacritic.com/game/gamecube/gotcha-force
Grooverider Slot Car Thunder (GC),https://www.metacritic.com/game/gamecube/grooverider-slot-car-thunder
Gun (GC),https://www.metacritic.com/game/gamecube/gun
