title,url
Namco Museum (GC),https://www.metacritic.com/game/gamecube/namco-museum
Namco Museum 50th Anniversary (GC),https://www.metacritic.com/game/gamecube/namco-museum-50th-anniversary
Naruto: Clash of Ninja (GC),https://www.metacritic.com/game/gamecube/naruto-clash-of-ninja
Naruto: Clash of Ninja 2 (GC),https://www.metacritic.com/game/gamecube/naruto-clash-of-ninja-2
NASCAR Thunder 2003 (GC),https://www.metacritic.com/game/gamecube/nascar-thunder-2003
NASCAR: Dirt to Daytona (GC),https://www.metacritic.com/game/gamecube/nascar-dirt-to-daytona
NBA 2K2 (GC),https://www.metacritic.com/game/gamecube/nba-2k2
NBA 2K3 (GC),https://www.metacritic.com/game/gamecube/nba-2k3
NBA Courtside 2002 (GC),https://www.metacritic.com/game/gamecube/nba-courtside-2002
NBA Live 06 (GC),https://www.metacritic.com/game/gamecube/nba-live-06
NBA Live 2003 (GC),https://www.metacritic.com/game/gamecube/nba-live-2003
NBA Live 2004 (GC),https://www.metacritic.com/game/gamecube/nba-live-2004
NBA Live 2005 (GC),https://www.metacritic.com/game/gamecube/nba-live-2005
NBA Street (GC),https://www.metacritic.com/game/gamecube/nba-street
NBA Street V3 (GC),https://www.metacritic.com/game/gamecube/nba-street-v3
NBA Street Vol. 2 (GC),https://www.metacritic.com/game/gamecube/nba-street-vol-2
NCAA College Basketball 2K3 (GC),https://www.metacritic.com/game/gamecube/ncaa-college-basketball-2k3
NCAA College Football 2K3 (GC),https://www.metacritic.com/game/gamecube/ncaa-college-football-2k3
NCAA Football 2003 (GC),https://www.metacritic.com/game/gamecube/ncaa-football-2003
NCAA Football 2004 (GC),https://www.metacritic.com/game/gamecube/ncaa-football-2004
NCAA Football 2005 (GC),https://www.metacritic.com/game/gamecube/ncaa-football-2005
Need for Speed Carbon (GC),https://www.metacritic.com/game/gamecube/need-for-speed-carbon
Need for Speed Most Wanted (GC),https://www.metacritic.com/game/gamecube/need-for-speed-most-wanted
Need for Speed Underground (GC),https://www.metacritic.com/game/gamecube/need-for-speed-underground
Need for Speed: Hot Pursuit 2 (GC),https://www.metacritic.com/game/gamecube/need-for-speed-hot-pursuit-2
NFL 2K3 (GC),https://www.metacritic.com/game/gamecube/nfl-2k3
NFL Blitz 20-02 (GC),https://www.metacritic.com/game/gamecube/nfl-blitz-20-02
NFL Blitz 20-03 (GC),https://www.metacritic.com/game/gamecube/nfl-blitz-20-03
NFL Blitz Pro (GC),https://www.metacritic.com/game/gamecube/nfl-blitz-pro
NFL Quarterback Club 2002 (GC),https://www.metacritic.com/game/gamecube/nfl-quarterback-club-2002
NFL Street (GC),https://www.metacritic.com/game/gamecube/nfl-street
NFL Street 2 (GC),https://www.metacritic.com/game/gamecube/nfl-street-2
NHL 06 (GC),https://www.metacritic.com/game/gamecube/nhl-06
NHL 2003 (GC),https://www.metacritic.com/game/gamecube/nhl-2003
NHL 2004 (GC),https://www.metacritic.com/game/gamecube/nhl-2004
NHL 2005 (GC),https://www.metacritic.com/game/gamecube/nhl-2005
NHL 2K3 (GC),https://www.metacritic.com/game/gamecube/nhl-2k3
NHL Hitz 20-02 (GC),https://www.metacritic.com/game/gamecube/nhl-hitz-20-02
NHL Hitz 20-03 (GC),https://www.metacritic.com/game/gamecube/nhl-hitz-20-03
NHL Hitz Pro (GC),https://www.metacritic.com/game/gamecube/nhl-hitz-pro
Nickelodeon Party Blast (GC),https://www.metacritic.com/game/gamecube/nickelodeon-party-blast
Nicktoons Unite! (GC),https://www.metacritic.com/game/gamecube/nicktoons-unite!
Nicktoons: Battle for Volcano Island (GC),https://www.metacritic.com/game/gamecube/nicktoons-battle-for-volcano-island
