title,url
P.N. 03 (GC),https://www.metacritic.com/game/gamecube/pn-03
Pac-Man Fever (GC),https://www.metacritic.com/game/gamecube/pac-man-fever
Pac-Man vs. (GC),https://www.metacritic.com/game/gamecube/pac-man-vs
Pac-Man World 2 (GC),https://www.metacritic.com/game/gamecube/pac-man-world-2
Pac-Man World 3 (GC),https://www.metacritic.com/game/gamecube/pac-man-world-3
Pac-Man World Rally (GC),https://www.metacritic.com/game/gamecube/pac-man-world-rally
Paper Mario: The Thousand-Year Door (GC),https://www.metacritic.com/game/gamecube/paper-mario-the-thousand-year-door
Peter Jackson's King Kong: The Official Game of the Movie (GC),https://www.metacritic.com/game/gamecube/peter-jacksons-king-kong-the-official-game-of-the-movie
Phantasy Star Online Episode I & II (GC),https://www.metacritic.com/game/gamecube/phantasy-star-online-episode-i-ii
Phantasy Star Online Episode I & II Plus (GC),https://www.metacritic.com/game/gamecube/phantasy-star-online-episode-i-ii-plus
Phantasy Star Online Episode III: C.A.R.D. Revolution (GC),https://www.metacritic.com/game/gamecube/phantasy-star-online-episode-iii-card-revolution
Piglet's Big Game (GC),https://www.metacritic.com/game/gamecube/piglets-big-game
Pikmin (GC),https://www.metacritic.com/game/gamecube/pikmin
Pikmin 2 (GC),https://www.metacritic.com/game/gamecube/pikmin-2
Pinball Hall of Fame - The Gottlieb Collection (GC),https://www.metacritic.com/game/gamecube/pinball-hall-of-fame---the-gottlieb-collection
Pitfall: The Lost Expedition (GC),https://www.metacritic.com/game/gamecube/pitfall-the-lost-expedition
Pokemon Box: Ruby and Sapphire (GC),https://www.metacritic.com/game/gamecube/pokemon-box-ruby-and-sapphire
Pokemon Channel (GC),https://www.metacritic.com/game/gamecube/pokemon-channel
Pokemon Colosseum (GC),https://www.metacritic.com/game/gamecube/pokemon-colosseum
Pokemon XD: Gale of Darkness (GC),https://www.metacritic.com/game/gamecube/pokemon-xd-gale-of-darkness
Pool Paradise (GC),https://www.metacritic.com/game/gamecube/pool-paradise
Power Rangers Dino Thunder (GC),https://www.metacritic.com/game/gamecube/power-rangers-dino-thunder
Prince of Persia: The Sands of Time (GC),https://www.metacritic.com/game/gamecube/prince-of-persia-the-sands-of-time
Prince of Persia: The Two Thrones (GC),https://www.metacritic.com/game/gamecube/prince-of-persia-the-two-thrones
Prince of Persia: Warrior Within (GC),https://www.metacritic.com/game/gamecube/prince-of-persia-warrior-within
Pro Rally (GC),https://www.metacritic.com/game/gamecube/pro-rally
Puyo Pop Fever (GC),https://www.metacritic.com/game/gamecube/puyo-pop-fever
