title,url
R: Racing Evolution (GC),https://www.metacritic.com/game/gamecube/r-racing-evolution
Rally Championship (GC),https://www.metacritic.com/game/gamecube/rally-championship
Rampage: Total Destruction (GC),https://www.metacritic.com/game/gamecube/rampage-total-destruction
Ratatouille (GC),https://www.metacritic.com/game/gamecube/ratatouille
Rave Master (GC),https://www.metacritic.com/game/gamecube/rave-master
Rayman 3: Hoodlum Havoc (GC),https://www.metacritic.com/game/gamecube/rayman-3-hoodlum-havoc
Rayman Arena (GC),https://www.metacritic.com/game/gamecube/rayman-arena
Red Faction II (GC),https://www.metacritic.com/game/gamecube/red-faction-ii
RedCard 20-03 (GC),https://www.metacritic.com/game/gamecube/redcard-20-03
Reign of Fire (GC),https://www.metacritic.com/game/gamecube/reign-of-fire
Resident Evil (2002) (GC),https://www.metacritic.com/game/gamecube/resident-evil-2002
Resident Evil 0 (GC),https://www.metacritic.com/game/gamecube/resident-evil-0
Resident Evil 2 (GC),https://www.metacritic.com/game/gamecube/resident-evil-2
Resident Evil 3: Nemesis (GC),https://www.metacritic.com/game/gamecube/resident-evil-3-nemesis
Resident Evil 4 (GC),https://www.metacritic.com/game/gamecube/resident-evil-4
Resident Evil Code: Veronica X (GC),https://www.metacritic.com/game/gamecube/resident-evil-code-veronica-x
Ribbit King (GC),https://www.metacritic.com/game/gamecube/ribbit-king
Road Trip: The Arcade Edition (GC),https://www.metacritic.com/game/gamecube/road-trip-the-arcade-edition
RoadKill (GC),https://www.metacritic.com/game/gamecube/roadkill
Robotech: Battlecry (GC),https://www.metacritic.com/game/gamecube/robotech-battlecry
Robots (GC),https://www.metacritic.com/game/gamecube/robots
Rocket Power: Beach Bandits (GC),https://www.metacritic.com/game/gamecube/rocket-power-beach-bandits
Rocky (GC),https://www.metacritic.com/game/gamecube/rocky
Rogue Ops (GC),https://www.metacritic.com/game/gamecube/rogue-ops
Room Zoom (GC),https://www.metacritic.com/game/gamecube/room-zoom
Rugrats: Royal Ransom (GC),https://www.metacritic.com/game/gamecube/rugrats-royal-ransom
