title,url
Samurai Jack: The Shadow of Aku (GC),https://www.metacritic.com/game/gamecube/samurai-jack-the-shadow-of-aku
Scaler (GC),https://www.metacritic.com/game/gamecube/scaler
Scooby-Doo! Mystery Mayhem (GC),https://www.metacritic.com/game/gamecube/scooby-doo!-mystery-mayhem
Scooby-Doo! Night of 100 Frights (GC),https://www.metacritic.com/game/gamecube/scooby-doo!-night-of-100-frights
Scooby-Doo! Unmasked (GC),https://www.metacritic.com/game/gamecube/scooby-doo!-unmasked
Sea World: Shamu's Deep Sea Adventures (GC),https://www.metacritic.com/game/gamecube/sea-world-shamus-deep-sea-adventures
Second Sight (GC),https://www.metacritic.com/game/gamecube/second-sight
Sega Soccer Slam (GC),https://www.metacritic.com/game/gamecube/sega-soccer-slam
Serious Sam: Next Encounter (GC),https://www.metacritic.com/game/gamecube/serious-sam-next-encounter
Shadow the Hedgehog (GC),https://www.metacritic.com/game/gamecube/shadow-the-hedgehog
Shark Tale (GC),https://www.metacritic.com/game/gamecube/shark-tale
Shrek 2 (GC),https://www.metacritic.com/game/gamecube/shrek-2
Shrek Extra Large (GC),https://www.metacritic.com/game/gamecube/shrek-extra-large
Shrek Smash n' Crash Racing (GC),https://www.metacritic.com/game/gamecube/shrek-smash-n-crash-racing
Shrek SuperSlam (GC),https://www.metacritic.com/game/gamecube/shrek-superslam
Shrek: Super Party (GC),https://www.metacritic.com/game/gamecube/shrek-super-party
Skies of Arcadia Legends (GC),https://www.metacritic.com/game/gamecube/skies-of-arcadia-legends
Smashing Drive (GC),https://www.metacritic.com/game/gamecube/smashing-drive
Smuggler's Run: Warzones (GC),https://www.metacritic.com/game/gamecube/smugglers-run-warzones
Sonic Adventure 2 Battle (GC),https://www.metacritic.com/game/gamecube/sonic-adventure-2-battle
Sonic Adventure DX Director's Cut (GC),https://www.metacritic.com/game/gamecube/sonic-adventure-dx-directors-cut
Sonic Gems Collection (GC),https://www.metacritic.com/game/gamecube/sonic-gems-collection
Sonic Heroes (GC),https://www.metacritic.com/game/gamecube/sonic-heroes
Sonic Mega Collection (GC),https://www.metacritic.com/game/gamecube/sonic-mega-collection
Sonic Riders (GC),https://www.metacritic.com/game/gamecube/sonic-riders
SoulCalibur II (GC),https://www.metacritic.com/game/gamecube/soulcalibur-ii
