title,url
Tak 2: The Staff of Dreams (GC),https://www.metacritic.com/game/gamecube/tak-2-the-staff-of-dreams
Tak and the Power of Juju (GC),https://www.metacritic.com/game/gamecube/tak-and-the-power-of-juju
Tak: The Great Juju Challenge (GC),https://www.metacritic.com/game/gamecube/tak-the-great-juju-challenge
Tales of Symphonia (GC),https://www.metacritic.com/game/gamecube/tales-of-symphonia
Taz Wanted (GC),https://www.metacritic.com/game/gamecube/taz-wanted
Teen Titans (GC),https://www.metacritic.com/game/gamecube/teen-titans
Teenage Mutant Ninja Turtles (GC),https://www.metacritic.com/game/gamecube/teenage-mutant-ninja-turtles
Teenage Mutant Ninja Turtles 2: Battle Nexus (GC),https://www.metacritic.com/game/gamecube/teenage-mutant-ninja-turtles-2-battle-nexus
Teenage Mutant Ninja Turtles 3: Mutant Nightmare (GC),https://www.metacritic.com/game/gamecube/teenage-mutant-ninja-turtles-3-mutant-nightmare
Terminator 3: The Redemption (GC),https://www.metacritic.com/game/gamecube/terminator-3-the-redemption
Tetris Worlds (GC),https://www.metacritic.com/game/gamecube/tetris-worlds
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies (GC),https://www.metacritic.com/game/gamecube/the-adventures-of-jimmy-neutron-boy-genius-attack-of-the-twonkies
The Ant Bully (GC),https://www.metacritic.com/game/gamecube/the-ant-bully
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe (GC)",https://www.metacritic.com/game/gamecube/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe
The Fairly OddParents Shadow Showdown (GC),https://www.metacritic.com/game/gamecube/the-fairly-oddparents-shadow-showdown
The Grim Adventures of Billy & Mandy (GC),https://www.metacritic.com/game/gamecube/the-grim-adventures-of-billy-mandy
The Haunted Mansion (GC),https://www.metacritic.com/game/gamecube/the-haunted-mansion
The Hobbit (GC),https://www.metacritic.com/game/gamecube/the-hobbit
The Incredible Hulk: Ultimate Destruction (GC),https://www.metacritic.com/game/gamecube/the-incredible-hulk-ultimate-destruction
The Incredibles (GC),https://www.metacritic.com/game/gamecube/the-incredibles
The Incredibles: Rise of the Underminer (GC),https://www.metacritic.com/game/gamecube/the-incredibles-rise-of-the-underminer
The Italian Job (GC),https://www.metacritic.com/game/gamecube/the-italian-job
The Legend of Spyro: A New Beginning (GC),https://www.metacritic.com/game/gamecube/the-legend-of-spyro-a-new-beginning
The Legend of Zelda Collector's Edition (GC),https://www.metacritic.com/game/gamecube/the-legend-of-zelda-collectors-edition
The Legend of Zelda: Four Swords Adventures (GC),https://www.metacritic.com/game/gamecube/the-legend-of-zelda-four-swords-adventures
The Legend of Zelda: Ocarina of Time / Master Quest (GC),https://www.metacritic.com/game/gamecube/the-legend-of-zelda-ocarina-of-time-master-quest
The Legend of Zelda: The Wind Waker (GC),https://www.metacritic.com/game/gamecube/the-legend-of-zelda-the-wind-waker
The Legend of Zelda: Twilight Princess (GC),https://www.metacritic.com/game/gamecube/the-legend-of-zelda-twilight-princess
The Lord of the Rings: The Return of the King (GC),https://www.metacritic.com/game/gamecube/the-lord-of-the-rings-the-return-of-the-king
The Lord of the Rings: The Third Age (GC),https://www.metacritic.com/game/gamecube/the-lord-of-the-rings-the-third-age
The Lord of the Rings: The Two Towers (GC),https://www.metacritic.com/game/gamecube/the-lord-of-the-rings-the-two-towers
The Polar Express (GC),https://www.metacritic.com/game/gamecube/the-polar-express
The Powerpuff Girls: Relish Rampage (GC),https://www.metacritic.com/game/gamecube/the-powerpuff-girls-relish-rampage
The Scorpion King: Rise of the Akkadian (GC),https://www.metacritic.com/game/gamecube/the-scorpion-king-rise-of-the-akkadian
The Simpsons Road Rage (GC),https://www.metacritic.com/game/gamecube/the-simpsons-road-rage
The Simpsons: Hit & Run (GC),https://www.metacritic.com/game/gamecube/the-simpsons-hit-run
The Sims (GC),https://www.metacritic.com/game/gamecube/the-sims
The Sims 2 (GC),https://www.metacritic.com/game/gamecube/the-sims-2
The Sims 2: Pets (GC),https://www.metacritic.com/game/gamecube/the-sims-2-pets
The Sims Bustin' Out (GC),https://www.metacritic.com/game/gamecube/the-sims-bustin-out
The SpongeBob SquarePants Movie (GC),https://www.metacritic.com/game/gamecube/the-spongebob-squarepants-movie
The Sum of All Fears (GC),https://www.metacritic.com/game/gamecube/the-sum-of-all-fears
The Urbz: Sims in the City (GC),https://www.metacritic.com/game/gamecube/the-urbz-sims-in-the-city
Tiger Woods PGA Tour 06 (GC),https://www.metacritic.com/game/gamecube/tiger-woods-pga-tour-06
Tiger Woods PGA Tour 2003 (GC),https://www.metacritic.com/game/gamecube/tiger-woods-pga-tour-2003
Tiger Woods PGA Tour 2004 (GC),https://www.metacritic.com/game/gamecube/tiger-woods-pga-tour-2004
