title,url
Back to Stone (GBA),https://www.metacritic.com/game/game-boy-advance/back-to-stone
BackTrack (GBA),https://www.metacritic.com/game/game-boy-advance/backtrack
Backyard Basketball (GBA),https://www.metacritic.com/game/game-boy-advance/backyard-basketball
Backyard Football 2006 (GBA),https://www.metacritic.com/game/game-boy-advance/backyard-football-2006
Backyard Hockey (GBA),https://www.metacritic.com/game/game-boy-advance/backyard-hockey
Backyard Sports Baseball 2007 (GBA),https://www.metacritic.com/game/game-boy-advance/backyard-sports-baseball-2007
Backyard Sports Football 2007 (GBA),https://www.metacritic.com/game/game-boy-advance/backyard-sports-football-2007
Baldur's Gate: Dark Alliance (GBA),https://www.metacritic.com/game/game-boy-advance/baldurs-gate-dark-alliance
Ballistic: Ecks vs. Sever II (GBA),https://www.metacritic.com/game/game-boy-advance/ballistic-ecks-vs-sever-ii
Banjo-Kazooie: Grunty's Revenge (GBA),https://www.metacritic.com/game/game-boy-advance/banjo-kazooie-gruntys-revenge
Banjo-Pilot (GBA),https://www.metacritic.com/game/game-boy-advance/banjo-pilot
Barbie and the Magic of Pegasus (GBA),https://www.metacritic.com/game/game-boy-advance/barbie-and-the-magic-of-pegasus
Barbie as the Princess and the Pauper (GBA),https://www.metacritic.com/game/game-boy-advance/barbie-as-the-princess-and-the-pauper
Barbie Groovy Games (GBA),https://www.metacritic.com/game/game-boy-advance/barbie-groovy-games
Barnyard (GBA),https://www.metacritic.com/game/game-boy-advance/barnyard
Baseball Advance (GBA),https://www.metacritic.com/game/game-boy-advance/baseball-advance
Batman Begins (GBA),https://www.metacritic.com/game/game-boy-advance/batman-begins
Batman: Rise of Sin Tzu (GBA),https://www.metacritic.com/game/game-boy-advance/batman-rise-of-sin-tzu
Batman: Vengeance (GBA),https://www.metacritic.com/game/game-boy-advance/batman-vengeance
Battle B-Daman (GBA),https://www.metacritic.com/game/game-boy-advance/battle-b-daman
Battle B-Daman: Fire Spirits! (GBA),https://www.metacritic.com/game/game-boy-advance/battle-b-daman-fire-spirits!
BattleBots: Beyond the BattleBox (GBA),https://www.metacritic.com/game/game-boy-advance/battlebots-beyond-the-battlebox
Battlebots: Design & Destroy (GBA),https://www.metacritic.com/game/game-boy-advance/battlebots-design-destroy
Beyblade G-Revolution (GBA),https://www.metacritic.com/game/game-boy-advance/beyblade-g-revolution
Beyblade VForce: Ultimate Blader Jam (GBA),https://www.metacritic.com/game/game-boy-advance/beyblade-vforce-ultimate-blader-jam
Bionicle (GBA),https://www.metacritic.com/game/game-boy-advance/bionicle
Bionicle Heroes (GBA),https://www.metacritic.com/game/game-boy-advance/bionicle-heroes
Blackthorne (GBA),https://www.metacritic.com/game/game-boy-advance/blackthorne
Blades of Thunder (GBA),https://www.metacritic.com/game/game-boy-advance/blades-of-thunder
Blender Bros. (GBA),https://www.metacritic.com/game/game-boy-advance/blender-bros
Board Game Classics (GBA),https://www.metacritic.com/game/game-boy-advance/board-game-classics
Boktai 2: Solar Boy Django (GBA),https://www.metacritic.com/game/game-boy-advance/boktai-2-solar-boy-django
Boktai: The Sun Is in Your Hand (GBA),https://www.metacritic.com/game/game-boy-advance/boktai-the-sun-is-in-your-hand
Bomberman Max 2: Blue Advance (GBA),https://www.metacritic.com/game/game-boy-advance/bomberman-max-2-blue-advance
Bomberman Max 2: Red Advance (GBA),https://www.metacritic.com/game/game-boy-advance/bomberman-max-2-red-advance
Boulder Dash EX (GBA),https://www.metacritic.com/game/game-boy-advance/boulder-dash-ex
Boxing Fever (GBA),https://www.metacritic.com/game/game-boy-advance/boxing-fever
Bratz (GBA),https://www.metacritic.com/game/game-boy-advance/bratz
Bratz: Forever Diamondz (GBA),https://www.metacritic.com/game/game-boy-advance/bratz-forever-diamondz
Bratz: The Movie (GBA),https://www.metacritic.com/game/game-boy-advance/bratz-the-movie
Breath of Fire (GBA),https://www.metacritic.com/game/game-boy-advance/breath-of-fire
Breath of Fire II (GBA),https://www.metacritic.com/game/game-boy-advance/breath-of-fire-ii
Britney's Dance Beat (GBA),https://www.metacritic.com/game/game-boy-advance/britneys-dance-beat
Broken Sword: The Shadow of the Templars (GBA),https://www.metacritic.com/game/game-boy-advance/broken-sword-the-shadow-of-the-templars
Bruce Lee: Return of the Legend (GBA),https://www.metacritic.com/game/game-boy-advance/bruce-lee-return-of-the-legend
Buffy the Vampire Slayer: Wrath of the Darkhul King (GBA),https://www.metacritic.com/game/game-boy-advance/buffy-the-vampire-slayer-wrath-of-the-darkhul-king
Butt Ugly Martians: B.K.M. Battles (GBA),https://www.metacritic.com/game/game-boy-advance/butt-ugly-martians-bkm-battles
