title,url
E.T. The Extra-Terrestrial (GBA),https://www.metacritic.com/game/game-boy-advance/et-the-extra-terrestrial
Earthworm Jim (GBA),https://www.metacritic.com/game/game-boy-advance/earthworm-jim
Earthworm Jim 2 (GBA),https://www.metacritic.com/game/game-boy-advance/earthworm-jim-2
Ecks vs. Sever (GBA),https://www.metacritic.com/game/game-boy-advance/ecks-vs-sever
"Ed, Edd n Eddy: Jawbreakers! (GBA)",https://www.metacritic.com/game/game-boy-advance/ed-edd-n-eddy-jawbreakers!
"Ed, Edd n Eddy: The Mis-Edventures (GBA)",https://www.metacritic.com/game/game-boy-advance/ed-edd-n-eddy-the-mis-edventures
Egg Mania (GBA),https://www.metacritic.com/game/game-boy-advance/egg-mania
Elf Bowling 1 & 2 (GBA),https://www.metacritic.com/game/game-boy-advance/elf-bowling-1-2
Elf: The Movie (GBA),https://www.metacritic.com/game/game-boy-advance/elf-the-movie
Eragon (GBA),https://www.metacritic.com/game/game-boy-advance/eragon
ESPN Final Round Golf 2002 (GBA),https://www.metacritic.com/game/game-boy-advance/espn-final-round-golf-2002
ESPN Great Outdoor Games Bass 2002 (GBA),https://www.metacritic.com/game/game-boy-advance/espn-great-outdoor-games-bass-2002
ESPN International Winter Sports (GBA),https://www.metacritic.com/game/game-boy-advance/espn-international-winter-sports
ESPN X Games Skateboarding (GBA),https://www.metacritic.com/game/game-boy-advance/espn-x-games-skateboarding
