title,url
F-14 Tomcat (GBA),https://www.metacritic.com/game/game-boy-advance/f-14-tomcat
F-Zero GP Legend (GBA),https://www.metacritic.com/game/game-boy-advance/f-zero-gp-legend
F-Zero: Maximum Velocity (GBA),https://www.metacritic.com/game/game-boy-advance/f-zero-maximum-velocity
F1 2002 (GBA),https://www.metacritic.com/game/game-boy-advance/f1-2002
F24: Stealth Fighter (GBA),https://www.metacritic.com/game/game-boy-advance/f24-stealth-fighter
Family Feud (GBA),https://www.metacritic.com/game/game-boy-advance/family-feud
Fantastic 4 (GBA),https://www.metacritic.com/game/game-boy-advance/fantastic-4
Fear Factor: Unleashed (GBA),https://www.metacritic.com/game/game-boy-advance/fear-factor-unleashed
FIFA 07 Soccer (GBA),https://www.metacritic.com/game/game-boy-advance/fifa-07-soccer
FIFA Soccer 06 (GBA),https://www.metacritic.com/game/game-boy-advance/fifa-soccer-06
FIFA Soccer 2003 (GBA),https://www.metacritic.com/game/game-boy-advance/fifa-soccer-2003
FIFA Soccer 2004 (GBA),https://www.metacritic.com/game/game-boy-advance/fifa-soccer-2004
FIFA Soccer 2005 (GBA),https://www.metacritic.com/game/game-boy-advance/fifa-soccer-2005
FIFA World Cup: Germany 2006 (GBA),https://www.metacritic.com/game/game-boy-advance/fifa-world-cup-germany-2006
Final Fantasy I & II: Dawn of Souls (GBA),https://www.metacritic.com/game/game-boy-advance/final-fantasy-i-ii-dawn-of-souls
Final Fantasy IV Advance (GBA),https://www.metacritic.com/game/game-boy-advance/final-fantasy-iv-advance
Final Fantasy Tactics Advance (GBA),https://www.metacritic.com/game/game-boy-advance/final-fantasy-tactics-advance
Final Fantasy V Advance (GBA),https://www.metacritic.com/game/game-boy-advance/final-fantasy-v-advance
Final Fantasy VI Advance (GBA),https://www.metacritic.com/game/game-boy-advance/final-fantasy-vi-advance
Final Fight One (GBA),https://www.metacritic.com/game/game-boy-advance/final-fight-one
Finding Nemo (GBA),https://www.metacritic.com/game/game-boy-advance/finding-nemo
Finding Nemo: The Continuing Adventures (GBA),https://www.metacritic.com/game/game-boy-advance/finding-nemo-the-continuing-adventures
Fire Emblem (GBA),https://www.metacritic.com/game/game-boy-advance/fire-emblem
Fire Emblem: The Sacred Stones (GBA),https://www.metacritic.com/game/game-boy-advance/fire-emblem-the-sacred-stones
Fire Pro Wrestling (GBA),https://www.metacritic.com/game/game-boy-advance/fire-pro-wrestling
Fire Pro Wrestling 2 (GBA),https://www.metacritic.com/game/game-boy-advance/fire-pro-wrestling-2
Flushed Away (GBA),https://www.metacritic.com/game/game-boy-advance/flushed-away
Ford Racing 3 (GBA),https://www.metacritic.com/game/game-boy-advance/ford-racing-3
Fortress (GBA),https://www.metacritic.com/game/game-boy-advance/fortress
Foster's Home for Imaginary Friends (GBA),https://www.metacritic.com/game/game-boy-advance/fosters-home-for-imaginary-friends
Freekstyle (GBA),https://www.metacritic.com/game/game-boy-advance/freekstyle
Frogger Advance: The Great Quest (GBA),https://www.metacritic.com/game/game-boy-advance/frogger-advance-the-great-quest
Frogger's Adventures 2: The Lost Wand (GBA),https://www.metacritic.com/game/game-boy-advance/froggers-adventures-2-the-lost-wand
Frogger's Adventures: Temple of the Frog (GBA),https://www.metacritic.com/game/game-boy-advance/froggers-adventures-temple-of-the-frog
Frogger's Journey: The Forgotten Relic (GBA),https://www.metacritic.com/game/game-boy-advance/froggers-journey-the-forgotten-relic
