title,url
Galidor: Defenders of the Outer Dimension (GBA),https://www.metacritic.com/game/game-boy-advance/galidor-defenders-of-the-outer-dimension
Game & Watch Gallery 4 (GBA),https://www.metacritic.com/game/game-boy-advance/game-watch-gallery-4
Games Explosion! (GBA),https://www.metacritic.com/game/game-boy-advance/games-explosion!
Garfield and His Nine Lives (GBA),https://www.metacritic.com/game/game-boy-advance/garfield-and-his-nine-lives
Gauntlet / Rampart (GBA),https://www.metacritic.com/game/game-boy-advance/gauntlet-rampart
Gauntlet: Dark Legacy (GBA),https://www.metacritic.com/game/game-boy-advance/gauntlet-dark-legacy
Gekido Advance: Kintaro's Revenge (GBA),https://www.metacritic.com/game/game-boy-advance/gekido-advance-kintaros-revenge
Gem Smashers (GBA),https://www.metacritic.com/game/game-boy-advance/gem-smashers
Ghost Rider (GBA),https://www.metacritic.com/game/game-boy-advance/ghost-rider
Godzilla: Domination! (GBA),https://www.metacritic.com/game/game-boy-advance/godzilla-domination!
Golden Nugget Casino (GBA),https://www.metacritic.com/game/game-boy-advance/golden-nugget-casino
Golden Sun (GBA),https://www.metacritic.com/game/game-boy-advance/golden-sun
Golden Sun: The Lost Age (GBA),https://www.metacritic.com/game/game-boy-advance/golden-sun-the-lost-age
Gradius Galaxies (GBA),https://www.metacritic.com/game/game-boy-advance/gradius-galaxies
Grand Theft Auto (GBA),https://www.metacritic.com/game/game-boy-advance/grand-theft-auto
Greg Hastings' Tournament Paintball Max'd (GBA),https://www.metacritic.com/game/game-boy-advance/greg-hastings-tournament-paintball-maxd
GT Advance 2: Rally Racing (GBA),https://www.metacritic.com/game/game-boy-advance/gt-advance-2-rally-racing
GT Advance 3: Pro Concept Racing (GBA),https://www.metacritic.com/game/game-boy-advance/gt-advance-3-pro-concept-racing
GT Advance Championship Racing (GBA),https://www.metacritic.com/game/game-boy-advance/gt-advance-championship-racing
Guilty Gear X Advance Edition (GBA),https://www.metacritic.com/game/game-boy-advance/guilty-gear-x-advance-edition
Gumby vs. the Astrobots (GBA),https://www.metacritic.com/game/game-boy-advance/gumby-vs-the-astrobots
Gunstar Super Heroes (GBA),https://www.metacritic.com/game/game-boy-advance/gunstar-super-heroes
