title,url
Hamtaro: Ham Ham Heartbreak (GBA),https://www.metacritic.com/game/game-boy-advance/hamtaro-ham-ham-heartbreak
Hamtaro: Ham-Ham Games (GBA),https://www.metacritic.com/game/game-boy-advance/hamtaro-ham-ham-games
Happy Feet (GBA),https://www.metacritic.com/game/game-boy-advance/happy-feet
Hardcore Pinball (GBA),https://www.metacritic.com/game/game-boy-advance/hardcore-pinball
Harlem Globetrotters: World Tour (GBA),https://www.metacritic.com/game/game-boy-advance/harlem-globetrotters-world-tour
Harry Potter and the Chamber of Secrets (GBA),https://www.metacritic.com/game/game-boy-advance/harry-potter-and-the-chamber-of-secrets
Harry Potter and the Goblet of Fire (GBA),https://www.metacritic.com/game/game-boy-advance/harry-potter-and-the-goblet-of-fire
Harry Potter and the Order of the Phoenix (GBA),https://www.metacritic.com/game/game-boy-advance/harry-potter-and-the-order-of-the-phoenix
Harry Potter and the Prisoner of Azkaban (GBA),https://www.metacritic.com/game/game-boy-advance/harry-potter-and-the-prisoner-of-azkaban
Harry Potter and the Sorcerer's Stone (GBA),https://www.metacritic.com/game/game-boy-advance/harry-potter-and-the-sorcerers-stone
Harry Potter: Quidditch World Cup (GBA),https://www.metacritic.com/game/game-boy-advance/harry-potter-quidditch-world-cup
Harvest Moon: Friends of Mineral Town (GBA),https://www.metacritic.com/game/game-boy-advance/harvest-moon-friends-of-mineral-town
Harvest Moon: More Friends of Mineral Town (GBA),https://www.metacritic.com/game/game-boy-advance/harvest-moon-more-friends-of-mineral-town
He-Man: Power of Grayskull (GBA),https://www.metacritic.com/game/game-boy-advance/he-man-power-of-grayskull
Herbie: Fully Loaded (GBA),https://www.metacritic.com/game/game-boy-advance/herbie-fully-loaded
Hey Arnold! The Movie (GBA),https://www.metacritic.com/game/game-boy-advance/hey-arnold!-the-movie
Hi Hi Puffy AmiYumi: Kaznapped! (GBA),https://www.metacritic.com/game/game-boy-advance/hi-hi-puffy-amiyumi-kaznapped!
High Heat Major League Baseball 2002 (GBA),https://www.metacritic.com/game/game-boy-advance/high-heat-major-league-baseball-2002
High Heat Major League Baseball 2003 (GBA),https://www.metacritic.com/game/game-boy-advance/high-heat-major-league-baseball-2003
Hot Potato! (GBA),https://www.metacritic.com/game/game-boy-advance/hot-potato!
Hot Wheels Stunt Track Challenge (GBA),https://www.metacritic.com/game/game-boy-advance/hot-wheels-stunt-track-challenge
Hot Wheels World Race (GBA),https://www.metacritic.com/game/game-boy-advance/hot-wheels-world-race
Hot Wheels: All Out (GBA),https://www.metacritic.com/game/game-boy-advance/hot-wheels-all-out
Hot Wheels: Burnin' Rubber (GBA),https://www.metacritic.com/game/game-boy-advance/hot-wheels-burnin-rubber
Hugo: The Evil Mirror (GBA),https://www.metacritic.com/game/game-boy-advance/hugo-the-evil-mirror
