title,url
Lady Sia (GBA),https://www.metacritic.com/game/game-boy-advance/lady-sia
LarryBoy and the Bad Apple (GBA),https://www.metacritic.com/game/game-boy-advance/larryboy-and-the-bad-apple
Legends of Wrestling II (GBA),https://www.metacritic.com/game/game-boy-advance/legends-of-wrestling-ii
Lego Bionicle (GBA),https://www.metacritic.com/game/game-boy-advance/lego-bionicle
Lego Knights' Kingdom (GBA),https://www.metacritic.com/game/game-boy-advance/lego-knights-kingdom
Lego Star Wars (GBA),https://www.metacritic.com/game/game-boy-advance/lego-star-wars
Lego Star Wars II: The Original Trilogy (GBA),https://www.metacritic.com/game/game-boy-advance/lego-star-wars-ii-the-original-trilogy
Lemony Snicket's A Series of Unfortunate Events (GBA),https://www.metacritic.com/game/game-boy-advance/lemony-snickets-a-series-of-unfortunate-events
Life / Yahtzee / Payday (GBA),https://www.metacritic.com/game/game-boy-advance/life-yahtzee-payday
Lizzie McGuire 2: Lizzie Diaries (GBA),https://www.metacritic.com/game/game-boy-advance/lizzie-mcguire-2-lizzie-diaries
Lizzie McGuire 3: Homecoming Havoc (GBA),https://www.metacritic.com/game/game-boy-advance/lizzie-mcguire-3-homecoming-havoc
Lizzie McGuire: On the Go! (GBA),https://www.metacritic.com/game/game-boy-advance/lizzie-mcguire-on-the-go!
Looney Tunes: Back in Action (GBA),https://www.metacritic.com/game/game-boy-advance/looney-tunes-back-in-action
Lufia: The Ruins of Lore (GBA),https://www.metacritic.com/game/game-boy-advance/lufia-the-ruins-of-lore
Lunar Legend (GBA),https://www.metacritic.com/game/game-boy-advance/lunar-legend
