title,url
Namco Museum (GBA),https://www.metacritic.com/game/game-boy-advance/namco-museum
Namco Museum 50th Anniversary (GBA),https://www.metacritic.com/game/game-boy-advance/namco-museum-50th-anniversary
Naruto: Ninja Council (GBA),https://www.metacritic.com/game/game-boy-advance/naruto-ninja-council
Naruto: Ninja Council 2 (GBA),https://www.metacritic.com/game/game-boy-advance/naruto-ninja-council-2
NASCAR Heat 2002 (GBA),https://www.metacritic.com/game/game-boy-advance/nascar-heat-2002
NBA Jam 2002 (GBA),https://www.metacritic.com/game/game-boy-advance/nba-jam-2002
Need for Speed Carbon: Own the City (GBA),https://www.metacritic.com/game/game-boy-advance/need-for-speed-carbon-own-the-city
Need for Speed Most Wanted (GBA),https://www.metacritic.com/game/game-boy-advance/need-for-speed-most-wanted
Need for Speed Underground (GBA),https://www.metacritic.com/game/game-boy-advance/need-for-speed-underground
Need for Speed Underground 2 (GBA),https://www.metacritic.com/game/game-boy-advance/need-for-speed-underground-2
Need for Speed: Porsche Unleashed (GBA),https://www.metacritic.com/game/game-boy-advance/need-for-speed-porsche-unleashed
NFL Blitz 20-02 (GBA),https://www.metacritic.com/game/game-boy-advance/nfl-blitz-20-02
NFL Blitz 20-03 (GBA),https://www.metacritic.com/game/game-boy-advance/nfl-blitz-20-03
NHL 2002 (GBA),https://www.metacritic.com/game/game-boy-advance/nhl-2002
NHL Hitz 20-03 (GBA),https://www.metacritic.com/game/game-boy-advance/nhl-hitz-20-03
NickToons Racing (GBA),https://www.metacritic.com/game/game-boy-advance/nicktoons-racing
Nicktoons Unite! (GBA),https://www.metacritic.com/game/game-boy-advance/nicktoons-unite!
Nicktoons: Attack of the Toybots (GBA),https://www.metacritic.com/game/game-boy-advance/nicktoons-attack-of-the-toybots
Nicktoons: Battle for Volcano Island (GBA),https://www.metacritic.com/game/game-boy-advance/nicktoons-battle-for-volcano-island
Nicktoons: Freeze Frame Frenzy (GBA),https://www.metacritic.com/game/game-boy-advance/nicktoons-freeze-frame-frenzy
Ninja Five-O (GBA),https://www.metacritic.com/game/game-boy-advance/ninja-five-o
Noddy: A Day in Toyland (GBA),https://www.metacritic.com/game/game-boy-advance/noddy-a-day-in-toyland
