title,url
R-Type III: The Third Lightning (GBA),https://www.metacritic.com/game/game-boy-advance/r-type-iii-the-third-lightning
Racing Gears Advance (GBA),https://www.metacritic.com/game/game-boy-advance/racing-gears-advance
Rampage Puzzle Attack (GBA),https://www.metacritic.com/game/game-boy-advance/rampage-puzzle-attack
Rapala Pro Fishing (GBA),https://www.metacritic.com/game/game-boy-advance/rapala-pro-fishing
Ratatouille (GBA),https://www.metacritic.com/game/game-boy-advance/ratatouille
Rave Master: Special Attack Force (GBA),https://www.metacritic.com/game/game-boy-advance/rave-master-special-attack-force
Rayman 3 (GBA),https://www.metacritic.com/game/game-boy-advance/rayman-3
Rayman Advance (GBA),https://www.metacritic.com/game/game-boy-advance/rayman-advance
Rayman Raving Rabbids (GBA),https://www.metacritic.com/game/game-boy-advance/rayman-raving-rabbids
Rayman: Hoodlum's Revenge (GBA),https://www.metacritic.com/game/game-boy-advance/rayman-hoodlums-revenge
Ready 2 Rumble Boxing: Round 2 (GBA),https://www.metacritic.com/game/game-boy-advance/ready-2-rumble-boxing-round-2
Rebelstar: Tactical Command (GBA),https://www.metacritic.com/game/game-boy-advance/rebelstar-tactical-command
Reign of Fire (GBA),https://www.metacritic.com/game/game-boy-advance/reign-of-fire
River City Ransom EX (GBA),https://www.metacritic.com/game/game-boy-advance/river-city-ransom-ex
Riviera: The Promised Land (GBA),https://www.metacritic.com/game/game-boy-advance/riviera-the-promised-land
Road Rash: Jailbreak (GBA),https://www.metacritic.com/game/game-boy-advance/road-rash-jailbreak
Road Trip: Shifting Gears (GBA),https://www.metacritic.com/game/game-boy-advance/road-trip-shifting-gears
Robopon 2: Ring Version (GBA),https://www.metacritic.com/game/game-boy-advance/robopon-2-ring-version
Robotech: The Macross Saga (GBA),https://www.metacritic.com/game/game-boy-advance/robotech-the-macross-saga
Robots (GBA),https://www.metacritic.com/game/game-boy-advance/robots
Rock 'Em Sock 'Em Robots (GBA),https://www.metacritic.com/game/game-boy-advance/rock-em-sock-em-robots
Rock 'N Roll Racing (GBA),https://www.metacritic.com/game/game-boy-advance/rock-n-roll-racing
Rocky (GBA),https://www.metacritic.com/game/game-boy-advance/rocky
