title,url
Sabre Wulf (GBA),https://www.metacritic.com/game/game-boy-advance/sabre-wulf
Sabrina the Teenage Witch: Potion Commotion (GBA),https://www.metacritic.com/game/game-boy-advance/sabrina-the-teenage-witch-potion-commotion
Salt Lake 2002 (GBA),https://www.metacritic.com/game/game-boy-advance/salt-lake-2002
Samurai Jack: The Amulet of Time (GBA),https://www.metacritic.com/game/game-boy-advance/samurai-jack-the-amulet-of-time
Scooby-Doo (GBA),https://www.metacritic.com/game/game-boy-advance/scooby-doo
Scooby-Doo 2: Monsters Unleashed (GBA),https://www.metacritic.com/game/game-boy-advance/scooby-doo-2-monsters-unleashed
Scooby-Doo! Unmasked (GBA),https://www.metacritic.com/game/game-boy-advance/scooby-doo!-unmasked
Scooby-Doo: Mystery Mayhem (GBA),https://www.metacritic.com/game/game-boy-advance/scooby-doo-mystery-mayhem
Scrabble Blast! (GBA),https://www.metacritic.com/game/game-boy-advance/scrabble-blast!
Scurge: Hive (GBA),https://www.metacritic.com/game/game-boy-advance/scurge-hive
SD Gundam Force (GBA),https://www.metacritic.com/game/game-boy-advance/sd-gundam-force
Sea Trader: Rise of Taipan (GBA),https://www.metacritic.com/game/game-boy-advance/sea-trader-rise-of-taipan
Secret Agent Barbie: Royal Jewels Mission (GBA),https://www.metacritic.com/game/game-boy-advance/secret-agent-barbie-royal-jewels-mission
Sega Arcade Gallery (GBA),https://www.metacritic.com/game/game-boy-advance/sega-arcade-gallery
Sega Rally Championship (GBA),https://www.metacritic.com/game/game-boy-advance/sega-rally-championship
Sega Smash Pack (GBA),https://www.metacritic.com/game/game-boy-advance/sega-smash-pack
Serious Sam Advance (GBA),https://www.metacritic.com/game/game-boy-advance/serious-sam-advance
"Shaman King: Legacy of the Spirits, Soaring Hawk (GBA)",https://www.metacritic.com/game/game-boy-advance/shaman-king-legacy-of-the-spirits-soaring-hawk
"Shaman King: Legacy of the Spirits, Sprinting Wolf (GBA)",https://www.metacritic.com/game/game-boy-advance/shaman-king-legacy-of-the-spirits-sprinting-wolf
Shaman King: Master of Spirits (GBA),https://www.metacritic.com/game/game-boy-advance/shaman-king-master-of-spirits
Shaman King: Master of Spirits 2 (GBA),https://www.metacritic.com/game/game-boy-advance/shaman-king-master-of-spirits-2
Shark Tale (GBA),https://www.metacritic.com/game/game-boy-advance/shark-tale
Shaun Palmer's Pro Snowboarder (GBA),https://www.metacritic.com/game/game-boy-advance/shaun-palmers-pro-snowboarder
Shining Force: Resurrection of the Dark Dragon (GBA),https://www.metacritic.com/game/game-boy-advance/shining-force-resurrection-of-the-dark-dragon
Shining Soul (GBA),https://www.metacritic.com/game/game-boy-advance/shining-soul
Shining Soul II (GBA),https://www.metacritic.com/game/game-boy-advance/shining-soul-ii
Shrek 2 (GBA),https://www.metacritic.com/game/game-boy-advance/shrek-2
Shrek Smash n' Crash Racing (GBA),https://www.metacritic.com/game/game-boy-advance/shrek-smash-n-crash-racing
Shrek SuperSlam (GBA),https://www.metacritic.com/game/game-boy-advance/shrek-superslam
Shrek Swamp Kart Speedway (GBA),https://www.metacritic.com/game/game-boy-advance/shrek-swamp-kart-speedway
Shrek the Third (GBA),https://www.metacritic.com/game/game-boy-advance/shrek-the-third
Shrek: Hassle at the Castle (GBA),https://www.metacritic.com/game/game-boy-advance/shrek-hassle-at-the-castle
Shrek: Reekin' Havoc (GBA),https://www.metacritic.com/game/game-boy-advance/shrek-reekin-havoc
Sigma Star Saga (GBA),https://www.metacritic.com/game/game-boy-advance/sigma-star-saga
Silent Scope (GBA),https://www.metacritic.com/game/game-boy-advance/silent-scope
SimCity 2000 (GBA),https://www.metacritic.com/game/game-boy-advance/simcity-2000
Sitting Ducks (GBA),https://www.metacritic.com/game/game-boy-advance/sitting-ducks
Smashing Drive (GBA),https://www.metacritic.com/game/game-boy-advance/smashing-drive
Smuggler's Run (GBA),https://www.metacritic.com/game/game-boy-advance/smugglers-run
Snood (GBA),https://www.metacritic.com/game/game-boy-advance/snood
Soccer Kid (GBA),https://www.metacritic.com/game/game-boy-advance/soccer-kid
Sonic Advance (GBA),https://www.metacritic.com/game/game-boy-advance/sonic-advance
