title,url
B-Boy Beats (iOS),https://www.metacritic.com/game/ios/b-boy-beats
B-Squadron : Battle for Earth (iOS),https://www.metacritic.com/game/ios/b-squadron-battle-for-earth
B.O.B.'s Super Freaky Job (iOS),https://www.metacritic.com/game/ios/bobs-super-freaky-job
Baba Is You (iOS),https://www.metacritic.com/game/ios/baba-is-you
BaBaBear Boom (iOS),https://www.metacritic.com/game/ios/bababear-boom
BABEL Rising (iOS),https://www.metacritic.com/game/ios/babel-rising
BABEL Rising 3D (iOS),https://www.metacritic.com/game/ios/babel-rising-3d
Babel Rising: Cataclysm (iOS),https://www.metacritic.com/game/ios/babel-rising-cataclysm
Babel Running (iOS),https://www.metacritic.com/game/ios/babel-running
Babeorella (iOS),https://www.metacritic.com/game/ios/babeorella
Babes Vs. Robots (iOS),https://www.metacritic.com/game/ios/babes-vs-robots
Babo Crash (iOS),https://www.metacritic.com/game/ios/babo-crash
Babo Crash HD (iOS),https://www.metacritic.com/game/ios/babo-crash-hd
Baby Bird Bros. (iOS),https://www.metacritic.com/game/ios/baby-bird-bros
Baby Lava Bounce (iOS),https://www.metacritic.com/game/ios/baby-lava-bounce
Baby Monkey: Going Backwards on a Pig (iOS),https://www.metacritic.com/game/ios/baby-monkey-going-backwards-on-a-pig
Baby Nom Nom (iOS),https://www.metacritic.com/game/ios/baby-nom-nom
Babylonian Twins - The Quest for Peace in Ancient Iraq (iOS),https://www.metacritic.com/game/ios/babylonian-twins---the-quest-for-peace-in-ancient-iraq
Babylonian Twins HD (iOS),https://www.metacritic.com/game/ios/babylonian-twins-hd
Back to Bed (iOS),https://www.metacritic.com/game/ios/back-to-bed
Back to the Future Ep 1 HD (iOS),https://www.metacritic.com/game/ios/back-to-the-future-ep-1-hd
Back to the Future Ep 2 HD (iOS),https://www.metacritic.com/game/ios/back-to-the-future-ep-2-hd
Back to the Future Ep 3 HD (iOS),https://www.metacritic.com/game/ios/back-to-the-future-ep-3-hd
Back to the Future Ep 4 HD (iOS),https://www.metacritic.com/game/ios/back-to-the-future-ep-4-hd
Back to the Future Ep 5 HD (iOS),https://www.metacritic.com/game/ios/back-to-the-future-ep-5-hd
Back to the Future: The Game - Episode V: OUTATIME (iOS),https://www.metacritic.com/game/ios/back-to-the-future-the-game---episode-v-outatime
Backbreaker 2: Vengeance (iOS),https://www.metacritic.com/game/ios/backbreaker-2-vengeance
Backfire (iOS),https://www.metacritic.com/game/ios/backfire
Backflip Madness (iOS),https://www.metacritic.com/game/ios/backflip-madness
Backgammon Masters (iOS),https://www.metacritic.com/game/ios/backgammon-masters
BackStab (iOS),https://www.metacritic.com/game/ios/backstab
Backyard Bounce (iOS),https://www.metacritic.com/game/ios/backyard-bounce
Backyard Monsters: Unleashed (iOS),https://www.metacritic.com/game/ios/backyard-monsters-unleashed
Bacon Escape (iOS),https://www.metacritic.com/game/ios/bacon-escape
Bacon: The Game (iOS),https://www.metacritic.com/game/ios/bacon-the-game
Bacteria Arcade Edition (iOS),https://www.metacritic.com/game/ios/bacteria-arcade-edition
Bad Air Day (iOS),https://www.metacritic.com/game/ios/bad-air-day
Bad Apples: Battle Harvest (iOS),https://www.metacritic.com/game/ios/bad-apples-battle-harvest
Bad Day (iOS),https://www.metacritic.com/game/ios/bad-day
Bad Dinos (iOS),https://www.metacritic.com/game/ios/bad-dinos
Bad Hotel (iOS),https://www.metacritic.com/game/ios/bad-hotel
Bad Mouse (iOS),https://www.metacritic.com/game/ios/bad-mouse
Bad North: Jotunn Edition (iOS),https://www.metacritic.com/game/ios/bad-north-jotunn-edition
Bad Piggies (iOS),https://www.metacritic.com/game/ios/bad-piggies
Bad Rabbit (iOS),https://www.metacritic.com/game/ios/bad-rabbit
Bad Vamp (iOS),https://www.metacritic.com/game/ios/bad-vamp
Badayer Racing (iOS),https://www.metacritic.com/game/ios/badayer-racing
BADLAND (iOS),https://www.metacritic.com/game/ios/badland
BADLAND 2 (iOS),https://www.metacritic.com/game/ios/badland-2
Badland Brawl (iOS),https://www.metacritic.com/game/ios/badland-brawl
Badland Party (iOS),https://www.metacritic.com/game/ios/badland-party
Badlanders (iOS),https://www.metacritic.com/game/ios/badlanders
Badly Drawn Faces (iOS),https://www.metacritic.com/game/ios/badly-drawn-faces
Badly Drawn Movies (iOS),https://www.metacritic.com/game/ios/badly-drawn-movies
Baffles Classic Puzzles (iOS),https://www.metacritic.com/game/ios/baffles-classic-puzzles
Bag It! (iOS),https://www.metacritic.com/game/ios/bag-it!
Bag It! HD (iOS),https://www.metacritic.com/game/ios/bag-it!-hd
Bagatelle Pinball HD (iOS),https://www.metacritic.com/game/ios/bagatelle-pinball-hd
Bakery Story (iOS),https://www.metacritic.com/game/ios/bakery-story
Balance of the Shaolin (iOS),https://www.metacritic.com/game/ios/balance-of-the-shaolin
BALANZ (iOS),https://www.metacritic.com/game/ios/balanz
Baldo: The Guardian Owls (iOS),https://www.metacritic.com/game/ios/baldo-the-guardian-owls
Baldur's Gate II:EE (iOS),https://www.metacritic.com/game/ios/baldurs-gate-iiee
Baldur's Gate: Enhanced Edition (iOS),https://www.metacritic.com/game/ios/baldurs-gate-enhanced-edition
BaliFied - Word Game of the Gods (iOS),https://www.metacritic.com/game/ios/balified---word-game-of-the-gods
Ball Busters (iOS),https://www.metacritic.com/game/ios/ball-busters
Ball Busters for iPad (iOS),https://www.metacritic.com/game/ios/ball-busters-for-ipad
Ball Jump (2015) (iOS),https://www.metacritic.com/game/ios/ball-jump-2015
Ball King (iOS),https://www.metacritic.com/game/ios/ball-king
Ball of Woe (iOS),https://www.metacritic.com/game/ios/ball-of-woe
Ball on a Wall (iOS),https://www.metacritic.com/game/ios/ball-on-a-wall
Ball Towers HD (iOS),https://www.metacritic.com/game/ios/ball-towers-hd
BallCraft (iOS),https://www.metacritic.com/game/ios/ballcraft
Baller Legends (iOS),https://www.metacritic.com/game/ios/baller-legends
Balliland XL (iOS),https://www.metacritic.com/game/ios/balliland-xl
Ballistic SE (iOS),https://www.metacritic.com/game/ios/ballistic-se
Ballistik Wars (iOS),https://www.metacritic.com/game/ios/ballistik-wars
Ballooned! (iOS),https://www.metacritic.com/game/ios/ballooned!
Ballpoint Universe Infinite (iOS),https://www.metacritic.com/game/ios/ballpoint-universe-infinite
Balls Up! HD (iOS),https://www.metacritic.com/game/ios/balls-up!-hd
