title,url
C.H.A.O.S Pro (iOS),https://www.metacritic.com/game/ios/chaos-pro
Cabals:The Card Game (iOS),https://www.metacritic.com/game/ios/cabalsthe-card-game
Cabbage Defense (iOS),https://www.metacritic.com/game/ios/cabbage-defense
Cabby Tales (iOS),https://www.metacritic.com/game/ios/cabby-tales
Cabela's Big Game Hunter (iOS),https://www.metacritic.com/game/ios/cabelas-big-game-hunter
Cabela's Dangerous Hunts 2011 (iOS),https://www.metacritic.com/game/ios/cabelas-dangerous-hunts-2011
Cabin Escape: Alice's Story (iOS),https://www.metacritic.com/game/ios/cabin-escape-alices-story
Cado (iOS),https://www.metacritic.com/game/ios/cado
CAFE 0 -The Drowned Mermaid- (iOS),https://www.metacritic.com/game/ios/cafe-0--the-drowned-mermaid-
Cafe Once Upon a Time (iOS),https://www.metacritic.com/game/ios/cafe-once-upon-a-time
Cafeteria Nipponica (iOS),https://www.metacritic.com/game/ios/cafeteria-nipponica
Cahoots! (iOS),https://www.metacritic.com/game/ios/cahoots!
Calculator: The Game (iOS),https://www.metacritic.com/game/ios/calculator-the-game
Calculords (iOS),https://www.metacritic.com/game/ios/calculords
Caliber Club (iOS),https://www.metacritic.com/game/ios/caliber-club
Caligo Chaser (iOS),https://www.metacritic.com/game/ios/caligo-chaser
Call of Champions (iOS),https://www.metacritic.com/game/ios/call-of-champions
Call of Commander (iOS),https://www.metacritic.com/game/ios/call-of-commander
Call of Cookie (iOS),https://www.metacritic.com/game/ios/call-of-cookie
Call of Cthulhu: The Wasted Land (iOS),https://www.metacritic.com/game/ios/call-of-cthulhu-the-wasted-land
Call of Duty Mobile (iOS),https://www.metacritic.com/game/ios/call-of-duty-mobile
Call of Duty: Black Ops Zombies (iOS),https://www.metacritic.com/game/ios/call-of-duty-black-ops-zombies
Call of Duty: Heroes (iOS),https://www.metacritic.com/game/ios/call-of-duty-heroes
Call of Duty: Strike Team (iOS),https://www.metacritic.com/game/ios/call-of-duty-strike-team
Call of Duty: World at War - Zombies (iOS),https://www.metacritic.com/game/ios/call-of-duty-world-at-war---zombies
Call of Duty: World at War Zombies for iPad (iOS),https://www.metacritic.com/game/ios/call-of-duty-world-at-war-zombies-for-ipad
Call of Duty: World at War: Zombies II (iOS),https://www.metacritic.com/game/ios/call-of-duty-world-at-war-zombies-ii
Call Of Mini Infinity (iOS),https://www.metacritic.com/game/ios/call-of-mini-infinity
Call of Mini: Brawlers (iOS),https://www.metacritic.com/game/ios/call-of-mini-brawlers
Call of Mini: DinoHunter (iOS),https://www.metacritic.com/game/ios/call-of-mini-dinohunter
