title,url
E.G. Chess (iOS),https://www.metacritic.com/game/ios/eg-chess
E.T. The Green Planet (iOS),https://www.metacritic.com/game/ios/et-the-green-planet
EA Sports UFC (iOS),https://www.metacritic.com/game/ios/ea-sports-ufc
Eager Beaver (iOS),https://www.metacritic.com/game/ios/eager-beaver
Early Bird (iOS),https://www.metacritic.com/game/ios/early-bird
Early Bird and Friends (iOS),https://www.metacritic.com/game/ios/early-bird-and-friends
Early Bird HD (iOS),https://www.metacritic.com/game/ios/early-bird-hd
Early Worm (iOS),https://www.metacritic.com/game/ios/early-worm
Earn to Die (iOS),https://www.metacritic.com/game/ios/earn-to-die
Earn to Die 2 (iOS),https://www.metacritic.com/game/ios/earn-to-die-2
Earth Atlantis (iOS),https://www.metacritic.com/game/ios/earth-atlantis
Earth Defense Force (iOS),https://www.metacritic.com/game/ios/earth-defense-force
Earth Invasion Episode I: Eclipse (iOS),https://www.metacritic.com/game/ios/earth-invasion-episode-i-eclipse
Earth Missile Defense (iOS),https://www.metacritic.com/game/ios/earth-missile-defense
Earth vs Balloons (iOS),https://www.metacritic.com/game/ios/earth-vs-balloons
Earthcore: Shattered Elements - Epic Card Battle Game (TCG) (iOS),https://www.metacritic.com/game/ios/earthcore-shattered-elements---epic-card-battle-game-tcg
EarthNight (iOS),https://www.metacritic.com/game/ios/earthnight
Earthworm Alchemy (iOS),https://www.metacritic.com/game/ios/earthworm-alchemy
Earthworm Jim (iOS),https://www.metacritic.com/game/ios/earthworm-jim
East Legend (iOS),https://www.metacritic.com/game/ios/east-legend
Eat Eat Hooray! (iOS),https://www.metacritic.com/game/ios/eat-eat-hooray!
eBoo (iOS),https://www.metacritic.com/game/ios/eboo
eBoo - space adventures HD (iOS),https://www.metacritic.com/game/ios/eboo---space-adventures-hd
Echo Dawn: Shattered Visions (iOS),https://www.metacritic.com/game/ios/echo-dawn-shattered-visions
Echo Prime (iOS),https://www.metacritic.com/game/ios/echo-prime
Echo: A Music Game (iOS),https://www.metacritic.com/game/ios/echo-a-music-game
Echoes of Mana (iOS),https://www.metacritic.com/game/ios/echoes-of-mana
Eclipse: New Dawn for the Galaxy (iOS),https://www.metacritic.com/game/ios/eclipse-new-dawn-for-the-galaxy
Eco Punk (iOS),https://www.metacritic.com/game/ios/eco-punk
EcoFish (iOS),https://www.metacritic.com/game/ios/ecofish
Eden - World Builder (iOS),https://www.metacritic.com/game/ios/eden---world-builder
Eden to Green (iOS),https://www.metacritic.com/game/ios/eden-to-green
Eden: Renaissance (iOS),https://www.metacritic.com/game/ios/eden-renaissance
Eden: The Game (iOS),https://www.metacritic.com/game/ios/eden-the-game
EDENS ZERO Pocket Galaxy (iOS),https://www.metacritic.com/game/ios/edens-zero-pocket-galaxy
EDGE Extended (iOS),https://www.metacritic.com/game/ios/edge-extended
Edge Of Oblivion: Alpha Squadron 2 (iOS),https://www.metacritic.com/game/ios/edge-of-oblivion-alpha-squadron-2
Edge of the World (iOS),https://www.metacritic.com/game/ios/edge-of-the-world
Edge of Tomorrow: Live. Die. Repeat. (iOS),https://www.metacritic.com/game/ios/edge-of-tomorrow-live-die-repeat
Edge of Twilight - Athyr Above (iOS),https://www.metacritic.com/game/ios/edge-of-twilight---athyr-above
EDGEBobby2 (iOS),https://www.metacritic.com/game/ios/edgebobby2
Edna & Harvey: The Breakout (iOS),https://www.metacritic.com/game/ios/edna-harvey-the-breakout
EEK! (iOS),https://www.metacritic.com/game/ios/eek!
