title,url
F1 2011 GAME (iOS),https://www.metacritic.com/game/ios/f1-2011-game
F1 2016 (iOS),https://www.metacritic.com/game/ios/f1-2016
F1 CHALLENGE (iOS),https://www.metacritic.com/game/ios/f1-challenge
F1 Race Stars (iOS),https://www.metacritic.com/game/ios/f1-race-stars
Fable Age (iOS),https://www.metacritic.com/game/ios/fable-age
FABLED LANDS HD (iOS),https://www.metacritic.com/game/ios/fabled-lands-hd
FableScapes (iOS),https://www.metacritic.com/game/ios/fablescapes
Face Invaders (iOS),https://www.metacritic.com/game/ios/face-invaders
Face Invaders (2014) (iOS),https://www.metacritic.com/game/ios/face-invaders-2014
Factory Balls: official (iOS),https://www.metacritic.com/game/ios/factory-balls-official
Fade: Case of the Stolen Diamonds (iOS),https://www.metacritic.com/game/ios/fade-case-of-the-stolen-diamonds
Fading Fairytales (iOS),https://www.metacritic.com/game/ios/fading-fairytales
Fahrenheit: Indigo Prophecy Remastered (iOS),https://www.metacritic.com/game/ios/fahrenheit-indigo-prophecy-remastered
Faif (iOS),https://www.metacritic.com/game/ios/faif
Fail Hard (iOS),https://www.metacritic.com/game/ios/fail-hard
Faily Brakes (iOS),https://www.metacritic.com/game/ios/faily-brakes
Faily Rider (iOS),https://www.metacritic.com/game/ios/faily-rider
Faily Skater (iOS),https://www.metacritic.com/game/ios/faily-skater
Faily Tumbler (iOS),https://www.metacritic.com/game/ios/faily-tumbler
Fainting Goats (iOS),https://www.metacritic.com/game/ios/fainting-goats
Fairune (iOS),https://www.metacritic.com/game/ios/fairune
Fairway Solitaire Blast (iOS),https://www.metacritic.com/game/ios/fairway-solitaire-blast
Fairway Solitaire by Big Fish (iOS),https://www.metacritic.com/game/ios/fairway-solitaire-by-big-fish
Fairway Solitaire HD - Big Fish Games (iOS),https://www.metacritic.com/game/ios/fairway-solitaire-hd---big-fish-games
Fairy Cubes (iOS),https://www.metacritic.com/game/ios/fairy-cubes
Fairy Doll (iOS),https://www.metacritic.com/game/ios/fairy-doll
Fairy Fire (iOS),https://www.metacritic.com/game/ios/fairy-fire
Fairy Magic (iOS),https://www.metacritic.com/game/ios/fairy-magic
Fall Hard (iOS),https://www.metacritic.com/game/ios/fall-hard
Fall of Angels (iOS),https://www.metacritic.com/game/ios/fall-of-angels
Falldown Cubed (iOS),https://www.metacritic.com/game/ios/falldown-cubed
FallDown! (iOS),https://www.metacritic.com/game/ios/falldown!
FallDown! 2 (iOS),https://www.metacritic.com/game/ios/falldown!-2
Fallen EP-1 (iOS),https://www.metacritic.com/game/ios/fallen-ep-1
Fallen London (iOS),https://www.metacritic.com/game/ios/fallen-london
Fallen Lords (iOS),https://www.metacritic.com/game/ios/fallen-lords
Fallen World (iOS),https://www.metacritic.com/game/ios/fallen-world
FallenSouls (iOS),https://www.metacritic.com/game/ios/fallensouls
Fallin Love - The Game of Love (iOS),https://www.metacritic.com/game/ios/fallin-love---the-game-of-love
Falling Fred (iOS),https://www.metacritic.com/game/ios/falling-fred
