title,url
G's Hotdog (iOS),https://www.metacritic.com/game/ios/gs-hotdog
G.I. Joe Strike (iOS),https://www.metacritic.com/game/ios/gi-joe-strike
G.I. JOE: BATTLEGROUND (iOS),https://www.metacritic.com/game/ios/gi-joe-battleground
G.I. Joe: War on Cobra (iOS),https://www.metacritic.com/game/ios/gi-joe-war-on-cobra
G.O.A.T. - Mow it up (iOS),https://www.metacritic.com/game/ios/goat---mow-it-up
G30 (iOS),https://www.metacritic.com/game/ios/g30
Gabriel Knight: Sins of the Fathers 20th Anniversary Edition (iOS),https://www.metacritic.com/game/ios/gabriel-knight-sins-of-the-fathers-20th-anniversary-edition
Gabrielle's Sweet Defense (iOS),https://www.metacritic.com/game/ios/gabrielles-sweet-defense
Galactic Alliance 2 (iOS),https://www.metacritic.com/game/ios/galactic-alliance-2
Galactic Battlefront (iOS),https://www.metacritic.com/game/ios/galactic-battlefront
Galactic Conflict RTS (iOS),https://www.metacritic.com/game/ios/galactic-conflict-rts
Galactic Keep (iOS),https://www.metacritic.com/game/ios/galactic-keep
Galactic Nemesis (iOS),https://www.metacritic.com/game/ios/galactic-nemesis
Galactic Phantasy Prelude (iOS),https://www.metacritic.com/game/ios/galactic-phantasy-prelude
Galactic Skater (iOS),https://www.metacritic.com/game/ios/galactic-skater
Galactic Striker (iOS),https://www.metacritic.com/game/ios/galactic-striker
Galactikitties (iOS),https://www.metacritic.com/game/ios/galactikitties
Galaga 30th Collection (iOS),https://www.metacritic.com/game/ios/galaga-30th-collection
Galaga Wars (iOS),https://www.metacritic.com/game/ios/galaga-wars
GALAK-Z: Variant Mobile (iOS),https://www.metacritic.com/game/ios/galak-z-variant-mobile
Galaxix (iOS),https://www.metacritic.com/game/ios/galaxix
Galaxoid (iOS),https://www.metacritic.com/game/ios/galaxoid
Galaxy At War Online (iOS),https://www.metacritic.com/game/ios/galaxy-at-war-online
Galaxy Cat (iOS),https://www.metacritic.com/game/ios/galaxy-cat
Galaxy Conquerors (iOS),https://www.metacritic.com/game/ios/galaxy-conquerors
Galaxy Conquest II: Space Wars (iOS),https://www.metacritic.com/game/ios/galaxy-conquest-ii-space-wars
Galaxy Dash (iOS),https://www.metacritic.com/game/ios/galaxy-dash
Galaxy Dash: Race to the Outer Run (iOS),https://www.metacritic.com/game/ios/galaxy-dash-race-to-the-outer-run
Galaxy Defense Force HD (iOS),https://www.metacritic.com/game/ios/galaxy-defense-force-hd
Galaxy Empire (iOS),https://www.metacritic.com/game/ios/galaxy-empire
Galaxy Express (iOS),https://www.metacritic.com/game/ios/galaxy-express
Galaxy Factions (iOS),https://www.metacritic.com/game/ios/galaxy-factions
Galaxy Jam: Space Basketball Wars (iOS),https://www.metacritic.com/game/ios/galaxy-jam-space-basketball-wars
Galaxy Life: Pocket Adventures (iOS),https://www.metacritic.com/game/ios/galaxy-life-pocket-adventures
Galaxy of Pen & Paper (iOS),https://www.metacritic.com/game/ios/galaxy-of-pen-paper
Galaxy of Trian (iOS),https://www.metacritic.com/game/ios/galaxy-of-trian
Galaxy on Fire - Alliances (iOS),https://www.metacritic.com/game/ios/galaxy-on-fire---alliances
Galaxy On Fire 2 (iOS),https://www.metacritic.com/game/ios/galaxy-on-fire-2
Galaxy On Fire 2 HD (iOS),https://www.metacritic.com/game/ios/galaxy-on-fire-2-hd
Galaxy on Fire 3 - Manticore (iOS),https://www.metacritic.com/game/ios/galaxy-on-fire-3---manticore
Galaxy Pirate Adventure (iOS),https://www.metacritic.com/game/ios/galaxy-pirate-adventure
Galaxy Run (iOS),https://www.metacritic.com/game/ios/galaxy-run
Galaxy Trucker (iOS),https://www.metacritic.com/game/ios/galaxy-trucker
Galcon 2: Galactic Conquest (iOS),https://www.metacritic.com/game/ios/galcon-2-galactic-conquest
Galcon Fusion (iOS),https://www.metacritic.com/game/ios/galcon-fusion
Galcon Legends (iOS),https://www.metacritic.com/game/ios/galcon-legends
Game Dev Story (iOS),https://www.metacritic.com/game/ios/game-dev-story
Game Dev Tycoon (iOS),https://www.metacritic.com/game/ios/game-dev-tycoon
Game of Dragons (iOS),https://www.metacritic.com/game/ios/game-of-dragons
Game of Gods (iOS),https://www.metacritic.com/game/ios/game-of-gods
Game Of Nerds (iOS),https://www.metacritic.com/game/ios/game-of-nerds
Game of Roads Solo (iOS),https://www.metacritic.com/game/ios/game-of-roads-solo
Game Of The Year (iOS),https://www.metacritic.com/game/ios/game-of-the-year
Game of Thrones Ascent (iOS),https://www.metacritic.com/game/ios/game-of-thrones-ascent
Game of Thrones Beyond the Wall (iOS),https://www.metacritic.com/game/ios/game-of-thrones-beyond-the-wall
Game of Thrones: Conquest (iOS),https://www.metacritic.com/game/ios/game-of-thrones-conquest
Game of Thrones: Episode Five - A Nest of Vipers (iOS),https://www.metacritic.com/game/ios/game-of-thrones-episode-five---a-nest-of-vipers
Game of Thrones: Episode Four - Sons of Winter (iOS),https://www.metacritic.com/game/ios/game-of-thrones-episode-four---sons-of-winter
Game of Thrones: Episode Six - The Ice Dragon (iOS),https://www.metacritic.com/game/ios/game-of-thrones-episode-six---the-ice-dragon
Game of Thrones: Episode Three - The Sword in the Darkness (iOS),https://www.metacritic.com/game/ios/game-of-thrones-episode-three---the-sword-in-the-darkness
Game of Thrones: Episode Two - The Lost Lords (iOS),https://www.metacritic.com/game/ios/game-of-thrones-episode-two---the-lost-lords
Game of Thrones: Tale of Crows (iOS),https://www.metacritic.com/game/ios/game-of-thrones-tale-of-crows
Game of War - Fire Age (iOS),https://www.metacritic.com/game/ios/game-of-war---fire-age
Game of Watchcraft: Spawn of Squishy (iOS),https://www.metacritic.com/game/ios/game-of-watchcraft-spawn-of-squishy
Game Studio Tycoon 2: Next Gen Developer (iOS),https://www.metacritic.com/game/ios/game-studio-tycoon-2-next-gen-developer
Gamebook Adventures 10: Lords of Nurroth (iOS),https://www.metacritic.com/game/ios/gamebook-adventures-10-lords-of-nurroth
Gamebook Adventures 11: Songs of the Mystics (iOS),https://www.metacritic.com/game/ios/gamebook-adventures-11-songs-of-the-mystics
Gamebook Adventures 12: Asuria Awakens (iOS),https://www.metacritic.com/game/ios/gamebook-adventures-12-asuria-awakens
Gamebook Adventures 1: An Assassin in Orlandes (iOS),https://www.metacritic.com/game/ios/gamebook-adventures-1-an-assassin-in-orlandes
Gamebook Adventures 4: Revenant Rising (iOS),https://www.metacritic.com/game/ios/gamebook-adventures-4-revenant-rising
Gamebook Adventures 6: The Wizard from Tarnath Tor (iOS),https://www.metacritic.com/game/ios/gamebook-adventures-6-the-wizard-from-tarnath-tor
Gamebook Adventures 8: Curse of the Assassin (iOS),https://www.metacritic.com/game/ios/gamebook-adventures-8-curse-of-the-assassin
Gamebook Adventures 8: Infinite Universe (iOS),https://www.metacritic.com/game/ios/gamebook-adventures-8-infinite-universe
Gamebook Adventures 9: Sultans of Rema (iOS),https://www.metacritic.com/game/ios/gamebook-adventures-9-sultans-of-rema
Gamebook Adventures: Temple of the Spider God (iOS),https://www.metacritic.com/game/ios/gamebook-adventures-temple-of-the-spider-god
Gamebook: Pocket RPG (iOS),https://www.metacritic.com/game/ios/gamebook-pocket-rpg
Gang Lords (iOS),https://www.metacritic.com/game/ios/gang-lords
Gang Nations (iOS),https://www.metacritic.com/game/ios/gang-nations
Gangnam Style Story (iOS),https://www.metacritic.com/game/ios/gangnam-style-story
Gangstar New Orleans: Online Open World Game (iOS),https://www.metacritic.com/game/ios/gangstar-new-orleans-online-open-world-game
Gangstar Rio: City of Saints (iOS),https://www.metacritic.com/game/ios/gangstar-rio-city-of-saints
Gangstar Vegas (iOS),https://www.metacritic.com/game/ios/gangstar-vegas
Gangstar: Miami Vindication (iOS),https://www.metacritic.com/game/ios/gangstar-miami-vindication
Gangster Granny (iOS),https://www.metacritic.com/game/ios/gangster-granny
Garage Inc. (iOS),https://www.metacritic.com/game/ios/garage-inc
Garbageman (iOS),https://www.metacritic.com/game/ios/garbageman
Garden of Fear (iOS),https://www.metacritic.com/game/ios/garden-of-fear
Garden of Orbs (iOS),https://www.metacritic.com/game/ios/garden-of-orbs
Gardenscapes: New Acres (iOS),https://www.metacritic.com/game/ios/gardenscapes-new-acres
Garfield Chef (iOS),https://www.metacritic.com/game/ios/garfield-chef
Garfield Kart (iOS),https://www.metacritic.com/game/ios/garfield-kart
Garfield's Defense: Attack of the Food Invaders (iOS),https://www.metacritic.com/game/ios/garfields-defense-attack-of-the-food-invaders
Garfield's Escape (iOS),https://www.metacritic.com/game/ios/garfields-escape
Garfield's Trivia Party (iOS),https://www.metacritic.com/game/ios/garfields-trivia-party
Garfield's Wild Ride (iOS),https://www.metacritic.com/game/ios/garfields-wild-ride
Garfield: Survival of the Fattest (iOS),https://www.metacritic.com/game/ios/garfield-survival-of-the-fattest
Gargoyle Ruins (iOS),https://www.metacritic.com/game/ios/gargoyle-ruins
Garou: Mark of the Wolves (iOS),https://www.metacritic.com/game/ios/garou-mark-of-the-wolves
Gary Chalk's Gun Dogs (iOS),https://www.metacritic.com/game/ios/gary-chalks-gun-dogs
Gasketball (iOS),https://www.metacritic.com/game/ios/gasketball
Gathering Sky (iOS),https://www.metacritic.com/game/ios/gathering-sky
Gator Alley (iOS),https://www.metacritic.com/game/ios/gator-alley
Gatsby's Golf (iOS),https://www.metacritic.com/game/ios/gatsbys-golf
Gauge - Game (iOS),https://www.metacritic.com/game/ios/gauge---game
Gear Jack (iOS),https://www.metacritic.com/game/ios/gear-jack
Gear Jack Black Hole (iOS),https://www.metacritic.com/game/ios/gear-jack-black-hole
Gear.Club (iOS),https://www.metacritic.com/game/ios/gearclub
Gear.Club Stradale (iOS),https://www.metacritic.com/game/ios/gearclub-stradale
Geared (iOS),https://www.metacritic.com/game/ios/geared
Geared 2! (iOS),https://www.metacritic.com/game/ios/geared-2!
Geared for iPad (iOS),https://www.metacritic.com/game/ios/geared-for-ipad
Gears (iOS),https://www.metacritic.com/game/ios/gears
Gears & Guts (iOS),https://www.metacritic.com/game/ios/gears-guts
Gears Pop! (iOS),https://www.metacritic.com/game/ios/gears-pop!
Geek Resort (iOS),https://www.metacritic.com/game/ios/geek-resort
Gel Mania (iOS),https://www.metacritic.com/game/ios/gel-mania
Gem Jam (iOS),https://www.metacritic.com/game/ios/gem-jam
Gem Keeper (iOS),https://www.metacritic.com/game/ios/gem-keeper
Gem Pop (iOS),https://www.metacritic.com/game/ios/gem-pop
Gem Racers (iOS),https://www.metacritic.com/game/ios/gem-racers
GemCraft (iOS),https://www.metacritic.com/game/ios/gemcraft
Gemibears (iOS),https://www.metacritic.com/game/ios/gemibears
Gemini Rue (iOS),https://www.metacritic.com/game/ios/gemini-rue
Gemini Strike (iOS),https://www.metacritic.com/game/ios/gemini-strike
Gemini: A Journey of Two Stars (iOS),https://www.metacritic.com/game/ios/gemini-a-journey-of-two-stars
Gems of War (iOS),https://www.metacritic.com/game/ios/gems-of-war
Gems With Friends (iOS),https://www.metacritic.com/game/ios/gems-with-friends
Gene Effect (iOS),https://www.metacritic.com/game/ios/gene-effect
Gene: Run & jump platform game in space with obstacles to blast and enemies to defeat (iOS),https://www.metacritic.com/game/ios/gene-run-jump-platform-game-in-space-with-obstacles-to-blast-and-enemies-to-defeat
GENESIA for iPad - The 7 gems of NEORT (iOS),https://www.metacritic.com/game/ios/genesia-for-ipad---the-7-gems-of-neort
Genshin Impact (iOS),https://www.metacritic.com/game/ios/genshin-impact
Gentlemen! (iOS),https://www.metacritic.com/game/ios/gentlemen!
Gentlemen...Ricochet Mini! (iOS),https://www.metacritic.com/game/ios/gentlemenricochet-mini!
Gentlemen...Ricochet! (iOS),https://www.metacritic.com/game/ios/gentlemenricochet!
GEO Hunters (iOS),https://www.metacritic.com/game/ios/geo-hunters
geoDefense Swarm (iOS),https://www.metacritic.com/game/ios/geodefense-swarm
Geometry Dash (iOS),https://www.metacritic.com/game/ios/geometry-dash
Geometry Dash Meltdown (iOS),https://www.metacritic.com/game/ios/geometry-dash-meltdown
Geometry Dash World (iOS),https://www.metacritic.com/game/ios/geometry-dash-world
Geometry Wars 3: Dimensions (iOS),https://www.metacritic.com/game/ios/geometry-wars-3-dimensions
Geometry Wars: Touch (iOS),https://www.metacritic.com/game/ios/geometry-wars-touch
GEON (iOS),https://www.metacritic.com/game/ios/geon
GEON HD (iOS),https://www.metacritic.com/game/ios/geon-hd
George: Scared Of The Dark (iOS),https://www.metacritic.com/game/ios/george-scared-of-the-dark
GeoSpin (iOS),https://www.metacritic.com/game/ios/geospin
Geostorm (iOS),https://www.metacritic.com/game/ios/geostorm
Gerblins! (iOS),https://www.metacritic.com/game/ios/gerblins!
GermCraft! (iOS),https://www.metacritic.com/game/ios/germcraft!
GERMONSTER: Germ Monster Saga (iOS),https://www.metacritic.com/game/ios/germonster-germ-monster-saga
Gesundheit! (iOS),https://www.metacritic.com/game/ios/gesundheit!
Gesundheit! HD (iOS),https://www.metacritic.com/game/ios/gesundheit!-hd
Get Me Outta Here (iOS),https://www.metacritic.com/game/ios/get-me-outta-here
Get Outta My Galaxy! (iOS),https://www.metacritic.com/game/ios/get-outta-my-galaxy!
Get The Flock Out (iOS),https://www.metacritic.com/game/ios/get-the-flock-out
Gets to the Exit (iOS),https://www.metacritic.com/game/ios/gets-to-the-exit
Getting Over It (iOS),https://www.metacritic.com/game/ios/getting-over-it
Get_Fiquette (iOS),https://www.metacritic.com/game/ios/get_fiquette
Ghost Blade (iOS),https://www.metacritic.com/game/ios/ghost-blade
Ghost Chicken (iOS),https://www.metacritic.com/game/ios/ghost-chicken
Ghost Harvest (iOS),https://www.metacritic.com/game/ios/ghost-harvest
Ghost Racer (iOS),https://www.metacritic.com/game/ios/ghost-racer
Ghost Toasters - Regular Show (iOS),https://www.metacritic.com/game/ios/ghost-toasters---regular-show
GHOST TRICK: Phantom Detective (iOS),https://www.metacritic.com/game/ios/ghost-trick-phantom-detective
Ghostbusters (2013) (iOS),https://www.metacritic.com/game/ios/ghostbusters-2013
Ghostbusters Paranormal Blast (iOS),https://www.metacritic.com/game/ios/ghostbusters-paranormal-blast
Ghostbusters Pinball (iOS),https://www.metacritic.com/game/ios/ghostbusters-pinball
Ghostbusters Puzzle Fighter (iOS),https://www.metacritic.com/game/ios/ghostbusters-puzzle-fighter
Ghostbusters World (iOS),https://www.metacritic.com/game/ios/ghostbusters-world
Ghostbusters: Slime City (iOS),https://www.metacritic.com/game/ios/ghostbusters-slime-city
Ghostie (iOS),https://www.metacritic.com/game/ios/ghostie
Ghosts 'n Goblins MOBILE (iOS),https://www.metacritic.com/game/ios/ghosts-n-goblins-mobile
