title,url
I am a brave knight (iOS),https://www.metacritic.com/game/ios/i-am-a-brave-knight
I Am Bread (iOS),https://www.metacritic.com/game/ios/i-am-bread
I Am Dolphin (iOS),https://www.metacritic.com/game/ios/i-am-dolphin
I Am Level (iOS),https://www.metacritic.com/game/ios/i-am-level
I Am Monster: Idle Destruction (iOS),https://www.metacritic.com/game/ios/i-am-monster-idle-destruction
I AM MT: Card Battle (iOS),https://www.metacritic.com/game/ios/i-am-mt-card-battle
I Am The Hero (iOS),https://www.metacritic.com/game/ios/i-am-the-hero
I Am Vegend: Zombiegeddon (iOS),https://www.metacritic.com/game/ios/i-am-vegend-zombiegeddon
I Dig It Expeditions (iOS),https://www.metacritic.com/game/ios/i-dig-it-expeditions
I Dig It: Journey to the Core (iOS),https://www.metacritic.com/game/ios/i-dig-it-journey-to-the-core
I Found You (iOS),https://www.metacritic.com/game/ios/i-found-you
"I Have No Mouth, and I Must Scream (iOS)",https://www.metacritic.com/game/ios/i-have-no-mouth-and-i-must-scream
I Keep Having This Dream (iOS),https://www.metacritic.com/game/ios/i-keep-having-this-dream
i Love Katamari (iOS),https://www.metacritic.com/game/ios/i-love-katamari
I Love Squares (iOS),https://www.metacritic.com/game/ios/i-love-squares
I Love Strawberries (iOS),https://www.metacritic.com/game/ios/i-love-strawberries
I Wanna Be A Hero (iOS),https://www.metacritic.com/game/ios/i-wanna-be-a-hero
I'm Aquarius (iOS),https://www.metacritic.com/game/ios/im-aquarius
I'm Ping Pong King :) (iOS),https://www.metacritic.com/game/ios/im-ping-pong-king-)
"I, Gladiator (iOS)",https://www.metacritic.com/game/ios/i-gladiator
i3 (iOS),https://www.metacritic.com/game/ios/i3
iBlast Moki (iOS),https://www.metacritic.com/game/ios/iblast-moki
iBlast Moki 2 (iOS),https://www.metacritic.com/game/ios/iblast-moki-2
iBlast Moki 2 HD (iOS),https://www.metacritic.com/game/ios/iblast-moki-2-hd
iBomber 2 (iOS),https://www.metacritic.com/game/ios/ibomber-2
iBomber 3 (iOS),https://www.metacritic.com/game/ios/ibomber-3
iBomber Attack (iOS),https://www.metacritic.com/game/ios/ibomber-attack
iBomber Defense (iOS),https://www.metacritic.com/game/ios/ibomber-defense
iBomber Defense Pacific (iOS),https://www.metacritic.com/game/ios/ibomber-defense-pacific
iCannon: Hellfire (iOS),https://www.metacritic.com/game/ios/icannon-hellfire
Icarus-X: Tides of Fire (iOS),https://www.metacritic.com/game/ios/icarus-x-tides-of-fire
Icarush (iOS),https://www.metacritic.com/game/ios/icarush
ICC Pro Cricket 2015 (iOS),https://www.metacritic.com/game/ios/icc-pro-cricket-2015
Ice Age Adventures (iOS),https://www.metacritic.com/game/ios/ice-age-adventures
Ice Age Avalanche (iOS),https://www.metacritic.com/game/ios/ice-age-avalanche
Ice Age Village (iOS),https://www.metacritic.com/game/ios/ice-age-village
Ice Age: Dawn Of The Dinosaurs (iOS),https://www.metacritic.com/game/ios/ice-age-dawn-of-the-dinosaurs
Ice Cream Nomsters (iOS),https://www.metacritic.com/game/ios/ice-cream-nomsters
Ice Cream Surfer (iOS),https://www.metacritic.com/game/ios/ice-cream-surfer
Ice Mechanica (iOS),https://www.metacritic.com/game/ios/ice-mechanica
Ice Rage (iOS),https://www.metacritic.com/game/ios/ice-rage
Ice Tales (iOS),https://www.metacritic.com/game/ios/ice-tales
Ice Wings Plus (iOS),https://www.metacritic.com/game/ios/ice-wings-plus
Iceberg Tower - The Sky Is Not the Limit! (iOS),https://www.metacritic.com/game/ios/iceberg-tower---the-sky-is-not-the-limit!
Icebreaker Hockey (iOS),https://www.metacritic.com/game/ios/icebreaker-hockey
Icebreaker: A Viking Voyage (iOS),https://www.metacritic.com/game/ios/icebreaker-a-viking-voyage
Icewind Dale: Enhanced Edition (iOS),https://www.metacritic.com/game/ios/icewind-dale-enhanced-edition
ICEY (iOS),https://www.metacritic.com/game/ios/icey
iChallenger-Return (iOS),https://www.metacritic.com/game/ios/ichallenger-return
ichi (iOS),https://www.metacritic.com/game/ios/ichi
iCube HD (iOS),https://www.metacritic.com/game/ios/icube-hd
Icycle: On Thin Ice (iOS),https://www.metacritic.com/game/ios/icycle-on-thin-ice
iDamaged (iOS),https://www.metacritic.com/game/ios/idamaged
iDaTank (iOS),https://www.metacritic.com/game/ios/idatank
Identity V (iOS),https://www.metacritic.com/game/ios/identity-v
Idle Champions (iOS),https://www.metacritic.com/game/ios/idle-champions
Idle Empires (iOS),https://www.metacritic.com/game/ios/idle-empires
Idle Skies (iOS),https://www.metacritic.com/game/ios/idle-skies
Idol Words (iOS),https://www.metacritic.com/game/ios/idol-words
Idola Phantasy Star Saga (iOS),https://www.metacritic.com/game/ios/idola-phantasy-star-saga
iDoyle: The interactive Adventures of Sherlock Holmes - A Scandal in Bohemia (iOS),https://www.metacritic.com/game/ios/idoyle-the-interactive-adventures-of-sherlock-holmes---a-scandal-in-bohemia
iDragPaper (iOS),https://www.metacritic.com/game/ios/idragpaper
Idyllic! (iOS),https://www.metacritic.com/game/ios/idyllic!
Iesabel (iOS),https://www.metacritic.com/game/ios/iesabel
iEscaper!2 -Escape from the Castle of Doom- (iOS),https://www.metacritic.com/game/ios/iescaper!2--escape-from-the-castle-of-doom-
If Found... (iOS),https://www.metacritic.com/game/ios/if-found
iFighter 2: The Pacific 1942 by EpicForce (iOS),https://www.metacritic.com/game/ios/ifighter-2-the-pacific-1942-by-epicforce
iFlexis (iOS),https://www.metacritic.com/game/ios/iflexis
iHook (iOS),https://www.metacritic.com/game/ios/ihook
iHop - Getaway Chicken (iOS),https://www.metacritic.com/game/ios/ihop---getaway-chicken
iJumpman (iOS),https://www.metacritic.com/game/ios/ijumpman
Ikue - Master Your Mind (iOS),https://www.metacritic.com/game/ios/ikue---master-your-mind
ILLUSIA (iOS),https://www.metacritic.com/game/ios/illusia
ILLUSIA 2 (iOS),https://www.metacritic.com/game/ios/illusia-2
ILLUSION CONNECT (iOS),https://www.metacritic.com/game/ios/illusion-connect
iLovecraft (iOS),https://www.metacritic.com/game/ios/ilovecraft
iM Detective (iOS),https://www.metacritic.com/game/ios/im-detective
ImageQuest (iOS),https://www.metacritic.com/game/ios/imagequest
Imaginary Range (iOS),https://www.metacritic.com/game/ios/imaginary-range
Imago - Transformative Puzzle Game (iOS),https://www.metacritic.com/game/ios/imago---transformative-puzzle-game
Imbroglio (iOS),https://www.metacritic.com/game/ios/imbroglio
iMech Online (iOS),https://www.metacritic.com/game/ios/imech-online
Immix (iOS),https://www.metacritic.com/game/ios/immix
Immortal Odyssey (iOS),https://www.metacritic.com/game/ios/immortal-odyssey
Immortal Rogue (iOS),https://www.metacritic.com/game/ios/immortal-rogue
Immortalis (iOS),https://www.metacritic.com/game/ios/immortalis
Immuno (iOS),https://www.metacritic.com/game/ios/immuno
IMO: The World of Magic (iOS),https://www.metacritic.com/game/ios/imo-the-world-of-magic
iMob 2 (iOS),https://www.metacritic.com/game/ios/imob-2
Imperium Galactica 2 (iOS),https://www.metacritic.com/game/ios/imperium-galactica-2
Implode 3D (iOS),https://www.metacritic.com/game/ios/implode-3d
Implode! (iOS),https://www.metacritic.com/game/ios/implode!
Implosion - Never Lose Hope (iOS),https://www.metacritic.com/game/ios/implosion---never-lose-hope
Impossible Caves (iOS),https://www.metacritic.com/game/ios/impossible-caves
Impossible Draw (iOS),https://www.metacritic.com/game/ios/impossible-draw
Impossible Flyer (iOS),https://www.metacritic.com/game/ios/impossible-flyer
Impossible Pixel (iOS),https://www.metacritic.com/game/ios/impossible-pixel
IMPOSSIBLE ROAD (iOS),https://www.metacritic.com/game/ios/impossible-road
Impossible Space Adventure (iOS),https://www.metacritic.com/game/ios/impossible-space-adventure
Imps in Tokyo (iOS),https://www.metacritic.com/game/ios/imps-in-tokyo
Impulse GP - Super Bike Racing (iOS),https://www.metacritic.com/game/ios/impulse-gp---super-bike-racing
iMusic Puzzle (iOS),https://www.metacritic.com/game/ios/imusic-puzzle
In Between Mobile (iOS),https://www.metacritic.com/game/ios/in-between-mobile
In Case of Fire (iOS),https://www.metacritic.com/game/ios/in-case-of-fire
In Churning Seas (iOS),https://www.metacritic.com/game/ios/in-churning-seas
In Fear I Trust (iOS),https://www.metacritic.com/game/ios/in-fear-i-trust
In The Dog House (iOS),https://www.metacritic.com/game/ios/in-the-dog-house
IN TIME - The Game (iOS),https://www.metacritic.com/game/ios/in-time---the-game
Inbetween Land (iOS),https://www.metacritic.com/game/ios/inbetween-land
Inbetween Land HD (iOS),https://www.metacritic.com/game/ios/inbetween-land-hd
INC (iOS),https://www.metacritic.com/game/ios/inc
Incandescence (iOS),https://www.metacritic.com/game/ios/incandescence
Incidence (iOS),https://www.metacritic.com/game/ios/incidence
Incoboto (iOS),https://www.metacritic.com/game/ios/incoboto
Incredible Express HD (iOS),https://www.metacritic.com/game/ios/incredible-express-hd
Incredible Jack (iOS),https://www.metacritic.com/game/ios/incredible-jack
Incredible Mandy (iOS),https://www.metacritic.com/game/ios/incredible-mandy
IncrediBlox (iOS),https://www.metacritic.com/game/ios/incrediblox
Incredipede (iOS),https://www.metacritic.com/game/ios/incredipede
Indestructible (iOS),https://www.metacritic.com/game/ios/indestructible
Indiana Jones and the Lost Puzzles (iOS),https://www.metacritic.com/game/ios/indiana-jones-and-the-lost-puzzles
Indiana Stone: The Brave and the Boulder (iOS),https://www.metacritic.com/game/ios/indiana-stone-the-brave-and-the-boulder
Indie Pixel (iOS),https://www.metacritic.com/game/ios/indie-pixel
Indies' Lies (iOS),https://www.metacritic.com/game/ios/indies-lies
Indigo Lake (iOS),https://www.metacritic.com/game/ios/indigo-lake
Inertia: Escape Velocity (iOS),https://www.metacritic.com/game/ios/inertia-escape-velocity
Infect Them All (iOS),https://www.metacritic.com/game/ios/infect-them-all
Infect Them All 2 : Zombies (iOS),https://www.metacritic.com/game/ios/infect-them-all-2-zombies
Infect Them All : Vampires (iOS),https://www.metacritic.com/game/ios/infect-them-all-vampires
Infection Zone (iOS),https://www.metacritic.com/game/ios/infection-zone
Infection: Humanity's Last Gasp (iOS),https://www.metacritic.com/game/ios/infection-humanitys-last-gasp
Infectonator (iOS),https://www.metacritic.com/game/ios/infectonator
Infectonator 3: Apocalypse (iOS),https://www.metacritic.com/game/ios/infectonator-3-apocalypse
Infectonator : Hot Chase (iOS),https://www.metacritic.com/game/ios/infectonator-hot-chase
Inferno 2 (iOS),https://www.metacritic.com/game/ios/inferno-2
Inferno+ (iOS),https://www.metacritic.com/game/ios/inferno+
Infested Mars (iOS),https://www.metacritic.com/game/ios/infested-mars
Infestor (iOS),https://www.metacritic.com/game/ios/infestor
Infinight: A Thrilling Light-Based Platformer with Multiplayer! (iOS),https://www.metacritic.com/game/ios/infinight-a-thrilling-light-based-platformer-with-multiplayer!
Infinite Galaxy (iOS),https://www.metacritic.com/game/ios/infinite-galaxy
Infinite Pool (iOS),https://www.metacritic.com/game/ios/infinite-pool
Infinite Skater (iOS),https://www.metacritic.com/game/ios/infinite-skater
Infinite Surf (iOS),https://www.metacritic.com/game/ios/infinite-surf
Infinite Tanks (iOS),https://www.metacritic.com/game/ios/infinite-tanks
Infinite Warrior (iOS),https://www.metacritic.com/game/ios/infinite-warrior
infinite: prime (iOS),https://www.metacritic.com/game/ios/infinite-prime
Infinity Blade (iOS),https://www.metacritic.com/game/ios/infinity-blade
Infinity Blade II (iOS),https://www.metacritic.com/game/ios/infinity-blade-ii
Infinity Blade III (iOS),https://www.metacritic.com/game/ios/infinity-blade-iii
Infinity Danger (iOS),https://www.metacritic.com/game/ios/infinity-danger
Infinity Field (iOS),https://www.metacritic.com/game/ios/infinity-field
Infinity Field HD (iOS),https://www.metacritic.com/game/ios/infinity-field-hd
Infinity Space (iOS),https://www.metacritic.com/game/ios/infinity-space
INFOCUS Extreme Bike (iOS),https://www.metacritic.com/game/ios/infocus-extreme-bike
Ingress (iOS),https://www.metacritic.com/game/ios/ingress
