title,url
J-Werewolf: EP1 (iOS),https://www.metacritic.com/game/ios/j-werewolf-ep1
Jack B. Nimble (iOS),https://www.metacritic.com/game/ios/jack-b-nimble
Jack Lumber (iOS),https://www.metacritic.com/game/ios/jack-lumber
Jack N' Jill (iOS),https://www.metacritic.com/game/ios/jack-n-jill
Jack of All Tribes (iOS),https://www.metacritic.com/game/ios/jack-of-all-tribes
Jack of All Tribes Deluxe (iOS),https://www.metacritic.com/game/ios/jack-of-all-tribes-deluxe
Jack of All Tribes HD (iOS),https://www.metacritic.com/game/ios/jack-of-all-tribes-hd
JackQuest (iOS),https://www.metacritic.com/game/ios/jackquest
Jackrabbit Sunshine (iOS),https://www.metacritic.com/game/ios/jackrabbit-sunshine
Jacob Jones and the Bigfoot Mystery : Episode 1 (iOS),https://www.metacritic.com/game/ios/jacob-jones-and-the-bigfoot-mystery-episode-1
Jacob Jones and the Bigfoot Mystery : Episode 2 (iOS),https://www.metacritic.com/game/ios/jacob-jones-and-the-bigfoot-mystery-episode-2
Jade Empire: Special Edition (iOS),https://www.metacritic.com/game/ios/jade-empire-special-edition
jAggy Race (iOS),https://www.metacritic.com/game/ios/jaggy-race
Jaipur: A Card Game of Duels (iOS),https://www.metacritic.com/game/ios/jaipur-a-card-game-of-duels
Jake Escapes HD (iOS),https://www.metacritic.com/game/ios/jake-escapes-hd
Jam for iPhone (iOS),https://www.metacritic.com/game/ios/jam-for-iphone
JAM: Jets Aliens Missiles (iOS),https://www.metacritic.com/game/ios/jam-jets-aliens-missiles
James Bond: World of Espionage (iOS),https://www.metacritic.com/game/ios/james-bond-world-of-espionage
James Cameron's Avatar (iOS),https://www.metacritic.com/game/ios/james-camerons-avatar
James Noir's Hollywood Crimes (iOS),https://www.metacritic.com/game/ios/james-noirs-hollywood-crimes
James Pond in the Deathly Shallows (iOS),https://www.metacritic.com/game/ios/james-pond-in-the-deathly-shallows
Jane Wilde (iOS),https://www.metacritic.com/game/ios/jane-wilde
Jane's Hotel 2: Family Hero (iOS),https://www.metacritic.com/game/ios/janes-hotel-2-family-hero
Jane's Hotel 2: Family Hero HD (iOS),https://www.metacritic.com/game/ios/janes-hotel-2-family-hero-hd
Jane's Zoo (iOS),https://www.metacritic.com/game/ios/janes-zoo
Jane's Zoo HD (iOS),https://www.metacritic.com/game/ios/janes-zoo-hd
Janryumon (iOS),https://www.metacritic.com/game/ios/janryumon
Japan Life (iOS),https://www.metacritic.com/game/ios/japan-life
Jar on a Bar (iOS),https://www.metacritic.com/game/ios/jar-on-a-bar
Jawfish Poker (iOS),https://www.metacritic.com/game/ios/jawfish-poker
"Jawfish Words: Real-time, Multiplayer Word Search Tournaments (iOS)",https://www.metacritic.com/game/ios/jawfish-words-real-time-multiplayer-word-search-tournaments
Jaws Revenge (iOS),https://www.metacritic.com/game/ios/jaws-revenge
Jay & Silent Bob in Too Fat To Fly (iOS),https://www.metacritic.com/game/ios/jay-silent-bob-in-too-fat-to-fly
JAZZ: Trump's journey (iOS),https://www.metacritic.com/game/ios/jazz-trumps-journey
Jeff Wayne's Musical Version of The War of The Worlds: Minigame Adventure (iOS),https://www.metacritic.com/game/ios/jeff-waynes-musical-version-of-the-war-of-the-worlds-minigame-adventure
JELLIES! (iOS),https://www.metacritic.com/game/ios/jellies!
Jelly All Stars Full (iOS),https://www.metacritic.com/game/ios/jelly-all-stars-full
Jelly Cannon Reloaded (iOS),https://www.metacritic.com/game/ios/jelly-cannon-reloaded
Jelly Dash (iOS),https://www.metacritic.com/game/ios/jelly-dash
Jelly Defense (iOS),https://www.metacritic.com/game/ios/jelly-defense
Jelly Jump (2015) (iOS),https://www.metacritic.com/game/ios/jelly-jump-2015
Jelly Jumpers (iOS),https://www.metacritic.com/game/ios/jelly-jumpers
