title,url
Lab Asylum - Run and Escape! (iOS),https://www.metacritic.com/game/ios/lab-asylum---run-and-escape!
Labyrinth 2 (iOS),https://www.metacritic.com/game/ios/labyrinth-2
Labyrinth 2 HD (iOS),https://www.metacritic.com/game/ios/labyrinth-2-hd
Labyrinth City (iOS),https://www.metacritic.com/game/ios/labyrinth-city
LAD (iOS),https://www.metacritic.com/game/ios/lad
LAD (2012) (iOS),https://www.metacritic.com/game/ios/lad-2012
Lame Castle (iOS),https://www.metacritic.com/game/ios/lame-castle
Lamp And Vamp (iOS),https://www.metacritic.com/game/ios/lamp-and-vamp
Land Sliders (iOS),https://www.metacritic.com/game/ios/land-sliders
Land-a Panda (iOS),https://www.metacritic.com/game/ios/land-a-panda
Land-a Panda HD (iOS),https://www.metacritic.com/game/ios/land-a-panda-hd
Lander Hero (iOS),https://www.metacritic.com/game/ios/lander-hero
Lane Splitter (iOS),https://www.metacritic.com/game/ios/lane-splitter
Langrisser Mobile (iOS),https://www.metacritic.com/game/ios/langrisser-mobile
Languinis: Match and Spell (iOS),https://www.metacritic.com/game/ios/languinis-match-and-spell
Lanota (iOS),https://www.metacritic.com/game/ios/lanota
Lanterns (iOS),https://www.metacritic.com/game/ios/lanterns
Laps: Fuse (iOS),https://www.metacritic.com/game/ios/laps-fuse
Lara Croft and the Guardian of Light (iOS),https://www.metacritic.com/game/ios/lara-croft-and-the-guardian-of-light
Lara Croft GO (iOS),https://www.metacritic.com/game/ios/lara-croft-go
Lara Croft: Reflections (iOS),https://www.metacritic.com/game/ios/lara-croft-reflections
Lara Croft: Relic Run (iOS),https://www.metacritic.com/game/ios/lara-croft-relic-run
Las Vegas! (iOS),https://www.metacritic.com/game/ios/las-vegas!
Laser Dolphin (iOS),https://www.metacritic.com/game/ios/laser-dolphin
Laser Hell (iOS),https://www.metacritic.com/game/ios/laser-hell
Laser Quest (iOS),https://www.metacritic.com/game/ios/laser-quest
Laser Walls HD (iOS),https://www.metacritic.com/game/ios/laser-walls-hd
LASER! - Endless Laser Dodging Action (iOS),https://www.metacritic.com/game/ios/laser!---endless-laser-dodging-action
Last Defense of our Time (iOS),https://www.metacritic.com/game/ios/last-defense-of-our-time
Last Fish (iOS),https://www.metacritic.com/game/ios/last-fish
Last Horizon (iOS),https://www.metacritic.com/game/ios/last-horizon
Last Inua (iOS),https://www.metacritic.com/game/ios/last-inua
Last King of Africa (iOS),https://www.metacritic.com/game/ios/last-king-of-africa
Last Knight HD (iOS),https://www.metacritic.com/game/ios/last-knight-hd
Last Man Standing (iOS),https://www.metacritic.com/game/ios/last-man-standing
Last Temple (iOS),https://www.metacritic.com/game/ios/last-temple
Last Temple 2 (iOS),https://www.metacritic.com/game/ios/last-temple-2
Last Voyage (iOS),https://www.metacritic.com/game/ios/last-voyage
LAST WAR (iOS),https://www.metacritic.com/game/ios/last-war
Lastronaut (iOS),https://www.metacritic.com/game/ios/lastronaut
LastStandStan (iOS),https://www.metacritic.com/game/ios/laststandstan
Law & Order: Legacies (iOS),https://www.metacritic.com/game/ios/law-order-legacies
LAWLESS (iOS),https://www.metacritic.com/game/ios/lawless
Lawn Mower Madness (iOS),https://www.metacritic.com/game/ios/lawn-mower-madness
Layer - simple is hard (iOS),https://www.metacritic.com/game/ios/layer---simple-is-hard
Layton Brothers: Mystery Room (iOS),https://www.metacritic.com/game/ios/layton-brothers-mystery-room
Layton's Mystery Journey: Katrielle and The Millionaire's Conspiracy (iOS),https://www.metacritic.com/game/ios/laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy
Lazaretto Horror Game (iOS),https://www.metacritic.com/game/ios/lazaretto-horror-game
Lazer Tag (iOS),https://www.metacritic.com/game/ios/lazer-tag
Lazy Raiders (iOS),https://www.metacritic.com/game/ios/lazy-raiders
Le Havre: The Harbor (iOS),https://www.metacritic.com/game/ios/le-havre-the-harbor
Le Havre: The Inland Port (iOS),https://www.metacritic.com/game/ios/le-havre-the-inland-port
Le Parker: Sous Chef Extraordinaire (iOS),https://www.metacritic.com/game/ios/le-parker-sous-chef-extraordinaire
Le Vamp (iOS),https://www.metacritic.com/game/ios/le-vamp
Lead the brave (iOS),https://www.metacritic.com/game/ios/lead-the-brave
Lead Wars (iOS),https://www.metacritic.com/game/ios/lead-wars
Leaf on the Wind (iOS),https://www.metacritic.com/game/ios/leaf-on-the-wind
League of Evil (iOS),https://www.metacritic.com/game/ios/league-of-evil
League of Evil 2 (iOS),https://www.metacritic.com/game/ios/league-of-evil-2
League of Evil 3(2013) (iOS),https://www.metacritic.com/game/ios/league-of-evil-32013
League Of Extraordinary Birds HD (iOS),https://www.metacritic.com/game/ios/league-of-extraordinary-birds-hd
League of Heroes (iOS),https://www.metacritic.com/game/ios/league-of-heroes
League of Legends: Wild Rift (iOS),https://www.metacritic.com/game/ios/league-of-legends-wild-rift
League of Mages (iOS),https://www.metacritic.com/game/ios/league-of-mages
League of Stickmen (iOS),https://www.metacritic.com/game/ios/league-of-stickmen
League of War (iOS),https://www.metacritic.com/game/ios/league-of-war
League of War: Mercenaries (iOS),https://www.metacritic.com/game/ios/league-of-war-mercenaries
Leap Day (iOS),https://www.metacritic.com/game/ios/leap-day
Leap of Fate (iOS),https://www.metacritic.com/game/ios/leap-of-fate
Leap Worm (iOS),https://www.metacritic.com/game/ios/leap-worm
Leaping Legend (iOS),https://www.metacritic.com/game/ios/leaping-legend
Leave Me Alone (iOS),https://www.metacritic.com/game/ios/leave-me-alone
Left in the Dark: No One on Board HD (iOS),https://www.metacritic.com/game/ios/left-in-the-dark-no-one-on-board-hd
Left to Survive (iOS),https://www.metacritic.com/game/ios/left-to-survive
Legacy of a Thousand Suns (iOS),https://www.metacritic.com/game/ios/legacy-of-a-thousand-suns
Legacy of a Thousand Suns Mobile (iOS),https://www.metacritic.com/game/ios/legacy-of-a-thousand-suns-mobile
Legacy of Dorn: Herald of Oblivion (iOS),https://www.metacritic.com/game/ios/legacy-of-dorn-herald-of-oblivion
Legacy Quest (iOS),https://www.metacritic.com/game/ios/legacy-quest
Legacy: Mystery Mansion (iOS),https://www.metacritic.com/game/ios/legacy-mystery-mansion
Legend Borne (iOS),https://www.metacritic.com/game/ios/legend-borne
Legend Dary: Classic (iOS),https://www.metacritic.com/game/ios/legend-dary-classic
Legend of Equip Pants (iOS),https://www.metacritic.com/game/ios/legend-of-equip-pants
Legend of Fat Ninja (iOS),https://www.metacritic.com/game/ios/legend-of-fat-ninja
Legend of Grimrock (iOS),https://www.metacritic.com/game/ios/legend-of-grimrock
Legend of Mana Remastered (iOS),https://www.metacritic.com/game/ios/legend-of-mana-remastered
Legend of Solgard (iOS),https://www.metacritic.com/game/ios/legend-of-solgard
Legend of Talisman Pro (iOS),https://www.metacritic.com/game/ios/legend-of-talisman-pro
Legend of the Skyfish (iOS),https://www.metacritic.com/game/ios/legend-of-the-skyfish
Legend of the Skyfish 2 (iOS),https://www.metacritic.com/game/ios/legend-of-the-skyfish-2
Legendary Heroes (iOS),https://www.metacritic.com/game/ios/legendary-heroes
Legendary Outlaw (iOS),https://www.metacritic.com/game/ios/legendary-outlaw
Legendary Warriors (iOS),https://www.metacritic.com/game/ios/legendary-warriors
Legendary Wars (iOS),https://www.metacritic.com/game/ios/legendary-wars
Legends of Callasia (iOS),https://www.metacritic.com/game/ios/legends-of-callasia
Legends of Heropolis (iOS),https://www.metacritic.com/game/ios/legends-of-heropolis
Legends of Kingdom Rush (iOS),https://www.metacritic.com/game/ios/legends-of-kingdom-rush
Legends of Loot (iOS),https://www.metacritic.com/game/ios/legends-of-loot
Legends of Runeterra (iOS),https://www.metacritic.com/game/ios/legends-of-runeterra
Legion of the Damned (iOS),https://www.metacritic.com/game/ios/legion-of-the-damned
Legions of Steel (iOS),https://www.metacritic.com/game/ios/legions-of-steel
LEGO Batman: Beyond Gotham (iOS),https://www.metacritic.com/game/ios/lego-batman-beyond-gotham
LEGO Batman: DC Super Heroes (iOS),https://www.metacritic.com/game/ios/lego-batman-dc-super-heroes
LEGO Brawls (iOS),https://www.metacritic.com/game/ios/lego-brawls
LEGO Builder's Journey (iOS),https://www.metacritic.com/game/ios/lego-builders-journey
LEGO DC Super Heroes Mighty Micros (iOS),https://www.metacritic.com/game/ios/lego-dc-super-heroes-mighty-micros
LEGO Harry Potter: Years 1-4 (iOS),https://www.metacritic.com/game/ios/lego-harry-potter-years-1-4
LEGO Harry Potter: Years 5-7 (iOS),https://www.metacritic.com/game/ios/lego-harry-potter-years-5-7
LEGO Hero Factory (iOS),https://www.metacritic.com/game/ios/lego-hero-factory
LEGO Jurassic World (iOS),https://www.metacritic.com/game/ios/lego-jurassic-world
LEGO Legacy: Heroes Unboxed (iOS),https://www.metacritic.com/game/ios/lego-legacy-heroes-unboxed
LEGO Legends of Chima: Speedorz (iOS),https://www.metacritic.com/game/ios/lego-legends-of-chima-speedorz
LEGO Marvel Super Heroes: Universe in Peril (iOS),https://www.metacritic.com/game/ios/lego-marvel-super-heroes-universe-in-peril
LEGO MINDSTORMS Fix the Factory (iOS),https://www.metacritic.com/game/ios/lego-mindstorms-fix-the-factory
LEGO Minifigures Online (iOS),https://www.metacritic.com/game/ios/lego-minifigures-online
LEGO Ninjago - The Final Battle (iOS),https://www.metacritic.com/game/ios/lego-ninjago---the-final-battle
LEGO Ninjago: Rise of the Snakes (iOS),https://www.metacritic.com/game/ios/lego-ninjago-rise-of-the-snakes
LEGO Ninjago: Shadow of Ronin (iOS),https://www.metacritic.com/game/ios/lego-ninjago-shadow-of-ronin
LEGO Pullback Racers (iOS),https://www.metacritic.com/game/ios/lego-pullback-racers
LEGO Star Wars Battles (iOS),https://www.metacritic.com/game/ios/lego-star-wars-battles
LEGO Star Wars Castaways (iOS),https://www.metacritic.com/game/ios/lego-star-wars-castaways
LEGO Star Wars The New Yoda Chronicles (iOS),https://www.metacritic.com/game/ios/lego-star-wars-the-new-yoda-chronicles
