title,url
P.A.C.O. (iOS),https://www.metacritic.com/game/ios/paco
P.R.O.B.E. (iOS),https://www.metacritic.com/game/ios/probe
P1 Select (iOS),https://www.metacritic.com/game/ios/p1-select
P1XL Party - Retro Minigames! (iOS),https://www.metacritic.com/game/ios/p1xl-party---retro-minigames!
PaAni (iOS),https://www.metacritic.com/game/ios/paani
Pablo (iOS),https://www.metacritic.com/game/ios/pablo
Pablo Cavarez (iOS),https://www.metacritic.com/game/ios/pablo-cavarez
PAC'N-JUMP (iOS),https://www.metacritic.com/game/ios/pacn-jump
PAC-ATTACK (iOS),https://www.metacritic.com/game/ios/pac-attack
PAC-CHOMP! (iOS),https://www.metacritic.com/game/ios/pac-chomp!
Pac-Man 256: Endless Arcade Maze (iOS),https://www.metacritic.com/game/ios/pac-man-256-endless-arcade-maze
Pac-Man Battle Royale (iOS),https://www.metacritic.com/game/ios/pac-man-battle-royale
Pac-Man Bounce: Puzzle Adventure (iOS),https://www.metacritic.com/game/ios/pac-man-bounce-puzzle-adventure
Pac-Man Championship Edition (iOS),https://www.metacritic.com/game/ios/pac-man-championship-edition
Pac-Man Championship Edition DX (iOS),https://www.metacritic.com/game/ios/pac-man-championship-edition-dx
Pac-Man Dash! (iOS),https://www.metacritic.com/game/ios/pac-man-dash!
Pac-Man Friends (iOS),https://www.metacritic.com/game/ios/pac-man-friends
Pac-Man Monsters (iOS),https://www.metacritic.com/game/ios/pac-man-monsters
Pac-Man Party Royale (iOS),https://www.metacritic.com/game/ios/pac-man-party-royale
Pac-Man Pop! (iOS),https://www.metacritic.com/game/ios/pac-man-pop!
PAC-Match Party (iOS),https://www.metacritic.com/game/ios/pac-match-party
PAC-Match Party HD (iOS),https://www.metacritic.com/game/ios/pac-match-party-hd
Pachinko Frenzy (iOS),https://www.metacritic.com/game/ios/pachinko-frenzy
Pacific Rim (iOS),https://www.metacritic.com/game/ios/pacific-rim
Paddle Battle (iOS),https://www.metacritic.com/game/ios/paddle-battle
Pahelika: Secret Legends - A Search and Find Hidden Object Adventure (iOS),https://www.metacritic.com/game/ios/pahelika-secret-legends---a-search-and-find-hidden-object-adventure
Painkiller Purgatory (iOS),https://www.metacritic.com/game/ios/painkiller-purgatory
Painkiller Purgatory HD (iOS),https://www.metacritic.com/game/ios/painkiller-purgatory-hd
Paint it Back (iOS),https://www.metacritic.com/game/ios/paint-it-back
Pair Solitaire (iOS),https://www.metacritic.com/game/ios/pair-solitaire
PakkumansDefense (iOS),https://www.metacritic.com/game/ios/pakkumansdefense
Pako - Car Chase Simulator (iOS),https://www.metacritic.com/game/ios/pako---car-chase-simulator
PAKO 2 (iOS),https://www.metacritic.com/game/ios/pako-2
Paladins Strike (iOS),https://www.metacritic.com/game/ios/paladins-strike
Paladog! (iOS),https://www.metacritic.com/game/ios/paladog!
Paleolithics (iOS),https://www.metacritic.com/game/ios/paleolithics
Palm Heroes 2 Deluxe for iPhone (iOS),https://www.metacritic.com/game/ios/palm-heroes-2-deluxe-for-iphone
Pan-Pan (iOS),https://www.metacritic.com/game/ios/pan-pan
Pancake - The Game (iOS),https://www.metacritic.com/game/ios/pancake---the-game
Panda PandaMonium (iOS),https://www.metacritic.com/game/ios/panda-pandamonium
Panda Picnic (iOS),https://www.metacritic.com/game/ios/panda-picnic
