title,url
R-Tech Commander Colony (iOS),https://www.metacritic.com/game/ios/r-tech-commander-colony
R-Type (iOS),https://www.metacritic.com/game/ios/r-type
R-Type II (iOS),https://www.metacritic.com/game/ios/r-type-ii
R.B.I. Baseball 14 (iOS),https://www.metacritic.com/game/ios/rbi-baseball-14
R.B.I. Baseball 15 (iOS),https://www.metacritic.com/game/ios/rbi-baseball-15
R.B.I. Baseball 16 (iOS),https://www.metacritic.com/game/ios/rbi-baseball-16
R.I.P. Rally (iOS),https://www.metacritic.com/game/ios/rip-rally
R.TYPE (iOS),https://www.metacritic.com/game/ios/rtype
R3 (iOS),https://www.metacritic.com/game/ios/r3
Rabbid's Big Bang (iOS),https://www.metacritic.com/game/ios/rabbids-big-bang
Rabbids Crazy Rush (iOS),https://www.metacritic.com/game/ios/rabbids-crazy-rush
Rabbit Journey (iOS),https://www.metacritic.com/game/ios/rabbit-journey
Rabid Rascals (iOS),https://www.metacritic.com/game/ios/rabid-rascals
Raby (iOS),https://www.metacritic.com/game/ios/raby
Raccoon Rising (iOS),https://www.metacritic.com/game/ios/raccoon-rising
Race After 1977 (iOS),https://www.metacritic.com/game/ios/race-after-1977
Race for the Galaxy (iOS),https://www.metacritic.com/game/ios/race-for-the-galaxy
Race illegal: High Speed 3D (iOS),https://www.metacritic.com/game/ios/race-illegal-high-speed-3d
Race Kings (iOS),https://www.metacritic.com/game/ios/race-kings
Race of Champions - official game (iOS),https://www.metacritic.com/game/ios/race-of-champions---official-game
Race Of Champions World (iOS),https://www.metacritic.com/game/ios/race-of-champions-world
Race Team Manager (iOS),https://www.metacritic.com/game/ios/race-team-manager
Race the Sun (iOS),https://www.metacritic.com/game/ios/race-the-sun
Raceline CC (iOS),https://www.metacritic.com/game/ios/raceline-cc
Racer 8 (iOS),https://www.metacritic.com/game/ios/racer-8
Racing Legends (iOS),https://www.metacritic.com/game/ios/racing-legends
Racing Rivals (iOS),https://www.metacritic.com/game/ios/racing-rivals
RAD Boarding (iOS),https://www.metacritic.com/game/ios/rad-boarding
Rad Skater Apocalypse (iOS),https://www.metacritic.com/game/ios/rad-skater-apocalypse
RAD Soldiers (iOS),https://www.metacritic.com/game/ios/rad-soldiers
Radballs (iOS),https://www.metacritic.com/game/ios/radballs
Radia (iOS),https://www.metacritic.com/game/ios/radia
Radiant Defense (iOS),https://www.metacritic.com/game/ios/radiant-defense
Radiant One (iOS),https://www.metacritic.com/game/ios/radiant-one
Radiation City (iOS),https://www.metacritic.com/game/ios/radiation-city
Radiation Island (iOS),https://www.metacritic.com/game/ios/radiation-island
Radical (iOS),https://www.metacritic.com/game/ios/radical
Radical Rappelling (iOS),https://www.metacritic.com/game/ios/radical-rappelling
Radio Flare REDUX (iOS),https://www.metacritic.com/game/ios/radio-flare-redux
Radio Flare REDUX HD (iOS),https://www.metacritic.com/game/ios/radio-flare-redux-hd
Raft Pirates (iOS),https://www.metacritic.com/game/ios/raft-pirates
Ragdoll Blaster 2 (iOS),https://www.metacritic.com/game/ios/ragdoll-blaster-2
Ragdoll Blaster 2 HD (iOS),https://www.metacritic.com/game/ios/ragdoll-blaster-2-hd
Ragdoll Blaster 3 (iOS),https://www.metacritic.com/game/ios/ragdoll-blaster-3
Ragdoll Blaster 3: Deluxe (iOS),https://www.metacritic.com/game/ios/ragdoll-blaster-3-deluxe
RAGE (iOS),https://www.metacritic.com/game/ios/rage
RAGE HD (iOS),https://www.metacritic.com/game/ios/rage-hd
Rage of Bahamut (iOS),https://www.metacritic.com/game/ios/rage-of-bahamut
Rage of the Gladiator (iOS),https://www.metacritic.com/game/ios/rage-of-the-gladiator
Rage Warriors (iOS),https://www.metacritic.com/game/ios/rage-warriors
Raging Robots (iOS),https://www.metacritic.com/game/ios/raging-robots
Raging Thunder 2 (iOS),https://www.metacritic.com/game/ios/raging-thunder-2
Ragnar Rock Thor's Revenge (iOS),https://www.metacritic.com/game/ios/ragnar-rock-thors-revenge
Ragnarok M: Eternal Love (iOS),https://www.metacritic.com/game/ios/ragnarok-m-eternal-love
Ragnarok Violet (iOS),https://www.metacritic.com/game/ios/ragnarok-violet
RAID HQ (iOS),https://www.metacritic.com/game/ios/raid-hq
Raid Leader (iOS),https://www.metacritic.com/game/ios/raid-leader
Raid Manager (iOS),https://www.metacritic.com/game/ios/raid-manager
RAID: Shadow Legends (iOS),https://www.metacritic.com/game/ios/raid-shadow-legends
Raiden Legacy (iOS),https://www.metacritic.com/game/ios/raiden-legacy
Raider Rush (iOS),https://www.metacritic.com/game/ios/raider-rush
Raiders of the North Sea (iOS),https://www.metacritic.com/game/ios/raiders-of-the-north-sea
Raiding Company (iOS),https://www.metacritic.com/game/ios/raiding-company
Raids of Glory (iOS),https://www.metacritic.com/game/ios/raids-of-glory
Rail Maze (iOS),https://www.metacritic.com/game/ios/rail-maze
Rail Racing (iOS),https://www.metacritic.com/game/ios/rail-racing
Rail Rush (iOS),https://www.metacritic.com/game/ios/rail-rush
Railbot (iOS),https://www.metacritic.com/game/ios/railbot
Railbound (iOS),https://www.metacritic.com/game/ios/railbound
Railroad Story (iOS),https://www.metacritic.com/game/ios/railroad-story
Rails (iOS),https://www.metacritic.com/game/ios/rails
Railways! (iOS),https://www.metacritic.com/game/ios/railways!
rainblocks (iOS),https://www.metacritic.com/game/ios/rainblocks
Rainbow Friends (iOS),https://www.metacritic.com/game/ios/rainbow-friends
Rainbow Pony (iOS),https://www.metacritic.com/game/ios/rainbow-pony
Rainbow Rumble (iOS),https://www.metacritic.com/game/ios/rainbow-rumble
Rainbow Tissue Cat (iOS),https://www.metacritic.com/game/ios/rainbow-tissue-cat
Rainbowtail: Match-3 RPG Pet Puzzle Game! (iOS),https://www.metacritic.com/game/ios/rainbowtail-match-3-rpg-pet-puzzle-game!
