title,url
t Chess Pro (iOS),https://www.metacritic.com/game/ios/t-chess-pro
T.E.C 3001 (iOS),https://www.metacritic.com/game/ios/tec-3001
T3 Arena (iOS),https://www.metacritic.com/game/ios/t3-arena
Table Tennis Touch (iOS),https://www.metacritic.com/game/ios/table-tennis-touch
Table Top Racing (iOS),https://www.metacritic.com/game/ios/table-top-racing
Tabletop Defense (iOS),https://www.metacritic.com/game/ios/tabletop-defense
Taco Master (iOS),https://www.metacritic.com/game/ios/taco-master
Tactical Assassin (iOS),https://www.metacritic.com/game/ios/tactical-assassin
Tactical Heroes (iOS),https://www.metacritic.com/game/ios/tactical-heroes
Tactical Soldier - Undead Rising (iOS),https://www.metacritic.com/game/ios/tactical-soldier---undead-rising
Tactical Warrior (iOS),https://www.metacritic.com/game/ios/tactical-warrior
Tacticool (iOS),https://www.metacritic.com/game/ios/tacticool
Tactics Maiden (iOS),https://www.metacritic.com/game/ios/tactics-maiden
Tactile Wars (iOS),https://www.metacritic.com/game/ios/tactile-wars
Taekwondo Game Global Tournament (iOS),https://www.metacritic.com/game/ios/taekwondo-game-global-tournament
Taichi Panda (iOS),https://www.metacritic.com/game/ios/taichi-panda
Taichi Panda 3: Dragon Hunter (iOS),https://www.metacritic.com/game/ios/taichi-panda-3-dragon-hunter
Taichi Panda: Heroes (iOS),https://www.metacritic.com/game/ios/taichi-panda-heroes
Taiko no Tatsujin Pop Tap Beat (iOS),https://www.metacritic.com/game/ios/taiko-no-tatsujin-pop-tap-beat
Tail Drift (iOS),https://www.metacritic.com/game/ios/tail-drift
Tainted Keep (iOS),https://www.metacritic.com/game/ios/tainted-keep
Take Cover ! (iOS),https://www.metacritic.com/game/ios/take-cover-!
Take It Easy! (iOS),https://www.metacritic.com/game/ios/take-it-easy!
Take My Machete (iOS),https://www.metacritic.com/game/ios/take-my-machete
Take Off - The Flight Simulator (iOS),https://www.metacritic.com/game/ios/take-off---the-flight-simulator
Takeshi and Hiroshi (iOS),https://www.metacritic.com/game/ios/takeshi-and-hiroshi
Takoway (iOS),https://www.metacritic.com/game/ios/takoway
Tale Tapper (iOS),https://www.metacritic.com/game/ios/tale-tapper
Tales From Deep Space (iOS),https://www.metacritic.com/game/ios/tales-from-deep-space
Tales From The Borderlands: Episode 1 - Zer0 Sum (iOS),https://www.metacritic.com/game/ios/tales-from-the-borderlands-episode-1---zer0-sum
Tales From The Borderlands: Episode 2 - Atlas Mugged (iOS),https://www.metacritic.com/game/ios/tales-from-the-borderlands-episode-2---atlas-mugged
Tales From The Borderlands: Episode 3 - Catch A Ride (iOS),https://www.metacritic.com/game/ios/tales-from-the-borderlands-episode-3---catch-a-ride
Tales From The Borderlands: Episode 4 - Escape Plan Bravo (iOS),https://www.metacritic.com/game/ios/tales-from-the-borderlands-episode-4---escape-plan-bravo
Tales From The Borderlands: Episode 5 - The Vault of the Traveler (iOS),https://www.metacritic.com/game/ios/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler
Tales from the Dragon Mountain: the Lair HD (iOS),https://www.metacritic.com/game/ios/tales-from-the-dragon-mountain-the-lair-hd
Tales from the Dragon Mountain: the Strix (iOS),https://www.metacritic.com/game/ios/tales-from-the-dragon-mountain-the-strix
